"TIMESTAMP","RECORD","Processor Power","RTC Power","Primary Power","Secondary Power","Sensor Power","Total System Current","Sensor Current","Internal Pressure","Internal Temperature","Internal Humidity","Cell Signal Strength","Cell Status","mV Output","Aquatic PAR","mV Output","Terrestrial PAR","Wind Direction","Wind Direction Correction","Minimum Wind Speed","Wind Speed","Max Wind Speed","Air Temperature","Relative Humidity","Barometric Pressure","Interval Rain","Rain Duration","Rain Intensity","Hail Count","Hail Duration","Hail Intensity","Heating Temp","Heating Voltage","Power Supply","Temperature","Conductivity","Pressure","ODO","Salinity","Sound Speed","Specific Conductivity","UTC Time","Lattitude","Longitude","Altitude","Heading","Relative Barometric Pressure","Air Temperature","Relative Humidity","Dewpoint","Wind Direction","Magnetic Wind Direction","Wind Speed","Roll","Pitch"
"TS","RN","V","V","V","V","V","mA","mA","mBar","C","%","dB","","mV","umol/s/m^2","mV","umol/s/m^2","Degree","Degree","m/s","m/s","m/s","C","%","hPa","Mm","Sec","mm/h","Hit","Sec","Hit/cm^2-h","C","V","V","C","S/m","dbar","mg/L","PPT","m/s","S/m","hhmmss","Deg","Deg","m","Deg","inHg","C","%","C","Deg","Deg","m/s","Deg","Deg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-15 15:50:00",-9,3.36,2.99,13.97,0.11,11.94,141.55,116.16,1021.23,34.903,16.36,-93.0,0.0,3.992,670.1,8.571,2070.1,115.0,128.1,0.10,2.60,6.80,28.400,54.4,1018.20,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,38.951,0.00006,0.00900,7.492,0.016,1527.13,0.00005,154931.7,17.0250950,-61.8732109,3.100,13.10,30.08,28.600,-999,-999,111.0,125.6,2.80,-0.40,0.00
"2018-03-15 16:00:00",-9,3.36,3.00,13.96,0.12,11.96,146.29,116.89,1021.95,35.017,16.65,-93.0,0.0,3.455,580.9,8.574,2069.8,126.0,139.1,0.20,2.70,8.80,28.700,53.3,1018.10,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,39.327,0.00007,-0.01300,7.395,0.016,1527.77,0.00006,155931.7,17.0250721,-61.8731842,14.900,13.10,30.12,28.800,-999,-999,136.0,150.6,2.70,-0.40,0.00
"2018-03-15 16:10:00",-9,3.36,3.00,13.99,0.13,11.97,145.17,118.41,1022.58,35.148,16.89,-93.0,0.0,3.221,540.1,8.538,2061.9,129.0,142.2,0.30,3.30,8.60,28.700,48.3,1017.90,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,36.303,0.00008,-0.01900,7.289,0.015,1522.35,0.00007,160931.7,17.0250874,-61.8732033,15.200,13.20,30.11,28.600,-999,-999,116.8,131.4,3.80,-0.40,0.10
"2018-03-15 16:20:00",-9,3.36,3.00,13.95,0.10,11.95,139.89,118.51,1023.05,35.059,17.23,-93.0,0.0,3.261,548.9,8.535,2060.5,126.0,139.2,0.20,3.10,9.60,28.800,52.9,1017.80,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,33.980,0.00007,-0.00800,7.250,0.015,1517.80,0.00006,161931.7,17.0251007,-61.8731842,14.500,13.20,30.12,28.900,-999,-999,118.7,133.3,1.70,-0.40,0.10
"2018-03-15 16:30:00",-9,3.36,3.00,13.95,0.11,11.94,145.41,117.29,1023.47,35.038,17.47,-91.0,0.0,3.304,555.8,8.546,2064.5,127.0,140.2,0.20,2.90,9.30,28.600,53.2,1017.60,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,33.114,0.00006,0.00600,7.255,0.014,1516.01,0.00005,162931.8,17.0251350,-61.8732033,15.700,13.20,30.11,28.700,-999,-999,117.5,132.1,2.80,-0.40,0.10
"2018-03-15 16:40:00",-9,3.36,3.01,13.93,0.08,11.97,144.09,118.60,1023.89,35.005,17.68,-93.0,0.0,3.482,585.1,8.492,2049.8,113.0,126.2,1.10,5.00,9.80,28.600,51.6,1017.40,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,32.809,0.00005,0.00800,7.266,0.014,1515.37,0.00005,163931.7,17.0251427,-61.8732109,8.500,13.20,30.08,28.600,-999,-999,127.6,142.2,3.70,-0.20,0.10
"2018-03-15 16:50:00",-9,3.36,3.01,13.94,0.11,11.95,138.82,115.23,1024.24,34.907,17.88,-93.0,0.0,3.667,616.7,8.504,2054.7,117.0,130.1,0.80,3.50,9.90,28.700,53.0,1017.30,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,32.461,0.00005,0.01100,7.291,0.014,1514.63,0.00004,164931.8,17.0251160,-61.8732033,18.100,13.10,30.11,28.500,-999,-999,112.9,127.5,3.00,-0.40,0.10
"2018-03-15 17:00:00",-9,3.36,3.01,13.96,0.11,11.94,140.62,119.63,1024.70,34.919,18.00,-93.0,0.0,4.540,762.8,8.421,2034.9,129.0,142.2,0.30,2.80,7.70,28.500,55.5,1017.20,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0,17.00,32.530,0.00005,0.01000,7.308,0.014,1514.78,0.00004,165931.8,17.0251427,-61.8732109,18.600,13.20,30.11,28.700,-999,-999,115.4,130.0,2.60,-0.40,0.10
