YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00  84  4.4  4.8 99.00 99.00 99.00 999 1020.2 999.0  25.0 999.0 99.0
97 01 01 01  76  4.1  4.4 99.00 99.00 99.00 999 1020.5 999.0  24.9 999.0 99.0
97 01 01 02  77  4.2  4.5 99.00 99.00 99.00 999 1020.8 999.0  24.9 999.0 99.0
97 01 01 03  89  5.3  5.7 99.00 99.00 99.00 999 1020.7 999.0  24.9 999.0 99.0
97 01 01 04  86  5.0  5.4 99.00 99.00 99.00 999 1020.6 999.0  24.9 999.0 99.0
97 01 01 05  85  5.0  5.5 99.00 99.00 99.00 999 1020.1 999.0  24.8 999.0 99.0
97 01 01 06  96  5.2  5.8 99.00 99.00 99.00 999 1020.0 999.0  24.7 999.0 99.0
97 01 01 07 103  4.6  5.1 99.00 99.00 99.00 999 1019.8 999.0  24.7 999.0 99.0
97 01 01 08 111  5.6  6.0 99.00 99.00 99.00 999 1019.4 999.0  24.7 999.0 99.0
97 01 01 09 115  5.7  6.5 99.00 99.00 99.00 999 1019.3 999.0  24.7 999.0 99.0
97 01 01 10 112  3.9  4.3 99.00 99.00 99.00 999 1019.1 999.0  24.7 999.0 99.0
97 01 01 11 106  4.7  5.3 99.00 99.00 99.00 999 1019.0 999.0  24.6 999.0 99.0
97 01 01 12  99  2.8  3.2 99.00 99.00 99.00 999 1019.8 999.0  24.6 999.0 99.0
97 01 01 13 106  5.8  6.1 99.00 99.00 99.00 999 1020.0 999.0  24.6 999.0 99.0
97 01 01 14 105  5.8  6.6 99.00 99.00 99.00 999 1020.4 999.0  24.6 999.0 99.0
97 01 01 15 110  6.5  7.4 99.00 99.00 99.00 999 1020.8 999.0  24.7 999.0 99.0
97 01 01 16 110  5.0  5.7 99.00 99.00 99.00 999 1020.3 999.0  24.9 999.0 99.0
97 01 01 17 104  3.7  4.1 99.00 99.00 99.00 999 1019.7 999.0  24.9 999.0 99.0
97 01 01 18 110  3.9  4.5 99.00 99.00 99.00 999 1018.6 999.0  24.9 999.0 99.0
97 01 01 19 118  4.5  5.1 99.00 99.00 99.00 999 1017.9 999.0  25.0 999.0 99.0
97 01 01 20 121  4.0  4.4 99.00 99.00 99.00 999 1017.6 999.0  25.0 999.0 99.0
97 01 01 21 115  3.8  4.2 99.00 99.00 99.00 999 1017.6 999.0  24.9 999.0 99.0
97 01 01 22 109  4.0  4.4 99.00 99.00 99.00 999 1017.6 999.0  25.0 999.0 99.0
97 01 01 23 110  4.1  4.6 99.00 99.00 99.00 999 1017.9 999.0  24.9 999.0 99.0
