YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00  50  6.1  6.8 99.00 99.00 99.00 999 1020.3  22.9  25.1 999.0 99.0
1999 01 01 01  56  6.4  7.6 99.00 99.00 99.00 999 1020.6  22.9  25.1 999.0 99.0
1999 01 01 02  63  7.7  8.2 99.00 99.00 99.00 999 1020.9  23.1  25.0 999.0 99.0
1999 01 01 03  57  7.1  7.8 99.00 99.00 99.00 999 1021.1  23.2  25.0 999.0 99.0
1999 01 01 04  59  8.1  8.9 99.00 99.00 99.00 999 1020.9  23.1  24.9 999.0 99.0
1999 01 01 05  56  9.0 10.6 99.00 99.00 99.00 999 1020.7  23.0  24.7 999.0 99.0
1999 01 01 06  47  8.2  9.1 99.00 99.00 99.00 999 1020.7  22.9  24.6 999.0 99.0
1999 01 01 07  53  7.3  7.8 99.00 99.00 99.00 999 1020.4  22.6  24.4 999.0 99.0
1999 01 01 08  56  9.0  9.7 99.00 99.00 99.00 999 1020.2  22.9  24.9 999.0 99.0
1999 01 01 09  54  8.8  9.9 99.00 99.00 99.00 999 1020.3  23.0  24.9 999.0 99.0
1999 01 01 10  52  8.9 10.3 99.00 99.00 99.00 999 1020.0  22.9  24.9 999.0 99.0
1999 01 01 11  61 10.1 11.0 99.00 99.00 99.00 999 1020.1  23.0  24.9 999.0 99.0
1999 01 01 12  67  9.5 10.3 99.00 99.00 99.00 999 1020.7  23.2  24.9 999.0 99.0
1999 01 01 13  68  9.8 10.9 99.00 99.00 99.00 999 1021.2  23.3  24.9 999.0 99.0
1999 01 01 14  64  9.4 10.0 99.00 99.00 99.00 999 1021.6  23.4  25.0 999.0 99.0
1999 01 01 15  55  9.4 10.1 99.00 99.00 99.00 999 1021.9  23.5  25.0 999.0 99.0
1999 01 01 16  81  7.5  8.4 99.00 99.00 99.00 999 1022.0  23.6  24.9 999.0 99.0
1999 01 01 17  72  9.3 10.6 99.00 99.00 99.00 999 1021.1  23.7  24.9 999.0 99.0
