YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 330  6.4  7.5 99.00 99.00 99.00 999 1024.5  11.5  22.6 999.0 99.0 99.00
2001 01 01 01 321  7.4  7.8 99.00 99.00 99.00 999 1024.9  11.1  22.4 999.0 99.0 99.00
2001 01 01 02 334  5.8  6.4 99.00 99.00 99.00 999 1025.1  11.7  22.3 999.0 99.0 99.00
2001 01 01 03 336  5.9  6.7 99.00 99.00 99.00 999 1025.1  12.1  22.7 999.0 99.0 99.00
2001 01 01 04 328  5.7  6.4 99.00 99.00 99.00 999 1025.1  11.8  23.1 999.0 99.0 99.00
2001 01 01 05 338  6.7  7.5 99.00 99.00 99.00 999 1025.2  11.6  23.1 999.0 99.0 99.00
2001 01 01 06 323  6.9  7.6 99.00 99.00 99.00 999 1025.3  11.6  23.0 999.0 99.0 99.00
2001 01 01 07 336  6.8  7.4 99.00 99.00 99.00 999 1025.1  11.4  23.1 999.0 99.0 99.00
2001 01 01 08 337  7.5  8.3 99.00 99.00 99.00 999 1024.8  10.9  22.9 999.0 99.0 99.00
2001 01 01 09 335  7.7  8.4 99.00 99.00 99.00 999 1024.6  10.9  22.8 999.0 99.0 99.00
2001 01 01 10 322  6.1  6.9 99.00 99.00 99.00 999 1024.9  11.1  22.3 999.0 99.0 99.00
2001 01 01 11 320  6.5  7.2 99.00 99.00 99.00 999 1025.4  10.1  21.8 999.0 99.0 99.00
2001 01 01 12 325  7.2  7.9 99.00 99.00 99.00 999 1025.5  10.1  21.8 999.0 99.0 99.00
2001 01 01 13 330  8.0  8.6 99.00 99.00 99.00 999 1026.0  10.5  21.9 999.0 99.0 99.00
2001 01 01 14 337  5.4  6.2 99.00 99.00 99.00 999 1026.4  12.2  22.7 999.0 99.0 99.00
2001 01 01 15 353  5.5  6.6 99.00 99.00 99.00 999 1026.6  12.8  23.2 999.0 99.0 99.00
2001 01 01 16 347  6.1  6.7 99.00 99.00 99.00 999 1027.0  13.7  23.3 999.0 99.0 99.00
2001 01 01 17 351  6.1  6.8 99.00 99.00 99.00 999 1026.2  14.8  23.4 999.0 99.0 99.00
2001 01 01 18   7  6.7  7.8 99.00 99.00 99.00 999 1025.7  15.5  23.3 999.0 99.0 99.00
2001 01 01 19   8  6.8  7.6 99.00 99.00 99.00 999 1024.7  16.1  23.3 999.0 99.0 99.00
2001 01 01 20  16  6.2  8.1 99.00 99.00 99.00 999 1024.2  16.7  23.1 999.0 99.0 99.00
2001 01 01 21  17  7.2  8.6 99.00 99.00 99.00 999 1024.1  17.4  23.1 999.0 99.0 99.00
2001 01 01 22  13  8.3  9.6 99.00 99.00 99.00 999 1024.4  17.8  22.9 999.0 99.0 99.00
2001 01 01 23  21  6.6  8.0 99.00 99.00 99.00 999 1024.7  18.0  22.7 999.0 99.0 99.00
2001 01 02 00  39  6.3  7.8 99.00 99.00 99.00 999 1024.9  18.2  22.4 999.0 99.0 99.00
2001 01 02 01  45  5.6  6.5 99.00 99.00 99.00 999 1024.9  18.3  22.2 999.0 99.0 99.00
2001 01 02 02  42  5.0  6.1 99.00 99.00 99.00 999 1025.5  18.5  22.0 999.0 99.0 99.00
2001 01 02 03  60  4.5  5.3 99.00 99.00 99.00 999 1025.4  18.6  22.9 999.0 99.0 99.00
2001 01 02 04  65  5.7  6.3 99.00 99.00 99.00 999 1025.1  18.6  23.2 999.0 99.0 99.00
2001 01 02 05  48  5.3  6.2 99.00 99.00 99.00 999 1025.1  18.6  23.3 999.0 99.0 99.00
2001 01 02 06  57  5.3  6.2 99.00 99.00 99.00 999 1024.8  18.6  23.3 999.0 99.0 99.00
2001 01 02 07  38  5.1  6.0 99.00 99.00 99.00 999 1024.7  18.6  23.3 999.0 99.0 99.00
2001 01 02 08  55  5.9  6.7 99.00 99.00 99.00 999 1024.6  18.6  23.2 999.0 99.0 99.00
2001 01 02 09  31  7.4  8.6 99.00 99.00 99.00 999 1024.1  18.5  22.9 999.0 99.0 99.00
2001 01 02 10  42  8.0  8.8 99.00 99.00 99.00 999 1024.0  18.6  22.8 999.0 99.0 99.00
2001 01 02 11  49  7.3  8.7 99.00 99.00 99.00 999 1024.7  18.6  22.5 999.0 99.0 99.00
2001 01 02 12  41  7.8  9.2 99.00 99.00 99.00 999 1025.2  18.8  22.1 999.0 99.0 99.00
2001 01 02 13 340  7.5  8.3 99.00 99.00 99.00 999 1026.3  16.1  21.9 999.0 99.0 99.00
2001 01 02 14 354  8.3  8.8 99.00 99.00 99.00 999 1027.1  15.8  21.4 999.0 99.0 99.00
