YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 01 01 00 142 14.8 16.3 99.00 99.00 99.00 999 1014.7  25.0  24.2 999.0 99.0 99.00
2003 01 01 01 137 17.0 19.6 99.00 99.00 99.00 999 1013.8  25.1  24.2 999.0 99.0 99.00
2003 01 01 02 143 16.5 18.1 99.00 99.00 99.00 999 1014.6  25.1  24.1 999.0 99.0 99.00
2003 01 01 03 144 16.1 17.8 99.00 99.00 99.00 999 1015.0  25.0  24.1 999.0 99.0 99.00
2003 01 01 04 148 17.0 19.2 99.00 99.00 99.00 999 1014.1  24.9  23.9 999.0 99.0 99.00
2003 01 01 05 149 15.9 18.2 99.00 99.00 99.00 999 1013.6  24.8  23.3 999.0 99.0 99.00
2003 01 01 06 157 15.6 16.7 99.00 99.00 99.00 999 1013.6  24.9  23.2 999.0 99.0 99.00
2003 01 01 07 164 14.6 16.1 99.00 99.00 99.00 999 1013.0  24.5  23.1 999.0 99.0 99.00
2003 01 01 08 174 14.8 15.9 99.00 99.00 99.00 999 1013.8  24.7  23.3 999.0 99.0 99.00
2003 01 01 09 175 12.1 13.7 99.00 99.00 99.00 999 1013.8  24.5  23.7 999.0 99.0 99.00
2003 01 01 10 186 12.4 13.2 99.00 99.00 99.00 999 1012.9  23.7  23.9 999.0 99.0 99.00
2003 01 01 11 193  9.9 10.5 99.00 99.00 99.00 999 1013.5  24.5  24.0 999.0 99.0 99.00
2003 01 01 12 224  6.0  6.5 99.00 99.00 99.00 999 1014.3  23.6  23.9 999.0 99.0 99.00
2003 01 01 13 200  8.4  9.3 99.00 99.00 99.00 999 1014.6  23.9  23.9 999.0 99.0 99.00
2003 01 01 14 188 11.5 12.6 99.00 99.00 99.00 999 1014.7  25.1  23.9 999.0 99.0 99.00
2003 01 01 15 197 11.3 12.0 99.00 99.00 99.00 999 1015.2  25.6  24.0 999.0 99.0 99.00
2003 01 01 16 208 10.0 10.7 99.00 99.00 99.00 999 1015.0  24.8  24.1 999.0 99.0 99.00
2003 01 01 17 210  9.6 11.1 99.00 99.00 99.00 999 1014.4  24.8  24.1 999.0 99.0 99.00
2003 01 01 18 215  8.8  9.6 99.00 99.00 99.00 999 1013.8  24.7  24.1 999.0 99.0 99.00
2003 01 01 19 202  9.6 10.1 99.00 99.00 99.00 999 1013.3  24.6  24.0 999.0 99.0 99.00
2003 01 01 20 202  9.0  9.6 99.00 99.00 99.00 999 1013.0  24.7  24.0 999.0 99.0 99.00
2003 01 01 21 214 10.1 10.8 99.00 99.00 99.00 999 1013.1  24.9  24.0 999.0 99.0 99.00
2003 01 01 22 213  8.5  9.3 99.00 99.00 99.00 999 1013.3  24.3  23.9 999.0 99.0 99.00
2003 01 01 23 244  6.3  6.9 99.00 99.00 99.00 999 1014.1  23.9  23.9 999.0 99.0 99.00
2003 01 02 00 266  4.3  5.0 99.00 99.00 99.00 999 1014.7  23.7  23.9 999.0 99.0 99.00
2003 01 02 01 270  3.2  3.8 99.00 99.00 99.00 999 1015.0  23.7  23.8 999.0 99.0 99.00
