YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00  74  6.6  7.2 99.00 99.00 99.00 999 1026.2  23.9  23.7 999.0 99.0 99.00
2004 01 01 01  65  6.0  6.4 99.00 99.00 99.00 999 1026.7  23.9  23.5 999.0 99.0 99.00
2004 01 01 02  69  6.5  6.8 99.00 99.00 99.00 999 1027.0  23.9  23.4 999.0 99.0 99.00
2004 01 01 03  81  5.4  5.8 99.00 99.00 99.00 999 1027.1  24.1  23.4 999.0 99.0 99.00
2004 01 01 04  73  5.6  6.2 99.00 99.00 99.00 999 1026.5  23.8  23.5 999.0 99.0 99.00
2004 01 01 05  90  5.6  6.1 99.00 99.00 99.00 999 1026.3  23.7  23.5 999.0 99.0 99.00
2004 01 01 06  78  7.1  7.9 99.00 99.00 99.00 999 1025.9  23.7  23.5 999.0 99.0 99.00
2004 01 01 07  75  7.4  8.9 99.00 99.00 99.00 999 1026.0  23.6  23.4 999.0 99.0 99.00
2004 01 01 08  78  7.5  8.0 99.00 99.00 99.00 999 1025.6  23.5  24.0 999.0 99.0 99.00
2004 01 01 09  75  6.3  6.9 99.00 99.00 99.00 999 1025.5  23.5  23.9 999.0 99.0 99.00
2004 01 01 10  87  6.4  7.7 99.00 99.00 99.00 999 1025.8  23.4  24.4 999.0 99.0 99.00
2004 01 01 11  80  6.1  6.8 99.00 99.00 99.00 999 1025.9  23.4  24.4 999.0 99.0 99.00
2004 01 01 12  94  6.0  6.7 99.00 99.00 99.00 999 1026.6  23.4  23.7 999.0 99.0 99.00
2004 01 01 13  93  7.1  7.9 99.00 99.00 99.00 999 1027.2  23.5  23.8 999.0 99.0 99.00
2004 01 01 14 101  6.7  8.0 99.00 99.00 99.00 999 1027.8  23.7  23.7 999.0 99.0 99.00
2004 01 01 15 109  8.9 10.4 99.00 99.00 99.00 999 1028.6  23.1  23.8 999.0 99.0 99.00
2004 01 01 16  83  7.8  8.4 99.00 99.00 99.00 999 1028.6  23.7  24.2 999.0 99.0 99.00
2004 01 01 17  83  5.8  6.6 99.00 99.00 99.00 999 1028.0  23.6  24.3 999.0 99.0 99.00
2004 01 01 18  80  5.6  6.0 99.00 99.00 99.00 999 1026.9  23.5  24.3 999.0 99.0 99.00
2004 01 01 19  89  6.5  6.8 99.00 99.00 99.00 999 1026.2  23.4  24.3 999.0 99.0 99.00
2004 01 01 20  72  4.5  5.0 99.00 99.00 99.00 999 1026.1  23.6  24.4 999.0 99.0 99.00
2004 01 01 21  70  5.8  6.3 99.00 99.00 99.00 999 1026.2  23.6  24.3 999.0 99.0 99.00
2004 01 01 22  70  6.7  7.2 99.00 99.00 99.00 999 1026.1  23.6  24.2 999.0 99.0 99.00
2004 01 01 23  72  6.6  7.0 99.00 99.00 99.00 999 1026.2  23.5  23.8 999.0 99.0 99.00
2004 01 02 00  85  7.7  8.8 99.00 99.00 99.00 999 1026.3  23.8  23.8 999.0 99.0 99.00
2004 01 02 01  81  7.7  8.6 99.00 99.00 99.00 999 1026.8  23.6  23.8 999.0 99.0 99.00
2004 01 02 02  79  7.2  8.1 99.00 99.00 99.00 999 1026.8  23.6  23.7 999.0 99.0 99.00
2004 01 02 03  77  7.7  8.3 99.00 99.00 99.00 999 1026.9  23.6  23.4 999.0 99.0 99.00
2004 01 02 04  85  8.5  9.1 99.00 99.00 99.00 999 1026.4  23.4  23.3 999.0 99.0 99.00
2004 01 02 05  82  7.9  8.4 99.00 99.00 99.00 999 1025.8  23.4  23.7 999.0 99.0 99.00
2004 01 02 06  97  8.4  9.0 99.00 99.00 99.00 999 1025.0  23.3  23.4 999.0 99.0 99.00
2004 01 02 07  94  8.8  9.6 99.00 99.00 99.00 999 1024.4  23.3  23.7 999.0 99.0 99.00
2004 01 02 08  90  8.6  9.4 99.00 99.00 99.00 999 1024.1  23.2  23.8 999.0 99.0 99.00
2004 01 02 09  78  8.7  9.4 99.00 99.00 99.00 999 1023.9  23.2  23.8 999.0 99.0 99.00
2004 01 02 10  73  7.7  8.3 99.00 99.00 99.00 999 1023.9  23.2  23.8 999.0 99.0 99.00
2004 01 02 11  76  9.0  9.6 99.00 99.00 99.00 999 1024.1  23.2  23.8 999.0 99.0 99.00
