YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00  88 13.3 14.1 99.00 99.00 99.00 999 1025.6  22.4  23.6 999.0 99.0 99.00
2005 01 01 01 00  89 11.9 12.9 99.00 99.00 99.00 999 1025.9  22.7  23.5 999.0 99.0 99.00
2005 01 01 02 00  89 13.7 14.6 99.00 99.00 99.00 999 1026.0  23.0  23.5 999.0 99.0 99.00
2005 01 01 03 00  88 12.2 14.5 99.00 99.00 99.00 999 1026.5  22.8  23.5 999.0 99.0 99.00
2005 01 01 04 00  85 13.9 14.7 99.00 99.00 99.00 999 1026.2  22.6  23.6 999.0 99.0 99.00
2005 01 01 05 00  78 12.8 13.4 99.00 99.00 99.00 999 1026.2  22.6  23.6 999.0 99.0 99.00
2005 01 01 06 00  78 12.1 13.1 99.00 99.00 99.00 999 1025.7  22.5  23.6 999.0 99.0 99.00
2005 01 01 07 00  93 12.3 13.7 99.00 99.00 99.00 999 1025.1  22.5  23.6 999.0 99.0 99.00
2005 01 01 08 00  87 12.3 13.0 99.00 99.00 99.00 999 1024.8  22.4  23.6 999.0 99.0 99.00
2005 01 01 09 00  93 11.4 12.6 99.00 99.00 99.00 999 1024.5  22.4  23.5 999.0 99.0 99.00
2005 01 01 10 00  72  9.9 11.1 99.00 99.00 99.00 999 1024.7  22.8  23.5 999.0 99.0 99.00
2005 01 01 11 00  63  8.9 10.3 99.00 99.00 99.00 999 1025.0  22.9  23.5 999.0 99.0 99.00
2005 01 01 12 00  57  8.8 10.0 99.00 99.00 99.00 999 1025.7  22.9  23.4 999.0 99.0 99.00
2005 01 01 13 00  67  8.3  8.9 99.00 99.00 99.00 999 1026.6  22.9  23.4 999.0 99.0 99.00
2005 01 01 14 00  81  9.2 10.8 99.00 99.00 99.00 999 1027.1  23.0  23.5 999.0 99.0 99.00
2005 01 01 15 00  80  9.0  9.9 99.00 99.00 99.00 999 1027.6  23.2  23.7 999.0 99.0 99.00
2005 01 01 16 00  81 10.0 10.9 99.00 99.00 99.00 999 1027.4  23.2  23.8 999.0 99.0 99.00
2005 01 01 17 00  75  9.0 10.1 99.00 99.00 99.00 999 1026.8  23.2  23.9 999.0 99.0 99.00
2005 01 01 18 00  74  8.1  8.8 99.00 99.00 99.00 999 1026.1  23.6  24.0 999.0 99.0 99.00
2005 01 01 19 00  68  8.2  9.0 99.00 99.00 99.00 999 1025.5  23.5  24.0 999.0 99.0 99.00
2005 01 01 20 00  66  9.8 10.2 99.00 99.00 99.00 999 1025.5  23.2  24.0 999.0 99.0 99.00
2005 01 01 21 00  69 10.8 11.3 99.00 99.00 99.00 999 1025.2  23.2  24.0 999.0 99.0 99.00
2005 01 01 22 00  70 11.9 13.1 99.00 99.00 99.00 999 1025.2  23.2  24.0 999.0 99.0 99.00
2005 01 01 23 00  80 12.7 14.6 99.00 99.00 99.00 999 1025.4  22.7  23.9 999.0 99.0 99.00
2005 01 02 00 00  83 12.9 13.4 99.00 99.00 99.00 999 1025.7  22.8  23.9 999.0 99.0 99.00
2005 01 02 01 00  84 11.9 12.9 99.00 99.00 99.00 999 1026.2  22.9  23.9 999.0 99.0 99.00
2005 01 02 02 00  91 11.8 12.8 99.00 99.00 99.00 999 1026.6  22.9  23.8 999.0 99.0 99.00
2005 01 02 03 00  95 12.9 13.8 99.00 99.00 99.00 999 1026.4  22.7  23.8 999.0 99.0 99.00
2005 01 02 04 00  91 11.7 12.9 99.00 99.00 99.00 999 1026.6  22.7  23.8 999.0 99.0 99.00
2005 01 02 05 00  85 10.7 11.8 99.00 99.00 99.00 999 1026.4  22.5  23.8 999.0 99.0 99.00
2005 01 02 06 00  84  9.5 10.8 99.00 99.00 99.00 999 1026.1  22.6  23.7 999.0 99.0 99.00
2005 01 02 07 00  78  9.0  9.8 99.00 99.00 99.00 999 1025.9  22.5  23.7 999.0 99.0 99.00
2005 01 02 08 00  70  9.6 10.1 99.00 99.00 99.00 999 1025.3  22.3  23.7 999.0 99.0 99.00
2005 01 02 09 00  68  8.8 10.0 99.00 99.00 99.00 999 1025.6  22.4  23.6 999.0 99.0 99.00
2005 01 02 10 00  68  8.5  9.1 99.00 99.00 99.00 999 1025.7  22.5  23.6 999.0 99.0 99.00
2005 01 02 11 00  68  9.3  9.7 99.00 99.00 99.00 999 1026.0  22.5  23.6 999.0 99.0 99.00
2005 01 02 12 00  74 11.5 12.5 99.00 99.00 99.00 999 1025.9  22.6  23.6 999.0 99.0 99.00
2005 01 02 13 00  81 12.8 13.5 99.00 99.00 99.00 999 1026.6  22.6  23.6 999.0 99.0 99.00
2005 01 02 14 00  82 12.8 13.8 99.00 99.00 99.00 999 1027.5  22.5  23.6 999.0 99.0 99.00
2005 01 02 15 00  74 12.1 12.8 99.00 99.00 99.00 999 1028.0  22.5  23.6 999.0 99.0 99.00
2005 01 02 16 00  74 10.4 11.2 99.00 99.00 99.00 999 1028.0  22.6  23.6 999.0 99.0 99.00
2005 01 02 17 00  76 10.2 11.2 99.00 99.00 99.00 999 1027.2  22.6  23.7 999.0 99.0 99.00
2005 01 02 18 00  69  9.2  9.9 99.00 99.00 99.00 999 1026.4  22.7  23.8 999.0 99.0 99.00
2005 01 02 19 00  72  8.8  9.9 99.00 99.00 99.00 999 1025.9  22.6  23.9 999.0 99.0 99.00
2005 01 02 20 00  70  9.9 10.6 99.00 99.00 99.00 999 1025.5  22.6  23.9 999.0 99.0 99.00
2005 01 02 21 00  56  9.8 10.7 99.00 99.00 99.00 999 1025.6  22.7  23.8 999.0 99.0 99.00
2005 01 02 22 00  72 11.3 12.1 99.00 99.00 99.00 999 1025.7  22.8  23.7 999.0 99.0 99.00
2005 01 02 23 00  61 10.5 11.6 99.00 99.00 99.00 999 1025.8  22.7  23.7 999.0 99.0 99.00
2005 01 03 00 00  63 10.7 11.6 99.00 99.00 99.00 999 1026.1  22.7  23.6 999.0 99.0 99.00
2005 01 03 01 00  75 11.8 13.0 99.00 99.00 99.00 999 1026.5  22.8  23.7 999.0 99.0 99.00
2005 01 03 02 00  73 12.0 12.8 99.00 99.00 99.00 999 1026.8  22.8  23.8 999.0 99.0 99.00
2005 01 03 03 00  78 11.3 12.0 99.00 99.00 99.00 999 1026.8  22.8  23.8 999.0 99.0 99.00
2005 01 03 04 00  78 10.9 11.8 99.00 99.00 99.00 999 1026.8  22.7  23.8 999.0 99.0 99.00
2005 01 03 05 00  84 10.7 11.4 99.00 99.00 99.00 999 1026.4  22.5  23.9 999.0 99.0 99.00
2005 01 03 06 00  84 10.2 11.3 99.00 99.00 99.00 999 1026.1  22.4  23.8 999.0 99.0 99.00
2005 01 03 07 00  75  9.6 10.4 99.00 99.00 99.00 999 1026.1  22.5  23.7 999.0 99.0 99.00
2005 01 03 08 00  79 10.1 11.1 99.00 99.00 99.00 999 1025.5  22.3  23.7 999.0 99.0 99.00
2005 01 03 09 00  66  9.7 10.5 99.00 99.00 99.00 999 1025.7  22.5  23.6 999.0 99.0 99.00
2005 01 03 10 00  69  9.6 10.7 99.00 99.00 99.00 999 1025.6  22.5  23.5 999.0 99.0 99.00
2005 01 03 11 00  69 10.2 11.6 99.00 99.00 99.00 999 1025.7  22.4  23.5 999.0 99.0 99.00
2005 01 03 12 00  55 10.9 11.6 99.00 99.00 99.00 999 1026.0  22.5  23.4 999.0 99.0 99.00
2005 01 03 13 00  55 11.7 12.7 99.00 99.00 99.00 999 1026.3  22.5  23.2 999.0 99.0 99.00
2005 01 03 14 00  66 13.1 13.9 99.00 99.00 99.00 999 1026.6  22.5  22.9 999.0 99.0 99.00
2005 01 03 15 00  74 12.3 13.2 99.00 99.00 99.00 999 1027.2  22.6  23.3 999.0 99.0 99.00
2005 01 03 16 00  73  9.1  9.9 99.00 99.00 99.00 999 1027.0  22.6  23.5 999.0 99.0 99.00
2005 01 03 17 00  70  9.8 10.7 99.00 99.00 99.00 999 1026.0  22.6  23.6 999.0 99.0 99.00
2005 01 03 18 00  70  9.4 10.3 99.00 99.00 99.00 999 1025.0  22.5  23.7 999.0 99.0 99.00
2005 01 03 19 00  66  9.0  9.4 99.00 99.00 99.00 999 1024.3  22.6  23.8 999.0 99.0 99.00
2005 01 03 20 00  66  9.6 10.4 99.00 99.00 99.00 999 1023.9  22.7  23.8 999.0 99.0 99.00
2005 01 03 21 00  60  9.6 11.0 99.00 99.00 99.00 999 1023.8  22.7  23.8 999.0 99.0 99.00
2005 01 03 22 00  63 11.2 11.9 99.00 99.00 99.00 999 1023.9  22.8  23.6 999.0 99.0 99.00
2005 01 03 23 00  56 10.0 10.7 99.00 99.00 99.00 999 1024.3  22.9  23.5 999.0 99.0 99.00
2005 01 04 00 00  56 10.8 11.7 99.00 99.00 99.00 999 1025.0  23.0  23.4 999.0 99.0 99.00
2005 01 04 01 00  57 10.6 12.0 99.00 99.00 99.00 999 1025.4  23.2  23.6 999.0 99.0 99.00
2005 01 04 02 00  61 11.0 11.9 99.00 99.00 99.00 999 1025.7  23.2  23.6 999.0 99.0 99.00
2005 01 04 03 00  74 12.6 13.5 99.00 99.00 99.00 999 1025.6  22.9  23.7 999.0 99.0 99.00
2005 01 04 04 00  80 12.3 13.9 99.00 99.00 99.00 999 1025.2  22.8  23.7 999.0 99.0 99.00
2005 01 04 05 00  79 10.7 11.2 99.00 99.00 99.00 999 1024.8  22.8  23.9 999.0 99.0 99.00
2005 01 04 06 00  71  9.5  9.9 99.00 99.00 99.00 999 1024.7  22.8  23.8 999.0 99.0 99.00
2005 01 04 07 00  67  9.3 10.0 99.00 99.00 99.00 999 1024.3  22.8  23.8 999.0 99.0 99.00
2005 01 04 08 00  76  9.1  9.7 99.00 99.00 99.00 999 1023.8  22.7  23.8 999.0 99.0 99.00
2005 01 04 09 00  85 10.3 11.5 99.00 99.00 99.00 999 1023.6  22.7  23.7 999.0 99.0 99.00
2005 01 04 10 00  74  9.7 10.4 99.00 99.00 99.00 999 1023.6  22.8  23.6 999.0 99.0 99.00
2005 01 04 11 00  83  9.2  9.6 99.00 99.00 99.00 999 1023.9  22.8  23.6 999.0 99.0 99.00
2005 01 04 12 00  77  9.0 10.3 99.00 99.00 99.00 999 1024.3  22.9  23.8 999.0 99.0 99.00
2005 01 04 13 00  80  9.4 10.3 99.00 99.00 99.00 999 1024.7  23.1  23.7 999.0 99.0 99.00
2005 01 04 14 00  85  9.7 10.5 99.00 99.00 99.00 999 1025.4  23.0  23.8 999.0 99.0 99.00
2005 01 04 15 00  80  9.4 10.2 99.00 99.00 99.00 999 1026.0  23.2  23.9 999.0 99.0 99.00
2005 01 04 16 00  69  8.9  9.3 99.00 99.00 99.00 999 1025.9  23.2  23.9 999.0 99.0 99.00
2005 01 04 17 00  81  9.2  9.8 99.00 99.00 99.00 999 1025.4  23.2  23.9 999.0 99.0 99.00
2005 01 04 18 00  86  9.3  9.8 99.00 99.00 99.00 999 1024.4  23.2  23.6 999.0 99.0 99.00
