#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00  91  9.1 10.1 99.00 99.00 99.00 999 1021.1  24.4  25.4 999.0 99.0 99.00
2007 01 01 01 00  91  9.0  9.6 99.00 99.00 99.00 999 1021.6  24.5  25.4 999.0 99.0 99.00
2007 01 01 02 00  91  9.7 10.4 99.00 99.00 99.00 999 1021.8  24.4  25.3 999.0 99.0 99.00
2007 01 01 03 00  97  9.3 10.2 99.00 99.00 99.00 999 1021.9  24.5  25.3 999.0 99.0 99.00
2007 01 01 04 00 100  9.2  9.7 99.00 99.00 99.00 999 1021.7  24.5  25.2 999.0 99.0 99.00
2007 01 01 05 00 109 10.1 10.8 99.00 99.00 99.00 999 1020.8  24.6  25.3 999.0 99.0 99.00
2007 01 01 06 00 113 10.0 11.1 99.00 99.00 99.00 999 1020.4  24.4  25.3 999.0 99.0 99.00
2007 01 01 07 00 119  8.9 10.0 99.00 99.00 99.00 999 1020.4  24.4  25.3 999.0 99.0 99.00
2007 01 01 08 00 122  8.6  9.2 99.00 99.00 99.00 999 1020.0  24.3  25.2 999.0 99.0 99.00
2007 01 01 09 00 128  9.9 10.8 99.00 99.00 99.00 999 1019.3  24.3  25.2 999.0 99.0 99.00
2007 01 01 10 00 124  8.9  9.4 99.00 99.00 99.00 999 1019.3  24.3  25.3 999.0 99.0 99.00
2007 01 01 11 00 129  8.8  9.5 99.00 99.00 99.00 999 1019.6  24.4  25.2 999.0 99.0 99.00
2007 01 01 12 00 121  6.9  7.3 99.00 99.00 99.00 999 1020.4  24.4  25.2 999.0 99.0 99.00
2007 01 01 13 00 127  7.3  8.3 99.00 99.00 99.00 999 1021.3  24.5  25.2 999.0 99.0 99.00
2007 01 01 14 00 124  5.4  5.9 99.00 99.00 99.00 999 1021.8  24.8  25.2 999.0 99.0 99.00
2007 01 01 15 00 126  7.6  8.2 99.00 99.00 99.00 999 1021.7  24.8  25.2 999.0 99.0 99.00
2007 01 01 16 00 138  7.4  8.2 99.00 99.00 99.00 999 1021.3  24.8  25.3 999.0 99.0 99.00
2007 01 01 17 00 138  7.9  8.9 99.00 99.00 99.00 999 1020.4  24.8  25.4 999.0 99.0 99.00
