#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 00  41 10.7 12.8 99.00 99.00 99.00 999 1021.9  23.6  25.9 999.0 99.0 99.00
2014 01 01 01 00  48 12.1 12.8 99.00 99.00 99.00 999 1022.3  23.9  25.9 999.0 99.0 99.00
2014 01 01 02 00  49 11.3 12.5 99.00 99.00 99.00 999 1022.6  23.8  25.8 999.0 99.0 99.00
2014 01 01 03 00  51 11.8 12.7 99.00 99.00 99.00 999 1022.7  24.0  25.8 999.0 99.0 99.00
2014 01 01 04 00  68 11.7 12.9 99.00 99.00 99.00 999 1022.5  24.2  25.6 999.0 99.0 99.00
2014 01 01 05 00  71 10.5 11.3 99.00 99.00 99.00 999 1021.8  24.2  25.6 999.0 99.0 99.00
2014 01 01 06 00  79 11.5 12.2 99.00 99.00 99.00 999 1021.3  24.3  25.5 999.0 99.0 99.00
2014 01 01 07 00  78 11.4 12.4 99.00 99.00 99.00 999 1020.8  24.3  25.7 999.0 99.0 99.00
2014 01 01 08 00  81 11.7 12.4 99.00 99.00 99.00 999 1020.4  24.2  25.7 999.0 99.0 99.00
2014 01 01 09 00  84 11.1 12.1 99.00 99.00 99.00 999 1020.1  24.3  25.7 999.0 99.0 99.00
2014 01 01 10 00  88 11.2 12.1 99.00 99.00 99.00 999 1020.0  24.4  25.7 999.0 99.0 99.00
2014 01 01 11 00  93 11.3 12.0 99.00 99.00 99.00 999 1020.1  24.4  25.8 999.0 99.0 99.00
2014 01 01 12 00  89  9.6 10.5 99.00 99.00 99.00 999 1020.6  24.6  25.8 999.0 99.0 99.00
2014 01 01 13 00  80  8.9  9.5 99.00 99.00 99.00 999 1021.5  24.7  25.8 999.0 99.0 99.00
2014 01 01 14 00  90  9.2 10.2 99.00 99.00 99.00 999 1021.7  25.0  25.8 999.0 99.0 99.00
2014 01 01 15 00  89 10.1 10.7 99.00 99.00 99.00 999 1021.9  25.1  25.8 999.0 99.0 99.00
2014 01 01 16 00  85  8.1  9.0 99.00 99.00 99.00 999 1021.7  25.1  25.9 999.0 99.0 99.00
2014 01 01 17 00 112  7.9  8.4 99.00 99.00 99.00 999 1020.8  25.6  25.9 999.0 99.0 99.00
2014 01 01 18 00 117  9.3  9.8 99.00 99.00 99.00 999 1019.6  25.5  25.9 999.0 99.0 99.00
2014 01 01 19 00 116  8.4  9.1 99.00 99.00 99.00 999 1018.7  25.4  26.0 999.0 99.0 99.00
2014 01 01 20 00 122  8.0  8.9 99.00 99.00 99.00 999 1018.2  25.4  26.1 999.0 99.0 99.00
2014 01 01 21 00 114  7.8  8.4 99.00 99.00 99.00 999 1018.1  25.5  26.0 999.0 99.0 99.00
2014 01 01 22 00 113  6.2  6.5 99.00 99.00 99.00 999 1018.3  25.4  25.9 999.0 99.0 99.00
2014 01 01 23 00 112  7.0  7.5 99.00 99.00 99.00 999 1018.1  25.3  25.8 999.0 99.0 99.00
2014 01 02 00 00 119  6.5  6.8 99.00 99.00 99.00 999 1018.4  25.3  25.8 999.0 99.0 99.00
2014 01 02 01 00 111  5.5  5.9 99.00 99.00 99.00 999 1018.6  25.5  25.8 999.0 99.0 99.00
2014 01 02 02 00 114  6.0  6.3 99.00 99.00 99.00 999 1018.7  25.4  25.7 999.0 99.0 99.00
2014 01 02 03 00 130  6.3  7.0 99.00 99.00 99.00 999 1018.7  25.5  25.7 999.0 99.0 99.00
2014 01 02 04 00 144  7.9  8.3 99.00 99.00 99.00 999 1018.4  25.6  25.7 999.0 99.0 99.00
2014 01 02 05 00 144  9.9 10.4 99.00 99.00 99.00 999 1017.6  25.6  25.6 999.0 99.0 99.00
2014 01 02 06 00 144 10.1 10.7 99.00 99.00 99.00 999 1017.0  25.6  25.5 999.0 99.0 99.00
2014 01 02 07 00 148  9.6 10.1 99.00 99.00 99.00 999 1016.5  25.5  25.0 999.0 99.0 99.00
2014 01 02 08 00 140  9.1 10.6 99.00 99.00 99.00 999 1015.9  25.4  24.7 999.0 99.0 99.00
2014 01 02 09 00 146  9.4  9.8 99.00 99.00 99.00 999 1015.8  25.3  24.6 999.0 99.0 99.00
2014 01 02 10 00 155 10.0 10.6 99.00 99.00 99.00 999 1015.8  25.3  24.6 999.0 99.0 99.00
2014 01 02 11 00 147  9.6 10.1 99.00 99.00 99.00 999 1015.7  25.3  25.0 999.0 99.0 99.00
2014 01 02 12 00 148  9.9 10.5 99.00 99.00 99.00 999 1015.9  25.4  24.8 999.0 99.0 99.00
2014 01 02 13 00 158  9.5 10.3 99.00 99.00 99.00 999 1016.4  25.9  25.3 999.0 99.0 99.00
2014 01 02 14 00 156  8.5  9.0 99.00 99.00 99.00 999 1017.0  26.3  25.5 999.0 99.0 99.00
2014 01 02 15 00 163  9.9 10.6 99.00 99.00 99.00 999 1016.9  26.8  25.5 999.0 99.0 99.00
2014 01 02 16 00 180  9.2  9.9 99.00 99.00 99.00 999 1016.4  26.8  25.6 999.0 99.0 99.00
2014 01 02 17 00 174  9.2  9.8 99.00 99.00 99.00 999 1015.4  26.7  25.6 999.0 99.0 99.00
2014 01 02 18 00 190  7.1  7.7 99.00 99.00 99.00 999 1014.2  25.4  25.5 999.0 99.0 99.00
2014 01 02 19 00 199  8.7  9.4 99.00 99.00 99.00 999 1013.6  25.2  24.8 999.0 99.0 99.00
2014 01 02 20 00 190  8.0  8.3 99.00 99.00 99.00 999 1012.9  25.2  24.5 999.0 99.0 99.00
2014 01 02 21 00 202  8.5  8.9 99.00 99.00 99.00 999 1012.9  25.2  24.5 999.0 99.0 99.00
2014 01 02 22 00 209  7.3  8.2 99.00 99.00 99.00 999 1012.9  25.1  24.4 999.0 99.0 99.00
2014 01 02 23 00 226  6.7  7.1 99.00 99.00 99.00 999 1013.4  25.1  25.0 999.0 99.0 99.00
2014 01 03 00 00 222  7.3  7.9 99.00 99.00 99.00 999 1013.8  25.0  25.2 999.0 99.0 99.00
2014 01 03 01 00 224  5.7  6.2 99.00 99.00 99.00 999 1014.2  24.7  25.4 999.0 99.0 99.00
2014 01 03 02 00 225  4.7  5.1 99.00 99.00 99.00 999 1014.4  24.5  25.5 999.0 99.0 99.00
2014 01 03 03 00 245  5.8  6.4 99.00 99.00 99.00 999 1014.7  24.2  25.5 999.0 99.0 99.00
2014 01 03 04 00 242  6.3  6.8 99.00 99.00 99.00 999 1014.5  23.6  25.5 999.0 99.0 99.00
2014 01 03 05 00 240  6.8  7.5 99.00 99.00 99.00 999 1014.5  23.8  25.4 999.0 99.0 99.00
2014 01 03 06 00 234  6.9  7.7 99.00 99.00 99.00 999 1014.3  23.6  25.0 999.0 99.0 99.00
2014 01 03 07 00 246  7.1  7.7 99.00 99.00 99.00 999 1013.7  23.5  24.7 999.0 99.0 99.00
2014 01 03 08 00 242  7.0  7.5 99.00 99.00 99.00 999 1013.1  22.8  24.3 999.0 99.0 99.00
2014 01 03 09 00 256  7.2  7.7 99.00 99.00 99.00 999 1013.1  22.9  24.1 999.0 99.0 99.00
2014 01 03 10 00 309 12.9 14.2 99.00 99.00 99.00 999 1014.0  22.0  24.0 999.0 99.0 99.00
2014 01 03 11 00 339 12.0 13.4 99.00 99.00 99.00 999 1015.0  20.0  24.1 999.0 99.0 99.00
2014 01 03 12 00 339 13.1 14.3 99.00 99.00 99.00 999 1016.1  19.2  24.8 999.0 99.0 99.00
2014 01 03 13 00 337 13.0 13.9 99.00 99.00 99.00 999 1017.1  17.8  24.6 999.0 99.0 99.00
2014 01 03 14 00 349 12.3 13.7 99.00 99.00 99.00 999 1018.0  18.1  24.8 999.0 99.0 99.00
2014 01 03 15 00 347 12.3 14.2 99.00 99.00 99.00 999 1018.7  18.2  24.8 999.0 99.0 99.00
2014 01 03 16 00 356 10.4 12.1 99.00 99.00 99.00 999 1018.5  17.9  24.9 999.0 99.0 99.00
2014 01 03 17 00   1  9.7 10.9 99.00 99.00 99.00 999 1018.5  17.9  24.8 999.0 99.0 99.00
2014 01 03 18 00   3 12.0 13.4 99.00 99.00 99.00 999 1018.0  18.3  24.6 999.0 99.0 99.00
2014 01 03 19 00   9 12.7 13.9 99.00 99.00 99.00 999 1017.6  18.7  24.7 999.0 99.0 99.00
2014 01 03 20 00  11 13.4 14.7 99.00 99.00 99.00 999 1017.8  19.2  24.6 999.0 99.0 99.00
2014 01 03 21 00  16 11.6 13.1 99.00 99.00 99.00 999 1018.6  19.6  24.6 999.0 99.0 99.00
2014 01 03 22 00  17 12.8 13.8 99.00 99.00 99.00 999 1018.8  20.4  25.2 999.0 99.0 99.00
2014 01 03 23 00  35 12.0 16.1 99.00 99.00 99.00 999 1019.5  20.7  25.3 999.0 99.0 99.00
2014 01 04 00 00  30 10.3 11.5 99.00 99.00 99.00 999 1020.3  20.6  25.5 999.0 99.0 99.00
2014 01 04 01 00  44 11.8 13.3 99.00 99.00 99.00 999 1020.5  20.5  25.3 999.0 99.0 99.00
2014 01 04 02 00  51 12.0 13.6 99.00 99.00 99.00 999 1021.0  20.4  25.5 999.0 99.0 99.00
2014 01 04 03 00  46 11.1 12.1 99.00 99.00 99.00 999 1021.4  20.4  25.4 999.0 99.0 99.00
2014 01 04 04 00  55  9.9 11.1 99.00 99.00 99.00 999 1021.5  20.6  25.4 999.0 99.0 99.00
2014 01 04 05 00  65  9.9 11.6 99.00 99.00 99.00 999 1020.6  20.8  25.2 999.0 99.0 99.00
2014 01 04 06 00  61 11.7 12.5 99.00 99.00 99.00 999 1020.1  20.9  25.1 999.0 99.0 99.00
2014 01 04 07 00  75 10.2 11.3 99.00 99.00 99.00 999 1020.0  20.8  25.2 999.0 99.0 99.00
2014 01 04 08 00  77 10.8 11.6 99.00 99.00 99.00 999 1019.3  21.1  24.9 999.0 99.0 99.00
2014 01 04 09 00  80 10.6 11.1 99.00 99.00 99.00 999 1019.4  21.5  24.6 999.0 99.0 99.00
2014 01 04 10 00  82  8.4  9.8 99.00 99.00 99.00 999 1019.4  21.8  25.2 999.0 99.0 99.00
2014 01 04 11 00  84  8.6  9.4 99.00 99.00 99.00 999 1019.1  22.0  25.3 999.0 99.0 99.00
2014 01 04 12 00  86  9.4 10.4 99.00 99.00 99.00 999 1019.5  22.2  25.4 999.0 99.0 99.00
2014 01 04 13 00  82  9.4 10.7 99.00 99.00 99.00 999 1020.2  22.6  25.3 999.0 99.0 99.00
