#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 07 03 17 00 160  2.6   MM    MM    MM    MM  MM     MM  29.6    MM  24.8   MM   MM    MM
2017 07 03 15 00 160  4.1  4.6    MM    MM    MM  MM 1019.6  29.1  30.7  24.7   MM   MM    MM
2017 07 03 07 00 130  7.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 07 03 04 00 110  4.6   MM    MM    MM    MM  MM     MM  29.1    MM  24.4   MM   MM    MM
2017 07 03 03 00 100  6.7  7.7    MM    MM    MM  MM     MM  29.1  31.5  24.3   MM   MM    MM
2017 07 03 02 00 110  5.7  7.2    MM    MM    MM  MM 1020.1  29.2  31.6  23.4   MM   MM    MM
2017 07 03 01 00 130  3.6  5.7    MM    MM    MM  MM 1020.0  29.2  31.7  23.7   MM   MM    MM
2017 07 03 00 00 110  6.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 07 02 20 00 120  4.1  5.1    MM    MM    MM  MM 1019.1  29.3  31.9  23.6   MM   MM    MM
2017 07 02 04 00 140  6.2   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 07 02 03 00 140  6.2  7.2    MM    MM    MM  MM 1020.7  29.0  31.5  24.2   MM   MM    MM
2017 07 01 22 00 130  4.1   MM    MM    MM    MM  MM 1018.7    MM    MM    MM   MM   MM    MM
2017 07 01 21 00 130  4.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 07 01 18 00 100  3.6  4.1    MM    MM    MM  MM 1020.0  29.4  31.3  23.9   MM -0.3    MM
2017 07 01 17 00  MM   MM   MM    MM    MM    MM  MM 1020.3    MM  31.1    MM   MM   MM    MM
2017 07 01 15 00 170  4.6   MM    MM    MM    MM  MM 1020.3  29.4    MM  24.2   MM   MM    MM
2017 07 01 13 00 140  5.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 07 01 11 00 150  5.7   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 07 01 05 00 120  5.7   MM    MM    MM    MM  MM     MM  29.2    MM    MM   MM   MM    MM
2017 07 01 00 00 130  4.6  5.7    MM    MM    MM  MM 1018.5  29.1  31.8  23.4   MM   MM    MM
2017 06 30 23 00 140  4.6   MM    MM    MM    MM  MM     MM  29.3    MM  23.9   MM   MM    MM
2017 06 30 12 00 140  4.1   MM    MM    MM    MM  MM 1018.1  29.1  31.1  23.9   MM   MM    MM
2017 06 30 08 00 150   MM   MM    MM    MM    MM  MM     MM  28.5    MM  23.9   MM   MM    MM
2017 06 30 06 00 160  4.1   MM    MM    MM    MM  MM     MM  28.7    MM    MM   MM   MM    MM
2017 06 30 02 00 120  3.6   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 06 30 01 00 160  1.5  3.1    MM    MM    MM  MM 1018.0  29.0  32.5  23.6   MM   MM    MM
