#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 21 22 00 200  0.5  0.5    MM    MM    MM  MM 1019.1  26.3  25.5    MM   MM -0.0    MM
2017 12 21 21 00 250  1.0  1.0    MM    MM    MM  MM 1018.7  25.9  25.5    MM   MM -0.5    MM
2017 12 21 20 00 230  1.0  1.5    MM    MM    MM  MM 1018.6  25.7  25.5    MM   MM   MM    MM
2017 12 21 19 00 260  1.0  1.0    MM    MM    MM  MM 1018.9  25.5  25.5    MM   MM   MM    MM
2017 12 21 18 00 320  1.5  1.5    MM    MM    MM  MM 1019.2  24.9  25.5    MM   MM -1.5    MM
2017 12 21 15 00 350  3.1  3.1    MM    MM    MM  MM 1020.7  23.7  25.4    MM   MM +2.1    MM
2017 12 21 14 00 360  2.6  2.6    MM    MM    MM  MM 1020.1  23.6  25.4    MM   MM +2.1    MM
2017 12 21 13 00 340  2.1  2.6    MM    MM    MM  MM 1019.2  23.5  25.4    MM   MM +1.5    MM
2017 12 21 12 00 330  3.1  3.6    MM    MM    MM  MM 1018.6  23.4  25.4    MM   MM +1.1    MM
2017 12 21 11 00  MM  0.0  1.0    MM    MM    MM  MM 1018.0  24.3  25.4    MM   MM +0.4    MM
2017 12 21 10 00  MM  0.0  0.5    MM    MM    MM  MM 1017.7  24.3  25.4    MM   MM +0.0    MM
2017 12 21 09 00  MM  0.0  1.0    MM    MM    MM  MM 1017.5  24.4  25.4    MM   MM -0.6    MM
2017 12 21 08 00 300  0.5  1.0    MM    MM    MM  MM 1017.6  24.4  25.4    MM   MM -0.8    MM
2017 12 21 07 00 250  0.5  2.1    MM    MM    MM  MM 1017.7  24.3  25.5    MM   MM -1.1    MM
2017 12 21 06 00 240  1.5  2.6    MM    MM    MM  MM 1018.1  24.4  25.5    MM   MM -0.6    MM
2017 12 21 05 00 190  2.6  2.6    MM    MM    MM  MM 1018.4  24.4  25.5    MM   MM +0.0    MM
2017 12 21 04 00 320  1.0  1.5    MM    MM    MM  MM 1018.8  24.4  25.5    MM   MM -0.0    MM
2017 12 21 03 00 260  1.0  2.1    MM    MM    MM  MM 1018.7  24.4  25.5    MM   MM +0.0    MM
2017 12 21 02 00 360  2.1  3.1    MM    MM    MM  MM 1018.6  24.4  25.4    MM   MM -0.3    MM
2017 12 21 01 00 360  2.1  2.6    MM    MM    MM  MM 1018.9  24.5  25.4    MM   MM +0.0    MM
2017 12 21 00 00 360  1.0  1.5    MM    MM    MM  MM 1018.9  24.4  25.4    MM   MM +0.0    MM
2017 12 20 23 00  MM  0.0  0.5    MM    MM    MM  MM 1018.9  24.3  25.4    MM   MM +0.0    MM
2017 12 20 22 00  MM  0.0  0.0    MM    MM    MM  MM 1018.8  25.1  25.4    MM   MM +0.0    MM
2017 12 20 21 00  MM  0.0  0.0    MM    MM    MM  MM 1018.7  25.0  25.4    MM   MM -0.8    MM
2017 12 20 20 00 150  1.0  1.5    MM    MM    MM  MM 1018.7  25.5  25.4    MM   MM -1.6    MM
2017 12 20 19 00 140  1.5  2.1    MM    MM    MM  MM 1018.9  24.8  25.4    MM   MM -2.2    MM
2017 12 20 18 00 170  3.1  3.1    MM    MM    MM  MM 1019.5  24.9  25.3    MM   MM -1.8    MM
2017 12 20 17 00 160  4.6  4.6    MM    MM    MM  MM 1020.3  24.6  25.3    MM   MM -1.0    MM
2017 12 20 16 00 150  4.6  5.7    MM    MM    MM  MM 1021.1  24.5  25.2    MM   MM +0.3    MM
2017 12 20 15 00 140  5.1  6.7    MM    MM    MM  MM 1021.3  24.6  25.2    MM   MM +0.9    MM
2017 12 20 14 00 140  5.1  5.7    MM    MM    MM  MM 1021.3  24.5  25.2    MM   MM +1.2    MM
2017 12 20 13 00 140  5.7  6.2    MM    MM    MM  MM 1020.8  24.3  25.1    MM   MM   MM    MM
2017 12 20 12 00 140  4.6  5.7    MM    MM    MM  MM 1020.4  24.0  25.1    MM   MM +0.5    MM
2017 12 20 11 00 120  3.1  3.1    MM    MM    MM  MM 1020.1  24.0  25.1    MM   MM +0.0    MM
2017 12 20 09 00  50  1.0  1.5    MM    MM    MM  MM 1019.9  24.0  25.2    MM   MM -1.2    MM
2017 12 20 08 00  40  0.5  1.0    MM    MM    MM  MM 1020.1  24.1  25.2    MM   MM -1.4    MM
2017 12 20 07 00  80  3.1  4.6    MM    MM    MM  MM 1020.4  24.2  25.2    MM   MM -1.6    MM
2017 12 20 06 00 120  5.1  5.7    MM    MM    MM  MM 1021.1  24.2  25.2    MM   MM -1.0    MM
2017 12 20 05 00 110  5.1  6.2    MM    MM    MM  MM 1021.5  24.1  25.2    MM   MM -0.5    MM
2017 12 20 04 00 100  5.7  6.2    MM    MM    MM  MM 1022.0  24.3  25.2    MM   MM +0.4    MM
2017 12 20 03 00 100  5.7  6.2    MM    MM    MM  MM 1022.1  24.4  25.2    MM   MM +0.8    MM
2017 12 20 02 00 100  5.7  6.2    MM    MM    MM  MM 1022.0  24.2  25.2    MM   MM +1.0    MM
2017 12 20 01 00  90  5.7  6.2    MM    MM    MM  MM 1021.6  24.3  25.2    MM   MM +0.6    MM
2017 12 20 00 00  90  5.1  5.7    MM    MM    MM  MM 1021.3  24.4  25.2    MM   MM +0.3    MM
2017 12 19 23 00  80  5.1  5.7    MM    MM    MM  MM 1021.0  24.3  25.3    MM   MM +0.0    MM
2017 12 19 22 00  70  5.7  6.2    MM    MM    MM  MM 1021.0  24.5  25.3    MM   MM -0.6    MM
2017 12 19 21 00  80  5.1  5.7    MM    MM    MM  MM 1021.0  24.6  25.4    MM   MM -1.3    MM
2017 12 19 20 00  70  5.7  6.2    MM    MM    MM  MM 1021.1  24.7  25.4    MM   MM -2.1    MM
2017 12 19 19 00  70  4.6  5.1    MM    MM    MM  MM 1021.6  24.6  25.4    MM   MM -2.3    MM
2017 12 19 18 00  70  5.7  6.2    MM    MM    MM  MM 1022.3  24.5  25.3    MM   MM -2.2    MM
2017 12 19 17 00  60  5.1  5.7    MM    MM    MM  MM 1023.2  24.6  25.3    MM   MM -1.0    MM
2017 12 19 16 00  70  4.6  5.7    MM    MM    MM  MM 1023.9  24.9  25.2    MM   MM +0.0    MM
2017 12 19 15 00  80  5.1  5.7    MM    MM    MM  MM 1024.5  24.9  25.2    MM   MM +1.3    MM
2017 12 19 14 00  90  4.6  5.1    MM    MM    MM  MM 1024.2  24.9  25.1    MM   MM +1.3    MM
