YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 307  7.4  8.2 99.00 99.00 99.00 999 1026.2  20.1  22.5 999.0 99.0
98 01 01 01 312  8.2  9.2 99.00 99.00 99.00 999 1026.8  19.5  22.5 999.0 99.0
98 01 01 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 01 03 337  9.1 10.2 99.00 99.00 99.00 999 1028.0  18.9  22.4 999.0 99.0
98 01 01 04   1 10.9 12.6 99.00 99.00 99.00 999 1028.4  18.0  22.3 999.0 99.0
98 01 01 05 356 11.4 12.3 99.00 99.00 99.00 999 1028.5  16.4  22.2 999.0 99.0
98 01 01 06   2 12.1 13.4 99.00 99.00 99.00 999 1028.5  16.4  22.1 999.0 99.0
98 01 01 07   4 13.7 15.9 99.00 99.00 99.00 999 1028.6  14.7  21.9 999.0 99.0
98 01 01 08  10 12.0 13.3 99.00 99.00 99.00 999 1028.7  14.0  21.7 999.0 99.0
98 01 01 09   1 11.1 12.1 99.00 99.00 99.00 999 1028.6  13.6  21.5 999.0 99.0
98 01 01 10   9 10.5 12.0 99.00 99.00 99.00 999 1028.7  12.9  21.4 999.0 99.0
98 01 01 11   4 11.5 12.4 99.00 99.00 99.00 999 1028.8  12.7  21.2 999.0 99.0
98 01 01 12   5 10.9 11.7 99.00 99.00 99.00 999 1029.3  12.5  21.0 999.0 99.0
98 01 01 13   8 10.7 12.4 99.00 99.00 99.00 999 1029.5  12.8  21.1 999.0 99.0
98 01 01 14  12 10.3 11.5 99.00 99.00 99.00 999 1030.2  14.1  21.2 999.0 99.0
98 01 01 15  18  9.8 11.7 99.00 99.00 99.00 999 1030.8  15.3  20.9 999.0 99.0
98 01 01 16  24  9.3  9.8 99.00 99.00 99.00 999 1030.6  16.4  21.7 999.0 99.0
98 01 01 17  69 11.1 12.9 99.00 99.00 99.00 999 1030.0  19.1  21.8 999.0 99.0
98 01 01 18  59 11.1 13.1 99.00 99.00 99.00 999 1029.0  19.1  21.6 999.0 99.0
98 01 01 19  59 12.5 13.3 99.00 99.00 99.00 999 1028.2  19.3  21.7 999.0 99.0
98 01 01 20  59 10.9 13.0 99.00 99.00 99.00 999 1028.2  19.5  21.5 999.0 99.0
98 01 01 21  70 11.0 12.6 99.00 99.00 99.00 999 1028.3  19.7  21.1 999.0 99.0
98 01 01 22  58 12.4 13.6 99.00 99.00 99.00 999 1028.5  19.8  21.0 999.0 99.0
98 01 01 23  68 12.4 14.2 99.00 99.00 99.00 999 1028.6  19.9  21.9 999.0 99.0
98 01 02 00  79 11.3 13.3 99.00 99.00 99.00 999 1028.8  20.1  22.2 999.0 99.0
98 01 02 01  85 12.0 13.6 99.00 99.00 99.00 999 1028.9  20.4  22.3 999.0 99.0
98 01 02 02  72 12.9 14.6 99.00 99.00 99.00 999 1029.1  20.3  22.3 999.0 99.0
98 01 02 03  80 11.8 13.3 99.00 99.00 99.00 999 1029.1  20.2  22.3 999.0 99.0
98 01 02 04  79 13.1 14.7 99.00 99.00 99.00 999 1028.8  20.3  22.3 999.0 99.0
98 01 02 05  85 11.0 12.9 99.00 99.00 99.00 999 1028.1  20.1  22.3 999.0 99.0
98 01 02 06  87 11.8 14.4 99.00 99.00 99.00 999 1027.5  20.5  22.3 999.0 99.0
98 01 02 07  87 12.3 13.8 99.00 99.00 99.00 999 1027.2  20.8  22.4 999.0 99.0
98 01 02 08  81 12.3 14.2 99.00 99.00 99.00 999 1026.8  20.7  22.6 999.0 99.0
