YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00  83  7.2  7.8 99.00 99.00 99.00 999 1018.6  23.3  25.7 999.0 99.0
1999 01 01 01  78  6.4  7.4 99.00 99.00 99.00 999 1018.7  23.4  25.6 999.0 99.0
1999 01 01 02  68  7.2  7.9 99.00 99.00 99.00 999 1019.3  23.4  25.6 999.0 99.0
1999 01 01 03  77  8.2  9.2 99.00 99.00 99.00 999 1019.4  23.5  25.4 999.0 99.0
1999 01 01 04  75  8.4  9.2 99.00 99.00 99.00 999 1019.3  23.6  25.3 999.0 99.0
1999 01 01 05  64  7.9  8.9 99.00 99.00 99.00 999 1019.3  23.5  25.2 999.0 99.0
1999 01 01 06  84  7.7  8.6 99.00 99.00 99.00 999 1019.0  23.6  25.3 999.0 99.0
1999 01 01 07  81  7.9  9.3 99.00 99.00 99.00 999 1018.5  23.5  25.2 999.0 99.0
1999 01 01 08  84  7.9  8.7 99.00 99.00 99.00 999 1018.5  23.5  25.2 999.0 99.0
1999 01 01 09  74  8.3  9.0 99.00 99.00 99.00 999 1018.3  23.6  25.2 999.0 99.0
1999 01 01 10  74  9.2 10.6 99.00 99.00 99.00 999 1018.4  23.5  25.3 999.0 99.0
1999 01 01 11  82  9.3 10.4 99.00 99.00 99.00 999 1018.6  23.6  25.3 999.0 99.0
1999 01 01 12  69 10.2 11.3 99.00 99.00 99.00 999 1018.6  23.6  25.4 999.0 99.0
1999 01 01 13  84 10.0 11.6 99.00 99.00 99.00 999 1019.3  23.7  25.3 999.0 99.0
1999 01 01 14  71  9.6 11.3 99.00 99.00 99.00 999 1019.8  23.9  25.4 999.0 99.0
1999 01 01 15  82  9.4 10.8 99.00 99.00 99.00 999 1020.4  24.0  25.3 999.0 99.0
1999 01 01 16  78  9.2 11.2 99.00 99.00 99.00 999 1019.9  24.1  25.2 999.0 99.0
1999 01 01 17  92  9.7 10.6 99.00 99.00 99.00 999 1019.6  24.2  25.3 999.0 99.0
1999 01 01 18  91  9.7 10.8 99.00 99.00 99.00 999 1018.3  24.1  25.4 999.0 99.0
1999 01 01 19  94  8.9  9.5 99.00 99.00 99.00 999 1017.5  24.2  25.4 999.0 99.0
1999 01 01 20  93  9.3 10.2 99.00 99.00 99.00 999 1017.0  24.1  25.3 999.0 99.0
1999 01 01 21  90  9.5 10.7 99.00 99.00 99.00 999 1017.1  24.1  25.4 999.0 99.0
1999 01 01 22  95  9.4 10.6 99.00 99.00 99.00 999 1017.4  24.2  25.5 999.0 99.0
1999 01 01 23  87  9.1 10.5 99.00 99.00 99.00 999 1017.6  24.3  25.5 999.0 99.0
1999 01 02 00  92  8.8  9.9 99.00 99.00 99.00 999 1018.0  24.4  25.5 999.0 99.0
1999 01 02 01  86 10.0 10.8 99.00 99.00 99.00 999 1017.9  24.4  25.5 999.0 99.0
1999 01 02 02  96 10.3 11.1 99.00 99.00 99.00 999 1017.9  24.5  25.5 999.0 99.0
1999 01 02 03 111 10.6 12.0 99.00 99.00 99.00 999 1018.1  24.7  25.4 999.0 99.0
1999 01 02 04 118 10.1 11.0 99.00 99.00 99.00 999 1017.7  24.6  25.4 999.0 99.0
1999 01 02 05 123 11.6 12.9 99.00 99.00 99.00 999 1017.3  24.8  25.4 999.0 99.0
1999 01 02 06 120 11.0 12.3 99.00 99.00 99.00 999 1016.4  24.7  25.3 999.0 99.0
1999 01 02 07 130 10.7 11.8 99.00 99.00 99.00 999 1016.4  24.8  25.3 999.0 99.0
1999 01 02 08 138  9.8 10.9 99.00 99.00 99.00 999 1016.1  24.9  25.2 999.0 99.0
1999 01 02 09 135 10.1 11.1 99.00 99.00 99.00 999 1016.0  25.0  25.1 999.0 99.0
1999 01 02 10 138  9.4 10.9 99.00 99.00 99.00 999 1015.7  25.0  25.3 999.0 99.0
1999 01 02 11 131  9.4 11.0 99.00 99.00 99.00 999 1015.6  25.0  25.4 999.0 99.0
1999 01 02 12 135  9.7 11.4 99.00 99.00 99.00 999 1015.8  25.0  25.3 999.0 99.0
1999 01 02 13 132 10.0 11.4 99.00 99.00 99.00 999 1016.4  25.0  25.3 999.0 99.0
1999 01 02 14 131 10.7 12.0 99.00 99.00 99.00 999 1016.9  25.1  25.3 999.0 99.0
1999 01 02 15 136 10.1 12.1 99.00 99.00 99.00 999 1017.3  25.3  25.2 999.0 99.0
1999 01 02 16 127  9.9 11.2 99.00 99.00 99.00 999 1016.9  25.2  25.3 999.0 99.0
1999 01 02 17 133 10.8 11.7 99.00 99.00 99.00 999 1016.1  25.2  25.4 999.0 99.0
1999 01 02 18 135 10.0 10.8 99.00 99.00 99.00 999 1015.2  25.2  25.5 999.0 99.0
1999 01 02 19 135 10.2 11.1 99.00 99.00 99.00 999 1014.2  25.1  25.5 999.0 99.0
1999 01 02 20 146 10.1 11.1 99.00 99.00 99.00 999 1013.6  25.2  25.5 999.0 99.0
1999 01 02 21 139 10.2 11.3 99.00 99.00 99.00 999 1013.6  25.4  25.5 999.0 99.0
1999 01 02 22 151 11.6 12.5 99.00 99.00 99.00 999 1013.9  25.4  25.4 999.0 99.0
1999 01 02 23 147 10.7 12.0 99.00 99.00 99.00 999 1013.9  25.5  25.4 999.0 99.0
1999 01 03 00 148 10.8 12.1 99.00 99.00 99.00 999 1013.8  25.5  25.4 999.0 99.0
1999 01 03 01 150 10.3 11.7 99.00 99.00 99.00 999 1014.2  25.5  25.4 999.0 99.0
1999 01 03 02 150 10.8 12.1 99.00 99.00 99.00 999 1014.4  25.5  25.4 999.0 99.0
1999 01 03 03 155  9.4 10.4 99.00 99.00 99.00 999 1014.4  25.5  25.4 999.0 99.0
1999 01 03 04 156 11.5 12.4 99.00 99.00 99.00 999 1014.0  25.4  25.4 999.0 99.0
1999 01 03 05 171  9.9 10.8 99.00 99.00 99.00 999 1014.2  25.4  25.4 999.0 99.0
1999 01 03 06 175  8.8 10.3 99.00 99.00 99.00 999 1014.2  25.5  25.4 999.0 99.0
1999 01 03 07 178 10.0 11.7 99.00 99.00 99.00 999 1013.6  25.4  25.4 999.0 99.0
1999 01 03 08 184  9.5 10.8 99.00 99.00 99.00 999 1013.6  25.4  25.3 999.0 99.0
1999 01 03 09 185  8.4  9.2 99.00 99.00 99.00 999 1013.9  25.5  25.4 999.0 99.0
1999 01 03 10 214  7.9  9.0 99.00 99.00 99.00 999 1014.5  25.6  25.3 999.0 99.0
1999 01 03 11 313  8.1  9.5 99.00 99.00 99.00 999 1016.2  20.0  25.3 999.0 99.0
1999 01 03 12 326  5.8  6.9 99.00 99.00 99.00 999 1016.5  20.8  25.2 999.0 99.0
1999 01 03 13 335   .6  1.1 99.00 99.00 99.00 999 1017.3  21.1  25.1 999.0 99.0
1999 01 03 14 181  2.1  2.5 99.00 99.00 99.00 999 1017.9  22.1  25.1 999.0 99.0
1999 01 03 15 264  4.0  4.7 99.00 99.00 99.00 999 1018.3  24.7  25.2 999.0 99.0
1999 01 03 16 289  3.3  3.7 99.00 99.00 99.00 999 1018.3  24.6  25.2 999.0 99.0
1999 01 03 17 283  3.1  3.4 99.00 99.00 99.00 999 1018.0  24.2  25.3 999.0 99.0
1999 01 03 18 281  3.3  3.8 99.00 99.00 99.00 999 1016.9  24.1  25.3 999.0 99.0
1999 01 03 19 266  3.6  3.9 99.00 99.00 99.00 999 1016.3  24.1  25.4 999.0 99.0
1999 01 03 20 240  3.3  3.8 99.00 99.00 99.00 999 1016.4  24.1  25.5 999.0 99.0
1999 01 03 21 304  1.9  2.2 99.00 99.00 99.00 999 1016.3  24.0  25.4 999.0 99.0
1999 01 03 22 285  2.0  2.6 99.00 99.00 99.00 999 1016.7  23.9  25.3 999.0 99.0
1999 01 03 23 272  2.4  2.7 99.00 99.00 99.00 999 1017.5  23.8  25.2 999.0 99.0
1999 01 04 00 287  3.0  3.3 99.00 99.00 99.00 999 1017.9  23.7  25.2 999.0 99.0
1999 01 04 01 289  4.1  4.6 99.00 99.00 99.00 999 1018.5  23.6  25.2 999.0 99.0
1999 01 04 02 305  3.3  3.6 99.00 99.00 99.00 999 1018.8  23.4  25.2 999.0 99.0
1999 01 04 03 307  2.9  3.3 99.00 99.00 99.00 999 1019.3  23.3  25.1 999.0 99.0
1999 01 04 04 351  2.3  2.6 99.00 99.00 99.00 999 1019.2  23.3  25.2 999.0 99.0
1999 01 04 05   7  3.1  3.4 99.00 99.00 99.00 999 1018.7  23.4  25.1 999.0 99.0
1999 01 04 06 357  4.8  5.3 99.00 99.00 99.00 999 1018.6  22.7  25.1 999.0 99.0
1999 01 04 07 358  6.0  6.7 99.00 99.00 99.00 999 1018.6  22.1  25.1 999.0 99.0
1999 01 04 08   1  7.3  7.8 99.00 99.00 99.00 999 1018.8  20.4  25.0 999.0 99.0
1999 01 04 09  14  7.1  8.0 99.00 99.00 99.00 999 1019.2  19.9  24.9 999.0 99.0
1999 01 04 10   6  8.4  9.2 99.00 99.00 99.00 999 1019.8  19.7  24.8 999.0 99.0
1999 01 04 11   2 11.7 13.2 99.00 99.00 99.00 999 1020.1  19.2  24.9 999.0 99.0
1999 01 04 12 359 10.4 11.9 99.00 99.00 99.00 999 1021.0  18.5  24.8 999.0 99.0
1999 01 04 13 350 10.4 11.6 99.00 99.00 99.00 999 1021.9  17.9  24.7 999.0 99.0
1999 01 04 14 357 11.8 12.9 99.00 99.00 99.00 999 1022.6  17.5  24.6 999.0 99.0
1999 01 04 15   1 12.0 13.2 99.00 99.00 99.00 999 1023.3  16.9  24.5 999.0 99.0
1999 01 04 16 359 13.0 14.8 99.00 99.00 99.00 999 1023.9  16.3  24.4 999.0 99.0
1999 01 04 17   4 11.3 12.9 99.00 99.00 99.00 999 1023.2  15.6  24.6 999.0 99.0
1999 01 04 18   1 12.0 13.0 99.00 99.00 99.00 999 1022.7  14.5  24.4 999.0 99.0
1999 01 04 19 346 12.8 14.1 99.00 99.00 99.00 999 1022.7  13.9  24.1 999.0 99.0
