YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00 336  8.5  9.9 99.00 99.00 99.00 999 1015.4  19.2  24.3 999.0 99.0 99.00
2002 01 01 01 352 11.4 12.6 99.00 99.00 99.00 999 1015.8  18.6  24.3 999.0 99.0 99.00
2002 01 01 02   5 10.8 12.4 99.00 99.00 99.00 999 1016.5  18.3  24.3 999.0 99.0 99.00
2002 01 01 03  15 10.1 11.2 99.00 99.00 99.00 999 1016.7  18.8  24.3 999.0 99.0 99.00
2002 01 01 04  65  9.0 10.5 99.00 99.00 99.00 999 1015.0  20.3  24.3 999.0 99.0 99.00
2002 01 01 05  96  9.0 10.0 99.00 99.00 99.00 999 1014.5  21.8  24.3 999.0 99.0 99.00
2002 01 01 06 116  9.8 10.5 99.00 99.00 99.00 999 1013.8  22.4  24.2 999.0 99.0 99.00
2002 01 01 07 345  8.5  9.2 99.00 99.00 99.00 999 1015.4  19.8  24.2 999.0 99.0 99.00
2002 01 01 08 355 10.2 10.8 99.00 99.00 99.00 999 1014.9  17.8  24.1 999.0 99.0 99.00
2002 01 01 09 356  7.9  9.2 99.00 99.00 99.00 999 1015.2  18.1  24.1 999.0 99.0 99.00
2002 01 01 10   5  6.5  7.4 99.00 99.00 99.00 999 1015.2  18.3  24.1 999.0 99.0 99.00
2002 01 01 11 350  7.8  8.5 99.00 99.00 99.00 999 1015.7  17.2  24.1 999.0 99.0 99.00
2002 01 01 12 360  9.8 11.3 99.00 99.00 99.00 999 1016.6  16.7  24.0 999.0 99.0 99.00
2002 01 01 13  17  8.6 10.0 99.00 99.00 99.00 999 1017.6  16.8  23.9 999.0 99.0 99.00
2002 01 01 14 358  9.6 10.4 99.00 99.00 99.00 999 1018.2  17.6  23.9 999.0 99.0 99.00
2002 01 01 15   3  9.0 10.0 99.00 99.00 99.00 999 1018.7  18.3  23.9 999.0 99.0 99.00
2002 01 01 16  14  7.6  8.7 99.00 99.00 99.00 999 1018.3  19.9  24.0 999.0 99.0 99.00
2002 01 01 17  23  8.5  9.6 99.00 99.00 99.00 999 1017.4  20.7  23.5 999.0 99.0 99.00
2002 01 01 18  26  8.7  9.5 99.00 99.00 99.00 999 1016.4  20.7  23.2 999.0 99.0 99.00
2002 01 01 19  37  9.1  9.6 99.00 99.00 99.00 999 1015.6  20.7  23.0 999.0 99.0 99.00
2002 01 01 20  37  6.6  7.1 99.00 99.00 99.00 999 1015.6  21.5  22.9 999.0 99.0 99.00
2002 01 01 21  70  7.4  8.0 99.00 99.00 99.00 999 1015.6  23.4  23.0 999.0 99.0 99.00
2002 01 01 22  97  8.3  8.9 99.00 99.00 99.00 999 1015.6  23.3  23.2 999.0 99.0 99.00
2002 01 01 23  84  8.6  9.6 99.00 99.00 99.00 999 1016.1  23.2  24.0 999.0 99.0 99.00
2002 01 02 00  83  9.4 10.3 99.00 99.00 99.00 999 1016.4  23.1  24.1 999.0 99.0 99.00
2002 01 02 01  88  9.8 10.8 99.00 99.00 99.00 999 1016.9  23.0  24.1 999.0 99.0 99.00
2002 01 02 02  88  9.0 10.2 99.00 99.00 99.00 999 1017.0  23.0  24.1 999.0 99.0 99.00
2002 01 02 03  92  9.1 10.2 99.00 99.00 99.00 999 1017.0  23.0  24.0 999.0 99.0 99.00
2002 01 02 04  99  8.2  9.6 99.00 99.00 99.00 999 1016.8  23.0  24.2 999.0 99.0 99.00
2002 01 02 05 112  7.3  8.5 99.00 99.00 99.00 999 1016.5  23.0  24.2 999.0 99.0 99.00
2002 01 02 06 120  8.5  9.0 99.00 99.00 99.00 999 1016.4  23.0  24.2 999.0 99.0 99.00
2002 01 02 07 107  9.1 10.5 99.00 99.00 99.00 999 1015.8  22.9  24.2 999.0 99.0 99.00
2002 01 02 08 115  9.2 10.1 99.00 99.00 99.00 999 1015.8  23.1  24.2 999.0 99.0 99.00
2002 01 02 09  96  8.2  9.0 99.00 99.00 99.00 999 1015.8  23.1  24.1 999.0 99.0 99.00
2002 01 02 10 110  8.5  9.6 99.00 99.00 99.00 999 1015.5  23.2  24.2 999.0 99.0 99.00
2002 01 02 11 114  8.9  9.7 99.00 99.00 99.00 999 1015.5  23.2  24.3 999.0 99.0 99.00
2002 01 02 12 121  9.1 10.7 99.00 99.00 99.00 999 1015.7  23.3  24.3 999.0 99.0 99.00
2002 01 02 13 121 10.2 11.8 99.00 99.00 99.00 999 1015.5  23.4  24.3 999.0 99.0 99.00
2002 01 02 14 110 10.6 11.9 99.00 99.00 99.00 999 1015.8  23.5  24.4 999.0 99.0 99.00
2002 01 02 15 118 10.3 11.4 99.00 99.00 99.00 999 1016.2  22.5  24.4 999.0 99.0 99.00
2002 01 02 16 117  9.3 10.2 99.00 99.00 99.00 999 1015.6  22.7  24.5 999.0 99.0 99.00
2002 01 02 17 121 10.9 12.4 99.00 99.00 99.00 999 1014.2  22.8  24.3 999.0 99.0 99.00
2002 01 02 18 124  9.5 11.2 99.00 99.00 99.00 999 1013.0  23.0  24.5 999.0 99.0 99.00
2002 01 02 19 127  6.7  7.4 99.00 99.00 99.00 999 1013.3  23.4  24.6 999.0 99.0 99.00
2002 01 02 20 138  5.9  6.2 99.00 99.00 99.00 999 1012.9  23.6  24.7 999.0 99.0 99.00
2002 01 02 21 285 14.4 19.2 99.00 99.00 99.00 999 1014.5  23.3  24.7 999.0 99.0 99.00
2002 01 02 22 356  0.3  0.7 99.00 99.00 99.00 999 1013.3  19.7  24.6 999.0 99.0 99.00
2002 01 02 23 166  1.7  2.0 99.00 99.00 99.00 999 1013.5  20.9  24.5 999.0 99.0 99.00
2002 01 03 00 209  3.6  3.9 99.00 99.00 99.00 999 1013.5  22.6  24.5 999.0 99.0 99.00
2002 01 03 01 243  5.0  5.3 99.00 99.00 99.00 999 1013.9  24.3  24.6 999.0 99.0 99.00
2002 01 03 02 249  5.8  6.6 99.00 99.00 99.00 999 1013.9  24.4  24.6 999.0 99.0 99.00
2002 01 03 03 255  5.9  6.3 99.00 99.00 99.00 999 1013.8  24.5  24.5 999.0 99.0 99.00
2002 01 03 04 252  7.3  8.1 99.00 99.00 99.00 999 1013.7  24.4  24.5 999.0 99.0 99.00
2002 01 03 05 253  7.2  8.3 99.00 99.00 99.00 999 1013.2  24.3  24.5 999.0 99.0 99.00
2002 01 03 06 274  6.9  8.1 99.00 99.00 99.00 999 1013.2  24.1  24.5 999.0 99.0 99.00
2002 01 03 07 248  7.3  7.9 99.00 99.00 99.00 999 1013.1  22.1  24.4 999.0 99.0 99.00
2002 01 03 08 286  8.5 10.2 99.00 99.00 99.00 999 1013.0  22.5  24.4 999.0 99.0 99.00
2002 01 03 09 282  9.5 10.1 99.00 99.00 99.00 999 1013.1  22.0  24.4 999.0 99.0 99.00
2002 01 03 10 289 10.0 11.0 99.00 99.00 99.00 999 1013.6  21.7  24.3 999.0 99.0 99.00
2002 01 03 11 301  8.6 10.0 99.00 99.00 99.00 999 1014.4  21.6  24.3 999.0 99.0 99.00
2002 01 03 12 296  9.0 10.0 99.00 99.00 99.00 999 1015.5  21.1  24.3 999.0 99.0 99.00
2002 01 03 13 316 10.0 11.3 99.00 99.00 99.00 999 1016.3  19.5  24.3 999.0 99.0 99.00
2002 01 03 14 315  6.7  7.8 99.00 99.00 99.00 999 1016.9  19.7  24.4 999.0 99.0 99.00
2002 01 03 15 301  6.2  7.3 99.00 99.00 99.00 999 1017.7  19.7  24.4 999.0 99.0 99.00
2002 01 03 16 308  7.2  9.5 99.00 99.00 99.00 999 1017.6  20.0  24.5 999.0 99.0 99.00
2002 01 03 17 294  8.3  8.9 99.00 99.00 99.00 999 1016.9  20.3  24.4 999.0 99.0 99.00
2002 01 03 18 294  9.5 10.8 99.00 99.00 99.00 999 1015.7  20.7  24.4 999.0 99.0 99.00
2002 01 03 19 290 10.0 10.5 99.00 99.00 99.00 999 1015.5  20.7  24.4 999.0 99.0 99.00
2002 01 03 20 300 11.1 12.2 99.00 99.00 99.00 999 1015.5  20.8  24.3 999.0 99.0 99.00
2002 01 03 21 309 10.6 11.8 99.00 99.00 99.00 999 1015.9  20.2  24.1 999.0 99.0 99.00
2002 01 03 22 313 10.9 12.5 99.00 99.00 99.00 999 1016.7  19.6  24.0 999.0 99.0 99.00
2002 01 03 23 311 16.1 17.1 99.00 99.00 99.00 999 1017.3  18.8  23.9 999.0 99.0 99.00
2002 01 04 00 326 11.3 12.9 99.00 99.00 99.00 999 1017.7  18.3  24.0 999.0 99.0 99.00
2002 01 04 01 316  8.9 10.0 99.00 99.00 99.00 999 1018.9  18.0  24.1 999.0 99.0 99.00
2002 01 04 02 333 11.9 13.5 99.00 99.00 99.00 999 1019.4  17.1  24.1 999.0 99.0 99.00
2002 01 04 03   7 10.6 12.7 99.00 99.00 99.00 999 1020.2  15.3  24.0 999.0 99.0 99.00
2002 01 04 04   1  7.8  9.1 99.00 99.00 99.00 999 1021.1  13.1  23.8 999.0 99.0 99.00
