#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 00  83  5.0  5.8 99.00 99.00 99.00 999 1022.2  23.9  24.2 999.0 99.0 99.00
2012 01 01 01 00  98  5.9  6.3 99.00 99.00 99.00 999 1022.5  23.8  24.1 999.0 99.0 99.00
2012 01 01 02 00  75  4.8  5.5 99.00 99.00 99.00 999 1023.0  23.9  24.1 999.0 99.0 99.00
2012 01 01 03 00  84  4.5  5.3 99.00 99.00 99.00 999 1023.2  23.8  24.1 999.0 99.0 99.00
2012 01 01 04 00  84  5.4  6.0 99.00 99.00 99.00 999 1023.4  23.7  24.1 999.0 99.0 99.00
2012 01 01 05 00  85  6.0  6.7 99.00 99.00 99.00 999 1022.8  23.7  23.9 999.0 99.0 99.00
2012 01 01 06 00  92  5.3  5.8 99.00 99.00 99.00 999 1022.5  23.4  23.9 999.0 99.0 99.00
2012 01 01 07 00  85  5.8  6.3 99.00 99.00 99.00 999 1022.0  23.4  23.9 999.0 99.0 99.00
2012 01 01 08 00  72  5.0  5.9 99.00 99.00 99.00 999 1021.7  23.4  23.9 999.0 99.0 99.00
2012 01 01 09 00  71  4.5  5.6 99.00 99.00 99.00 999 1021.7  23.2  23.9 999.0 99.0 99.00
2012 01 01 10 00  64  3.9  4.5 99.00 99.00 99.00 999 1021.8  23.2  23.9 999.0 99.0 99.00
2012 01 01 11 00  50  4.9  5.8 99.00 99.00 99.00 999 1022.2  23.2  23.8 999.0 99.0 99.00
2012 01 01 12 00  65  5.4  6.1 99.00 99.00 99.00 999 1023.0  23.2  23.7 999.0 99.0 99.00
2012 01 01 13 00  71  5.7  6.5 99.00 99.00 99.00 999 1023.5  23.5  23.6 999.0 99.0 99.00
2012 01 01 14 00  67  5.5  6.0 99.00 99.00 99.00 999 1024.2  23.5  24.0 999.0 99.0 99.00
2012 01 01 15 00  68  5.1  5.6 99.00 99.00 99.00 999 1024.8  23.6  24.2 999.0 99.0 99.00
2012 01 01 16 00  81  4.8  5.2 99.00 99.00 99.00 999 1024.7  23.7  24.3 999.0 99.0 99.00
2012 01 01 17 00  84  4.8  5.3 99.00 99.00 99.00 999 1024.1  23.6  24.4 999.0 99.0 99.00
2012 01 01 18 00  79  4.6  5.5 99.00 99.00 99.00 999 1023.0  23.6  24.4 999.0 99.0 99.00
2012 01 01 19 00  72  4.5  4.8 99.00 99.00 99.00 999 1022.4  23.6  24.5 999.0 99.0 99.00
2012 01 01 20 00  83  4.7  5.6 99.00 99.00 99.00 999 1021.9  23.7  24.5 999.0 99.0 99.00
2012 01 01 21 00  74  4.6  5.4 99.00 99.00 99.00 999 1021.9  23.7  24.5 999.0 99.0 99.00
2012 01 01 22 00  74  5.0  5.5 99.00 99.00 99.00 999 1022.1  23.6  24.4 999.0 99.0 99.00
2012 01 01 23 00  78  4.3  5.0 99.00 99.00 99.00 999 1022.6  23.3  24.3 999.0 99.0 99.00
2012 01 02 00 00  53  3.7  4.6 99.00 99.00 99.00 999 1022.6  23.3  24.1 999.0 99.0 99.00
2012 01 02 01 00  60  3.6  4.3 99.00 99.00 99.00 999 1022.9  23.3  24.1 999.0 99.0 99.00
2012 01 02 02 00  56  2.8  3.8 99.00 99.00 99.00 999 1023.1  23.3  24.1 999.0 99.0 99.00
2012 01 02 03 00  57  1.7  3.1 99.00 99.00 99.00 999 1023.0  23.2  24.1 999.0 99.0 99.00
2012 01 02 04 00  15  2.0  2.4 99.00 99.00 99.00 999 1022.9  23.2  24.0 999.0 99.0 99.00
2012 01 02 05 00   2  1.4  1.8 99.00 99.00 99.00 999 1022.6  23.2  24.1 999.0 99.0 99.00
2012 01 02 06 00 328  3.8  4.1 99.00 99.00 99.00 999 1022.0  21.1  24.0 999.0 99.0 99.00
2012 01 02 09 00 342  3.4  3.8 99.00 99.00 99.00 999 1020.6  21.1  23.9 999.0 99.0 99.00
2012 01 02 10 00 346  4.5  4.7 99.00 99.00 99.00 999 1020.3  20.6  23.9 999.0 99.0 99.00
2012 01 02 11 00 346  3.8  4.2 99.00 99.00 99.00 999 1020.6  20.4  23.9 999.0 99.0 99.00
2012 01 02 12 00 346  4.8  5.2 99.00 99.00 99.00 999 1020.9  20.4  23.9 999.0 99.0 99.00
2012 01 02 13 00 355  5.0  5.3 99.00 99.00 99.00 999 1021.4  20.1  23.9 999.0 99.0 99.00
2012 01 02 14 00 343  3.1  3.4 99.00 99.00 99.00 999 1021.9  20.2  23.9 999.0 99.0 99.00
2012 01 02 15 00 336  2.2  2.6 99.00 99.00 99.00 999 1022.2  21.1  24.0 999.0 99.0 99.00
