YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2015 01 01 00 00  31  2.2  2.4 99.00 99.00 99.00 999 1021.2  24.7  25.5 999.0 99.0 99.00
2015 01 01 01 00  27  1.8  2.1 99.00 99.00 99.00 999 1021.4  24.8  25.5 999.0 99.0 99.00
2015 01 01 02 00  31  1.1  1.3 99.00 99.00 99.00 999 1021.7  24.8  25.4 999.0 99.0 99.00
2015 01 01 03 00 329  3.3  3.4 99.00 99.00 99.00 999 1021.9  23.7  25.4 999.0 99.0 99.00
2015 01 01 04 00   0  2.1  2.4 99.00 99.00 99.00 999 1021.4  23.9  25.4 999.0 99.0 99.00
2015 01 01 05 00  23  1.5  2.1 99.00 99.00 99.00 999 1020.8  24.0  25.2 999.0 99.0 99.00
2015 01 01 06 00  75  2.5  2.9 99.00 99.00 99.00 999 1020.3  24.9  25.2 999.0 99.0 99.00
2015 01 01 07 00 336  5.3  5.8 99.00 99.00 99.00 999 1020.2  22.6  25.4 999.0 99.0 99.00
2015 01 01 08 00 348  3.2  3.7 99.00 99.00 99.00 999 1020.0  22.5  25.3 999.0 99.0 99.00
2015 01 01 09 00   0  2.4  2.7 99.00 99.00 99.00 999 1019.8  22.8  25.3 999.0 99.0 99.00
2015 01 01 10 00   0  2.1  2.4 99.00 99.00 99.00 999 1020.0  23.3  25.3 999.0 99.0 99.00
2015 01 01 11 00 346  3.8  4.2 99.00 99.00 99.00 999 1020.7  22.6  25.2 999.0 99.0 99.00
2015 01 01 12 00   3  3.2  3.6 99.00 99.00 99.00 999 1021.3  22.8  25.2 999.0 99.0 99.00
2015 01 01 13 00  27  3.3  3.7 99.00 99.00 99.00 999 1021.9  22.9  25.2 999.0 99.0 99.00
2015 01 01 14 00 121  4.2  4.8 99.00 99.00 99.00 999 1022.4  25.1  25.3 999.0 99.0 99.00
2015 01 01 15 00 120  4.7  5.5 99.00 99.00 99.00 999 1022.7  25.1  25.3 999.0 99.0 99.00
2015 01 01 16 00 133  4.8  5.5 99.00 99.00 99.00 999 1022.3  25.1  25.4 999.0 99.0 99.00
2015 01 01 17 00 125  5.1  5.6 99.00 99.00 99.00 999 1021.8  24.9  25.6 999.0 99.0 99.00
2015 01 01 18 00 123  4.7  5.5 99.00 99.00 99.00 999 1020.9  24.9  25.8 999.0 99.0 99.00
2015 01 01 19 00 112  4.7  5.3 99.00 99.00 99.00 999 1020.0  24.8  25.8 999.0 99.0 99.00
2015 01 01 20 00 110  4.7  5.3 99.00 99.00 99.00 999 1019.9  25.0  25.8 999.0 99.0 99.00
2015 01 01 21 00 123  4.1  4.6 99.00 99.00 99.00 999 1020.0  25.0  25.9 999.0 99.0 99.00
2015 01 01 22 00 112  5.0  5.6 99.00 99.00 99.00 999 1019.9  24.8  25.9 999.0 99.0 99.00
2015 01 01 23 00 101  5.9  6.5 99.00 99.00 99.00 999 1020.2  24.8  25.8 999.0 99.0 99.00
2015 01 02 00 00  97  5.6  6.1 99.00 99.00 99.00 999 1020.8  24.8  25.8 999.0 99.0 99.00
2015 01 02 01 00  83  5.0  5.5 99.00 99.00 99.00 999 1021.2  24.9  25.7 999.0 99.0 99.00
2015 01 02 02 00  94  4.6  4.9 99.00 99.00 99.00 999 1021.6  24.9  25.6 999.0 99.0 99.00
2015 01 02 03 00 103  4.6  5.1 99.00 99.00 99.00 999 1021.9  24.9  25.5 999.0 99.0 99.00
2015 01 02 04 00  93  3.8  4.2 99.00 99.00 99.00 999 1021.9  25.0  25.5 999.0 99.0 99.00
2015 01 02 05 00 112  4.0  4.3 99.00 99.00 99.00 999 1021.6  25.1  25.6 999.0 99.0 99.00
2015 01 02 06 00 123  6.0  6.3 99.00 99.00 99.00 999 1021.3  25.1  25.7 999.0 99.0 99.00
2015 01 02 07 00 121  5.4  5.8 99.00 99.00 99.00 999 1021.3  25.0  25.7 999.0 99.0 99.00
2015 01 02 08 00 131  6.5  6.9 99.00 99.00 99.00 999 1020.9  25.1  25.7 999.0 99.0 99.00
2015 01 02 09 00 127  6.8  7.9 99.00 99.00 99.00 999 1020.8  25.1  25.6 999.0 99.0 99.00
2015 01 02 10 00 107  6.5  6.9 99.00 99.00 99.00 999 1020.9  25.0  25.6 999.0 99.0 99.00
2015 01 02 11 00 120  6.9  7.9 99.00 99.00 99.00 999 1021.3  25.0  25.5 999.0 99.0 99.00
2015 01 02 12 00 111  7.7  8.5 99.00 99.00 99.00 999 1021.9  25.1  25.4 999.0 99.0 99.00
2015 01 02 13 00 119  7.1  8.0 99.00 99.00 99.00 999 1022.6  25.2  25.4 999.0 99.0 99.00
2015 01 02 14 00 122  7.6  8.3 99.00 99.00 99.00 999 1023.3  25.3  25.5 999.0 99.0 99.00
2015 01 02 15 00 124  8.0  8.8 99.00 99.00 99.00 999 1023.5  25.4  25.6 999.0 99.0 99.00
2015 01 02 16 00 118  8.3  8.8 99.00 99.00 99.00 999 1023.2  25.4  25.6 999.0 99.0 99.00
2015 01 02 17 00 118  8.6  9.4 99.00 99.00 99.00 999 1022.3  25.4  25.7 999.0 99.0 99.00
2015 01 02 18 00 126  8.9  9.5 99.00 99.00 99.00 999 1021.6  25.4  25.8 999.0 99.0 99.00
2015 01 02 19 00 127  7.9  8.5 99.00 99.00 99.00 999 1021.1  25.4  25.8 999.0 99.0 99.00
2015 01 02 20 00 122  8.1  8.6 99.00 99.00 99.00 999 1020.8  25.4  25.8 999.0 99.0 99.00
2015 01 02 21 00 129  7.2  8.1 99.00 99.00 99.00 999 1021.0  25.5  25.8 999.0 99.0 99.00
2015 01 02 22 00 134  7.8  8.6 99.00 99.00 99.00 999 1021.2  25.6  25.8 999.0 99.0 99.00
2015 01 02 23 00 118  7.4  8.0 99.00 99.00 99.00 999 1021.4  25.4  25.7 999.0 99.0 99.00
2015 01 03 00 00 121  8.2  8.8 99.00 99.00 99.00 999 1021.8  25.4  25.7 999.0 99.0 99.00
2015 01 03 01 00 117  8.2  9.0 99.00 99.00 99.00 999 1022.0  25.4  25.6 999.0 99.0 99.00
2015 01 03 02 00 107  8.4  9.2 99.00 99.00 99.00 999 1022.0  25.4  25.6 999.0 99.0 99.00
2015 01 03 03 00 113  8.3  9.2 99.00 99.00 99.00 999 1022.0  25.5  25.6 999.0 99.0 99.00
2015 01 03 04 00 110  9.6 10.6 99.00 99.00 99.00 999 1021.8  25.6  25.5 999.0 99.0 99.00
2015 01 03 05 00 109  9.5 10.2 99.00 99.00 99.00 999 1021.5  25.5  25.4 999.0 99.0 99.00
2015 01 03 06 00 118 10.0 10.9 99.00 99.00 99.00 999 1021.3  25.3  25.5 999.0 99.0 99.00
2015 01 03 07 00 114 10.3 11.5 99.00 99.00 99.00 999 1021.0  25.2  25.6 999.0 99.0 99.00
2015 01 03 08 00 119  9.8 11.1 99.00 99.00 99.00 999 1020.9  25.3  25.6 999.0 99.0 99.00
