#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 22 01 50  MM   MM   MM    MM    MM    MM  MM 1020.6  23.1    MM  19.9   MM +1.0    MM
2017 12 22 00 50  MM   MM   MM    MM    MM    MM  MM 1020.5  22.9    MM  20.5   MM +1.1    MM
2017 12 21 23 50  MM   MM   MM    MM    MM    MM  MM 1020.0  23.2    MM  20.3   MM +0.9    MM
2017 12 21 22 50  MM   MM   MM    MM    MM    MM  MM 1019.6  23.5    MM  20.1   MM +0.4    MM
2017 12 21 21 50  MM   MM   MM    MM    MM    MM  MM 1019.4  23.8    MM  18.8   MM -0.0    MM
2017 12 21 20 50  MM   MM   MM    MM    MM    MM  MM 1019.1  23.7    MM  19.2   MM -0.7    MM
2017 12 21 19 50  MM   MM   MM    MM    MM    MM  MM 1019.2  23.9    MM  19.9   MM -1.3    MM
2017 12 21 18 50  MM   MM   MM    MM    MM    MM  MM 1019.4  23.4    MM  20.2   MM -1.5    MM
2017 12 21 17 50  MM   MM   MM    MM    MM    MM  MM 1019.8  23.1    MM  20.8   MM -1.0    MM
2017 12 21 16 50  MM   MM   MM    MM    MM    MM  MM 1020.5  23.1    MM  21.1   MM +0.4    MM
2017 12 21 15 50  MM   MM   MM    MM    MM    MM  MM 1020.9  22.9    MM  20.8   MM +1.5    MM
2017 12 21 14 50  MM   MM   MM    MM    MM    MM  MM 1020.8  22.7    MM  20.7   MM +2.1    MM
2017 12 21 13 50  MM   MM   MM    MM    MM    MM  MM 1020.1  22.8    MM  20.9   MM +2.1    MM
2017 12 21 12 50  MM   MM   MM    MM    MM    MM  MM 1019.4  23.1    MM  20.9   MM +1.5    MM
2017 12 21 11 50  MM   MM   MM    MM    MM    MM  MM 1018.7  23.6    MM  19.9   MM +0.9    MM
2017 12 21 10 50  MM   MM   MM    MM    MM    MM  MM 1018.0  24.4    MM  19.3   MM +0.0    MM
2017 12 21 09 50  MM   MM   MM    MM    MM    MM  MM 1017.9  24.4    MM  19.5   MM -0.4    MM
2017 12 21 08 50  MM   MM   MM    MM    MM    MM  MM 1017.8  24.5    MM  19.9   MM -0.7    MM
2017 12 21 07 50  MM   MM   MM    MM    MM    MM  MM 1017.9  24.5    MM  20.0   MM -0.8    MM
2017 12 21 06 50  MM   MM   MM    MM    MM    MM  MM 1018.3  24.6    MM  20.4   MM -0.9    MM
2017 12 21 05 50  MM   MM   MM    MM    MM    MM  MM 1018.5  24.6    MM  20.9   MM -0.5    MM
2017 12 21 04 50  MM   MM   MM    MM    MM    MM  MM 1018.7  24.5    MM  20.6   MM +0.0    MM
2017 12 21 03 50  MM   MM   MM    MM    MM    MM  MM 1019.2  24.6    MM  20.5   MM +0.4    MM
2017 12 21 02 50  MM   MM   MM    MM    MM    MM  MM 1019.0  24.6    MM  20.5   MM +0.0    MM
2017 12 21 01 50  MM   MM   MM    MM    MM    MM  MM 1018.8  24.5    MM  20.7   MM +0.0    MM
2017 12 21 00 50  MM   MM   MM    MM    MM    MM  MM 1018.8  23.9    MM  20.5   MM +0.0    MM
2017 12 20 23 50  MM   MM   MM    MM    MM    MM  MM 1018.9  23.6    MM  19.8   MM +0.0    MM
2017 12 20 22 50  MM   MM   MM    MM    MM    MM  MM 1018.9  23.4    MM  20.0   MM +0.0    MM
2017 12 20 21 50  MM   MM   MM    MM    MM    MM  MM 1018.8  24.7    MM  20.0   MM +0.0    MM
2017 12 20 20 50  MM   MM   MM    MM    MM    MM  MM 1018.7  24.8    MM  19.5   MM -0.9    MM
2017 12 20 19 50  MM   MM   MM    MM    MM    MM  MM 1018.8  24.8    MM  19.2   MM -1.4    MM
2017 12 20 18 50  MM   MM   MM    MM    MM    MM  MM 1018.8  24.7    MM  19.0   MM -2.2    MM
2017 12 20 17 50  MM   MM   MM    MM    MM    MM  MM 1019.6  24.8    MM  19.0   MM -1.5    MM
