YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 350  6.3  7.1 99.00 99.00 99.00 999 1026.7  20.5  21.2 999.0 99.0
98 01 01 01 355  8.5  9.3 99.00 99.00 99.00 999 1027.2  20.7  21.1 999.0 99.0
98 01 01 02   8  8.8 10.0 99.00 99.00 99.00 999 1027.9  20.2  21.0 999.0 99.0
98 01 01 03   9  9.9 11.0 99.00 99.00 99.00 999 1028.4  19.5  21.2 999.0 99.0
98 01 01 04   6 11.4 12.3 99.00 99.00 99.00 999 1028.7  18.6  21.1 999.0 99.0
98 01 01 05   8 11.0 11.9 99.00 99.00 99.00 999 1028.9  17.9  20.8 999.0 99.0
98 01 01 06  15 12.2 13.6 99.00 99.00 99.00 999 1028.8  17.6  20.7 999.0 99.0
98 01 01 07  19 12.8 15.0 99.00 99.00 99.00 999 1028.5  17.5  20.6 999.0 99.0
98 01 01 08  22 12.8 14.7 99.00 99.00 99.00 999 1028.4  16.0  20.5 999.0 99.0
98 01 01 09  33 13.2 14.8 99.00 99.00 99.00 999 1028.5  15.0  20.4 999.0 99.0
98 01 01 10  41 12.0 13.8 99.00 99.00 99.00 999 1029.0  14.5  20.3 999.0 99.0
98 01 01 11  36 12.7 14.7 99.00 99.00 99.00 999 1029.1  14.4  20.2 999.0 99.0
98 01 01 12  30 12.6 14.9 99.00 99.00 99.00 999 1029.3  14.3  20.1 999.0 99.0
98 01 01 13  28 13.7 15.1 99.00 99.00 99.00 999 1029.4  14.5  19.9 999.0 99.0
98 01 01 14  30 14.4 16.3 99.00 99.00 99.00 999 1029.8  14.9  20.1 999.0 99.0
98 01 01 15  35 13.4 14.7 99.00 99.00 99.00 999 1030.4  15.0  20.4 999.0 99.0
98 01 01 16  41 12.4 13.6 99.00 99.00 99.00 999 1030.3  15.8  21.1 999.0 99.0
98 01 01 17  42 11.0 12.2 99.00 99.00 99.00 999 1029.6  16.4  21.3 999.0 99.0
98 01 01 18  47 10.7 11.7 99.00 99.00 99.00 999 1028.6  16.5  21.3 999.0 99.0
98 01 01 19  51 10.7 12.3 99.00 99.00 99.00 999 1027.8  17.9  21.3 999.0 99.0
98 01 01 20  62 12.8 14.8 99.00 99.00 99.00 999 1027.5  19.2  21.2 999.0 99.0
98 01 01 21  50 11.7 13.1 99.00 99.00 99.00 999 1027.7  19.1  21.1 999.0 99.0
98 01 01 22  56 14.2 16.6 99.00 99.00 99.00 999 1027.7  19.1  21.0 999.0 99.0
98 01 01 23  54 13.8 15.2 99.00 99.00 99.00 999 1027.8  19.0  21.0 999.0 99.0
98 01 02 00  50 13.5 15.5 99.00 99.00 99.00 999 1028.0  18.7  21.1 999.0 99.0
98 01 02 01  50 12.4 13.7 99.00 99.00 99.00 999 1028.2  18.7  21.2 999.0 99.0
98 01 02 02  40 11.9 12.8 99.00 99.00 99.00 999 1028.3  18.4  21.4 999.0 99.0
98 01 02 03  48 11.3 13.1 99.00 99.00 99.00 999 1028.3  18.7  21.5 999.0 99.0
98 01 02 04  43 11.7 12.3 99.00 99.00 99.00 999 1027.8  18.3  21.4 999.0 99.0
98 01 02 05  60 11.1 13.2 99.00 99.00 99.00 999 1027.2  19.0  21.4 999.0 99.0
98 01 02 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 02 07  51  9.8 11.4 99.00 99.00 99.00 999 1026.4  18.9  21.4 999.0 99.0
98 01 02 08  48 11.0 12.1 99.00 99.00 99.00 999 1025.8  19.0  21.2 999.0 99.0
98 01 02 09  49 11.7 13.4 99.00 99.00 99.00 999 1025.4  19.1  21.1 999.0 99.0
98 01 02 10  54 11.0 12.1 99.00 99.00 99.00 999 1025.4  19.0  21.1 999.0 99.0
98 01 02 11  51 10.1 11.1 99.00 99.00 99.00 999 1025.5  19.0  20.8 999.0 99.0
98 01 02 12  53 10.7 12.4 99.00 99.00 99.00 999 1025.8  19.0  20.9 999.0 99.0
98 01 02 13  54 10.5 11.4 99.00 99.00 99.00 999 1025.9  19.3  21.4 999.0 99.0
98 01 02 14  50  8.5 10.7 99.00 99.00 99.00 999 1026.2  19.7  21.6 999.0 99.0
98 01 02 15  52  8.9  9.5 99.00 99.00 99.00 999 1026.9  20.2  21.6 999.0 99.0
98 01 02 16  90 11.4 13.3 99.00 99.00 99.00 999 1026.1  22.1  21.7 999.0 99.0
98 01 02 17  84 12.3 14.2 99.00 99.00 99.00 999 1025.4  22.2  21.7 999.0 99.0
98 01 02 18  71 11.7 12.5 99.00 99.00 99.00 999 1024.5  21.8  21.7 999.0 99.0
98 01 02 19  63 12.3 13.8 99.00 99.00 99.00 999 1023.9  21.3  21.7 999.0 99.0
98 01 02 20  68 10.2 12.2 99.00 99.00 99.00 999 1023.4  21.5  21.7 999.0 99.0
98 01 02 21  65 12.3 13.8 99.00 99.00 99.00 999 1023.3  21.5  21.7 999.0 99.0
98 01 02 22  66 11.6 13.5 99.00 99.00 99.00 999 1023.4  21.4  21.7 999.0 99.0
98 01 02 23  64 11.4 12.1 99.00 99.00 99.00 999 1023.6  21.3  21.6 999.0 99.0
98 01 03 00  60 11.8 13.4 99.00 99.00 99.00 999 1023.8  21.2  21.7 999.0 99.0
98 01 03 01  61 10.4 11.6 99.00 99.00 99.00 999 1024.2  21.2  21.7 999.0 99.0
98 01 03 02  59 10.6 11.6 99.00 99.00 99.00 999 1024.1  21.2  21.7 999.0 99.0
98 01 03 03  52 10.5 11.6 99.00 99.00 99.00 999 1023.8  21.0  21.8 999.0 99.0
98 01 03 04  57 10.2 12.0 99.00 99.00 99.00 999 1023.2  20.9  21.8 999.0 99.0
