YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00  70  9.5 10.1 99.00 99.00 99.00 999 1017.6  23.1  24.4 999.0 99.0
1999 01 01 01  66  8.5  9.5 99.00 99.00 99.00 999 1018.1  23.1  24.4 999.0 99.0
1999 01 01 02  57  9.5 10.5 99.00 99.00 99.00 999 1018.3  22.9  24.4 999.0 99.0
1999 01 01 03  50  9.1 10.5 99.00 99.00 99.00 999 1018.7  22.9  24.4 999.0 99.0
1999 01 01 04  55  9.9 10.6 99.00 99.00 99.00 999 1018.5  22.5  24.3 999.0 99.0
1999 01 01 05  53  9.5 10.1 99.00 99.00 99.00 999 1018.6  22.4  24.3 999.0 99.0
1999 01 01 06  53  9.4  9.9 99.00 99.00 99.00 999 1018.1  22.6  24.2 999.0 99.0
1999 01 01 07  51  8.9  9.5 99.00 99.00 99.00 999 1017.8  22.4  24.1 999.0 99.0
1999 01 01 08  46  8.3  9.6 99.00 99.00 99.00 999 1017.8  22.2  23.7 999.0 99.0
1999 01 01 09  38  8.5  9.6 99.00 99.00 99.00 999 1017.3  22.4  23.7 999.0 99.0
1999 01 01 10  44  8.7  9.4 99.00 99.00 99.00 999 1017.3  22.6  24.1 999.0 99.0
1999 01 01 11  45  9.6 11.2 99.00 99.00 99.00 999 1017.5  22.5  24.3 999.0 99.0
1999 01 01 12  37  9.7 10.8 99.00 99.00 99.00 999 1017.7  22.1  24.3 999.0 99.0
1999 01 01 13  69  2.2  3.0 99.00 99.00 99.00 999 1018.8  20.4  24.3 999.0 99.0
1999 01 01 14  52  6.8  7.7 99.00 99.00 99.00 999 1019.0  22.2  24.2 999.0 99.0
1999 01 01 15  66  8.3  9.5 99.00 99.00 99.00 999 1019.1  22.9  24.2 999.0 99.0
1999 01 01 16  74 10.3 12.0 99.00 99.00 99.00 999 1018.9  23.6  24.2 999.0 99.0
1999 01 01 17  79 11.2 12.5 99.00 99.00 99.00 999 1018.0  24.2  24.2 999.0 99.0
1999 01 01 18  73  9.8 10.6 99.00 99.00 99.00 999 1017.2  23.0  24.2 999.0 99.0
1999 01 01 19  87 11.9 13.6 99.00 99.00 99.00 999 1015.8  23.9  24.2 999.0 99.0
1999 01 01 20 122 12.7 14.5 99.00 99.00 99.00 999 1015.7  22.5  24.1 999.0 99.0
1999 01 01 21 131 11.6 12.9 99.00 99.00 99.00 999 1015.7  23.3  24.1 999.0 99.0
1999 01 01 22  83  2.2  3.9 99.00 99.00 99.00 999 1016.6  21.8  24.1 999.0 99.0
1999 01 01 23  32  3.3  3.7 99.00 99.00 99.00 999 1016.5  22.9  24.2 999.0 99.0
1999 01 02 00  86  6.3  6.8 99.00 99.00 99.00 999 1016.8  22.2  24.3 999.0 99.0
