YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00  20  6.4  7.8 99.00 99.00 99.00 999 1024.1  12.4  23.1 999.0 99.0 99.00
2001 01 01 01 357  7.4  9.0 99.00 99.00 99.00 999 1024.3  12.8  23.0 999.0 99.0 99.00
2001 01 01 02 349  5.6  7.3 99.00 99.00 99.00 999 1024.9  12.6  22.9 999.0 99.0 99.00
2001 01 01 03 350  6.0  6.9 99.00 99.00 99.00 999 1025.1  12.3  22.6 999.0 99.0 99.00
2001 01 01 04   0  5.0  6.2 99.00 99.00 99.00 999 1025.0  12.2  22.5 999.0 99.0 99.00
2001 01 01 05  13  7.2  8.4 99.00 99.00 99.00 999 1024.5  12.5  22.6 999.0 99.0 99.00
2001 01 01 06  12  5.0  5.9 99.00 99.00 99.00 999 1025.1  12.9  22.7 999.0 99.0 99.00
2001 01 01 07   1  3.6  4.3 99.00 99.00 99.00 999 1024.9  12.9  22.6 999.0 99.0 99.00
2001 01 01 08   7  4.7  5.2 99.00 99.00 99.00 999 1024.9  12.9  22.8 999.0 99.0 99.00
2001 01 01 09  16  5.2  6.9 99.00 99.00 99.00 999 1024.7  13.0  22.8 999.0 99.0 99.00
2001 01 01 10  42  6.2  7.2 99.00 99.00 99.00 999 1024.3  12.4  22.7 999.0 99.0 99.00
2001 01 01 11  12  5.8  7.1 99.00 99.00 99.00 999 1025.0  12.4  22.5 999.0 99.0 99.00
2001 01 01 12  14  6.2  7.9 99.00 99.00 99.00 999 1025.1  11.9  22.2 999.0 99.0 99.00
2001 01 01 13  26  5.4  6.4 99.00 99.00 99.00 999 1025.6  12.1  22.0 999.0 99.0 99.00
2001 01 01 14  32  5.6  6.3 99.00 99.00 99.00 999 1025.9  13.7  22.3 999.0 99.0 99.00
2001 01 01 15  48  4.6  5.9 99.00 99.00 99.00 999 1026.3  14.1  22.6 999.0 99.0 99.00
2001 01 01 16  60  4.7  5.6 99.00 99.00 99.00 999 1026.1  14.5  22.7 999.0 99.0 99.00
2001 01 01 17  45  4.4  5.9 99.00 99.00 99.00 999 1026.2  15.0  22.9 999.0 99.0 99.00
2001 01 01 18  50  4.3  5.3 99.00 99.00 99.00 999 1025.2  15.3  22.9 999.0 99.0 99.00
2001 01 01 19  27  5.4  6.2 99.00 99.00 99.00 999 1024.2  15.5  23.2 999.0 99.0 99.00
2001 01 01 20  47  5.0  6.3 99.00 99.00 99.00 999 1023.7  15.9  23.4 999.0 99.0 99.00
2001 01 01 21  60  4.4  5.6 99.00 99.00 99.00 999 1023.4  16.5  23.4 999.0 99.0 99.00
2001 01 01 22  34  5.4  6.4 99.00 99.00 99.00 999 1023.6  16.0  22.9 999.0 99.0 99.00
2001 01 01 23  39  6.1  6.9 99.00 99.00 99.00 999 1023.8  15.4  22.9 999.0 99.0 99.00
2001 01 02 00  40  7.2  8.0 99.00 99.00 99.00 999 1024.1  16.1  22.9 999.0 99.0 99.00
2001 01 02 01  43  7.8  9.3 99.00 99.00 99.00 999 1024.4  16.5  22.9 999.0 99.0 99.00
2001 01 02 02  56  7.7  8.5 99.00 99.00 99.00 999 1024.2  16.6  22.9 999.0 99.0 99.00
2001 01 02 03  44  8.3  9.3 99.00 99.00 99.00 999 1024.4  16.7  23.1 999.0 99.0 99.00
2001 01 02 04  43  7.6  8.3 99.00 99.00 99.00 999 1024.8  16.5  23.1 999.0 99.0 99.00
2001 01 02 05  55  8.3 10.0 99.00 99.00 99.00 999 1024.2  17.1  23.1 999.0 99.0 99.00
2001 01 02 06  42  9.2 10.2 99.00 99.00 99.00 999 1023.5  16.7  23.1 999.0 99.0 99.00
2001 01 02 07  40  9.5 10.3 99.00 99.00 99.00 999 1023.3  16.6  23.1 999.0 99.0 99.00
2001 01 02 08  45  9.5 10.2 99.00 99.00 99.00 999 1022.8  16.6  23.1 999.0 99.0 99.00
2001 01 02 09  32 10.3 11.2 99.00 99.00 99.00 999 1022.9  16.3  23.1 999.0 99.0 99.00
2001 01 02 10  37 10.2 11.4 99.00 99.00 99.00 999 1023.4  16.3  23.0 999.0 99.0 99.00
2001 01 02 11  46 10.6 11.7 99.00 99.00 99.00 999 1023.4  16.1  22.9 999.0 99.0 99.00
2001 01 02 12  46  9.7 10.6 99.00 99.00 99.00 999 1024.3  16.4  22.4 999.0 99.0 99.00
2001 01 02 13  43  9.2  9.8 99.00 99.00 99.00 999 1025.0  17.1  22.5 999.0 99.0 99.00
2001 01 02 14  44  9.2 10.0 99.00 99.00 99.00 999 1025.8  18.1  22.6 999.0 99.0 99.00
2001 01 02 15  48  9.3 10.5 99.00 99.00 99.00 999 1026.1  17.4  22.7 999.0 99.0 99.00
2001 01 02 16  42  9.8 10.4 99.00 99.00 99.00 999 1025.9  18.3  22.9 999.0 99.0 99.00
2001 01 02 17  47  8.7  9.9 99.00 99.00 99.00 999 1025.6  18.7  23.0 999.0 99.0 99.00
2001 01 02 18  41  9.6 10.5 99.00 99.00 99.00 999 1025.0  18.9  23.1 999.0 99.0 99.00
2001 01 02 19  33  8.9  9.5 99.00 99.00 99.00 999 1024.2  18.9  23.1 999.0 99.0 99.00
2001 01 02 20  46  8.5  9.2 99.00 99.00 99.00 999 1023.7  19.4  23.1 999.0 99.0 99.00
2001 01 02 21  47  8.1  9.2 99.00 99.00 99.00 999 1023.7  19.9  23.1 999.0 99.0 99.00
2001 01 02 22  26  7.9  8.6 99.00 99.00 99.00 999 1024.0  19.1  23.0 999.0 99.0 99.00
2001 01 02 23  26  6.6  7.6 99.00 99.00 99.00 999 1023.8  18.1  23.0 999.0 99.0 99.00
2001 01 03 00  31  6.9  7.7 99.00 99.00 99.00 999 1024.2  18.1  23.0 999.0 99.0 99.00
2001 01 03 01  56  9.2 10.3 99.00 99.00 99.00 999 1024.5  19.0  22.9 999.0 99.0 99.00
2001 01 03 02  51  9.8 10.8 99.00 99.00 99.00 999 1024.9  18.8  22.8 999.0 99.0 99.00
2001 01 03 03  31 10.0 11.1 99.00 99.00 99.00 999 1025.1  17.9  22.9 999.0 99.0 99.00
2001 01 03 04  31  9.4 10.3 99.00 99.00 99.00 999 1025.2  17.2  22.8 999.0 99.0 99.00
2001 01 03 05  32 10.1 11.2 99.00 99.00 99.00 999 1024.6  16.8  22.9 999.0 99.0 99.00
2001 01 03 06  31 10.1 10.9 99.00 99.00 99.00 999 1024.4  16.0  23.0 999.0 99.0 99.00
2001 01 03 07  52  9.7 10.9 99.00 99.00 99.00 999 1023.5  15.9  23.0 999.0 99.0 99.00
2001 01 03 08  38  9.5 10.8 99.00 99.00 99.00 999 1023.6  15.9  23.0 999.0 99.0 99.00
2001 01 03 09  31  9.7 10.8 99.00 99.00 99.00 999 1023.2  15.8  22.9 999.0 99.0 99.00
2001 01 03 10  37 10.0 11.6 99.00 99.00 99.00 999 1023.1  15.3  22.9 999.0 99.0 99.00
2001 01 03 11  31  9.1 10.1 99.00 99.00 99.00 999 1023.4  15.5  22.8 999.0 99.0 99.00
2001 01 03 12  35  8.5  9.4 99.00 99.00 99.00 999 1024.1  15.4  22.7 999.0 99.0 99.00
2001 01 03 13  28  9.5 10.3 99.00 99.00 99.00 999 1024.7  15.6  22.6 999.0 99.0 99.00
2001 01 03 14  29  8.6  9.4 99.00 99.00 99.00 999 1024.9  16.8  22.5 999.0 99.0 99.00
2001 01 03 15  35  8.0  8.8 99.00 99.00 99.00 999 1024.9  17.0  22.5 999.0 99.0 99.00
2001 01 03 16  28  6.9  7.5 99.00 99.00 99.00 999 1024.9  17.3  22.9 999.0 99.0 99.00
2001 01 03 17  31  7.1  7.6 99.00 99.00 99.00 999 1024.0  17.3  23.0 999.0 99.0 99.00
2001 01 03 18  36  6.8  7.4 99.00 99.00 99.00 999 1023.1  18.1  23.1 999.0 99.0 99.00
2001 01 03 19  25  7.1  8.0 99.00 99.00 99.00 999 1021.9  18.7  23.1 999.0 99.0 99.00
2001 01 03 20  24  7.3  8.1 99.00 99.00 99.00 999 1021.7  18.7  23.1 999.0 99.0 99.00
2001 01 03 21  31  7.1  7.8 99.00 99.00 99.00 999 1021.2  18.3  23.1 999.0 99.0 99.00
2001 01 03 22  27  7.2  8.0 99.00 99.00 99.00 999 1020.8  18.2  23.1 999.0 99.0 99.00
2001 01 03 23  12  8.2  8.8 99.00 99.00 99.00 999 1021.1  17.4  23.1 999.0 99.0 99.00
2001 01 04 00  12  6.0  7.0 99.00 99.00 99.00 999 1021.3  17.5  23.0 999.0 99.0 99.00
2001 01 04 01   3  5.8  6.8 99.00 99.00 99.00 999 1021.8  17.8  22.9 999.0 99.0 99.00
2001 01 04 02   5  5.0  5.5 99.00 99.00 99.00 999 1021.9  17.3  22.8 999.0 99.0 99.00
2001 01 04 03   1  5.8  6.4 99.00 99.00 99.00 999 1022.2  17.4  22.8 999.0 99.0 99.00
2001 01 04 04 341  6.2  6.8 99.00 99.00 99.00 999 1022.4  15.5  22.7 999.0 99.0 99.00
2001 01 04 05 352  5.7  6.2 99.00 99.00 99.00 999 1022.0  16.5  22.5 999.0 99.0 99.00
2001 01 04 06 344  8.5  9.1 99.00 99.00 99.00 999 1022.0  14.3  22.5 999.0 99.0 99.00
2001 01 04 07 339  5.9  6.5 99.00 99.00 99.00 999 1021.8  14.0  22.4 999.0 99.0 99.00
2001 01 04 08 334  4.8  5.7 99.00 99.00 99.00 999 1021.2  15.5  22.8 999.0 99.0 99.00
2001 01 04 09 342  4.2  4.6 99.00 99.00 99.00 999 1020.6  15.9  22.9 999.0 99.0 99.00
2001 01 04 10   8  5.3  5.8 99.00 99.00 99.00 999 1020.1  15.8  22.9 999.0 99.0 99.00
2001 01 04 11 357  6.1  6.9 99.00 99.00 99.00 999 1020.5  15.6  22.9 999.0 99.0 99.00
2001 01 04 12 349  8.1  9.0 99.00 99.00 99.00 999 1021.1  15.5  22.8 999.0 99.0 99.00
