YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00  60  6.3  6.8 99.00 99.00 99.00 999 1024.7  21.6 999.0 999.0 99.0 99.00
2004 01 01 01  59  7.4  7.8 99.00 99.00 99.00 999 1025.2  21.9 999.0 999.0 99.0 99.00
2004 01 01 02  60  6.9  7.7 99.00 99.00 99.00 999 1025.7  21.8 999.0 999.0 99.0 99.00
2004 01 01 03  54  6.6  7.2 99.00 99.00 99.00 999 1025.9  21.9 999.0 999.0 99.0 99.00
2004 01 01 04  37  6.1  6.5 99.00 99.00 99.00 999 1025.5  21.5 999.0 999.0 99.0 99.00
2004 01 01 05  42  5.3  5.5 99.00 99.00 99.00 999 1025.0  21.6 999.0 999.0 99.0 99.00
2004 01 01 06  44  5.4  5.7 99.00 99.00 99.00 999 1024.6  21.7 999.0 999.0 99.0 99.00
2004 01 01 07  47  6.1  6.6 99.00 99.00 99.00 999 1024.4  21.7 999.0 999.0 99.0 99.00
2004 01 01 08  53  6.6  7.2 99.00 99.00 99.00 999 1024.2  21.4 999.0 999.0 99.0 99.00
2004 01 01 09  47  5.8  6.4 99.00 99.00 99.00 999 1024.1  21.3 999.0 999.0 99.0 99.00
2004 01 01 10  57  7.5  8.1 99.00 99.00 99.00 999 1024.4  21.2 999.0 999.0 99.0 99.00
2004 01 01 11  68  9.4 10.1 99.00 99.00 99.00 999 1024.6  20.8 999.0 999.0 99.0 99.00
2004 01 01 12  34  6.3  6.5 99.00 99.00 99.00 999 1025.4  20.8 999.0 999.0 99.0 99.00
2004 01 01 13  40  4.5  5.0 99.00 99.00 99.00 999 1026.0  21.2 999.0 999.0 99.0 99.00
2004 01 01 14  62  4.0  4.3 99.00 99.00 99.00 999 1026.7  21.0 999.0 999.0 99.0 99.00
2004 01 01 15  65  7.1  7.6 99.00 99.00 99.00 999 1027.3  21.5 999.0 999.0 99.0 99.00
2004 01 01 16  53  6.4  6.8 99.00 99.00 99.00 999 1027.3  21.7 999.0 999.0 99.0 99.00
2004 01 01 17  59  6.6  7.1 99.00 99.00 99.00 999 1026.8  21.9 999.0 999.0 99.0 99.00
2004 01 01 18  62  6.4  6.8 99.00 99.00 99.00 999 1025.7  22.2 999.0 999.0 99.0 99.00
2004 01 01 19  67  4.9  5.4 99.00 99.00 99.00 999 1025.0  21.8 999.0 999.0 99.0 99.00
2004 01 01 20  54  6.2  6.9 99.00 99.00 99.00 999 1024.7  22.1 999.0 999.0 99.0 99.00
2004 01 01 21  65  6.4  7.1 99.00 99.00 99.00 999 1024.6  22.6 999.0 999.0 99.0 99.00
2004 01 01 22  65  6.6  7.1 99.00 99.00 99.00 999 1024.5  22.6 999.0 999.0 99.0 99.00
2004 01 01 23  62  7.2  7.9 99.00 99.00 99.00 999 1024.7  22.4 999.0 999.0 99.0 99.00
2004 01 02 00  57  6.4  6.9 99.00 99.00 99.00 999 1024.9  22.0 999.0 999.0 99.0 99.00
2004 01 02 01  55  6.6  7.4 99.00 99.00 99.00 999 1025.3  21.9 999.0 999.0 99.0 99.00
2004 01 02 02  53  6.1  6.6 99.00 99.00 99.00 999 1025.4  22.0 999.0 999.0 99.0 99.00
2004 01 02 03  51  6.5  6.8 99.00 99.00 99.00 999 1025.6  21.8 999.0 999.0 99.0 99.00
2004 01 02 04  41  5.0  5.6 99.00 99.00 99.00 999 1025.3  21.6 999.0 999.0 99.0 99.00
2004 01 02 05  53  5.9  6.3 99.00 99.00 99.00 999 1024.4  21.4 999.0 999.0 99.0 99.00
2004 01 02 06  56  6.4  6.9 99.00 99.00 99.00 999 1023.6  21.4 999.0 999.0 99.0 99.00
2004 01 02 07  57  6.2  6.7 99.00 99.00 99.00 999 1022.9  21.5 999.0 999.0 99.0 99.00
2004 01 02 08 112 10.4 11.1 99.00 99.00 99.00 999 1022.6  24.1 999.0 999.0 99.0 99.00
2004 01 02 09 100  8.5  9.6 99.00 99.00 99.00 999 1022.5  23.9 999.0 999.0 99.0 99.00
2004 01 02 10  91  7.4  8.1 99.00 99.00 99.00 999 1022.4  23.7 999.0 999.0 99.0 99.00
2004 01 02 11  42  5.8  6.6 99.00 99.00 99.00 999 1022.7  21.7 999.0 999.0 99.0 99.00
2004 01 02 12  49  5.2  6.0 99.00 99.00 99.00 999 1023.0  21.7 999.0 999.0 99.0 99.00
2004 01 02 13  61  7.1  7.6 99.00 99.00 99.00 999 1023.7  21.6 999.0 999.0 99.0 99.00
2004 01 02 14  44  6.0  6.8 99.00 99.00 99.00 999 1024.9  21.6 999.0 999.0 99.0 99.00
2004 01 02 15  37  5.1  5.8 99.00 99.00 99.00 999 1025.4  21.5 999.0 999.0 99.0 99.00
2004 01 02 16  38  3.0  3.6 99.00 99.00 99.00 999 1025.2  21.9 999.0 999.0 99.0 99.00
2004 01 02 17  63  4.3  5.1 99.00 99.00 99.00 999 1024.1  22.0 999.0 999.0 99.0 99.00
2004 01 02 18  48  5.2  5.6 99.00 99.00 99.00 999 1023.3  22.3 999.0 999.0 99.0 99.00
2004 01 02 19  36  4.9  5.4 99.00 99.00 99.00 999 1022.6  21.6 999.0 999.0 99.0 99.00
2004 01 02 20  48  4.4  4.7 99.00 99.00 99.00 999 1022.1  22.5 999.0 999.0 99.0 99.00
2004 01 02 21  61  5.9  6.4 99.00 99.00 99.00 999 1021.8  22.9 999.0 999.0 99.0 99.00
2004 01 02 22  51  5.1  5.7 99.00 99.00 99.00 999 1021.8  22.8 999.0 999.0 99.0 99.00
2004 01 02 23  51  5.8  6.3 99.00 99.00 99.00 999 1022.0  22.2 999.0 999.0 99.0 99.00
2004 01 03 00 117  8.6  9.5 99.00 99.00 99.00 999 1022.3  23.3 999.0 999.0 99.0 99.00
2004 01 03 01  65  9.1  9.8 99.00 99.00 99.00 999 1022.5  23.4 999.0 999.0 99.0 99.00
2004 01 03 02  60  8.3  9.0 99.00 99.00 99.00 999 1022.7  22.6 999.0 999.0 99.0 99.00
2004 01 03 03  62  7.5  8.1 99.00 99.00 99.00 999 1023.1  22.5 999.0 999.0 99.0 99.00
2004 01 03 04  61  7.3  7.8 99.00 99.00 99.00 999 1022.8  22.4 999.0 999.0 99.0 99.00
2004 01 03 05  67  8.0  9.2 99.00 99.00 99.00 999 1022.2  22.6 999.0 999.0 99.0 99.00
2004 01 03 06  66  6.9  7.7 99.00 99.00 99.00 999 1021.6  22.5 999.0 999.0 99.0 99.00
2004 01 03 07  63  7.6  8.0 99.00 99.00 99.00 999 1021.1  22.5 999.0 999.0 99.0 99.00
2004 01 03 08  55  6.9  7.7 99.00 99.00 99.00 999 1020.8  22.3 999.0 999.0 99.0 99.00
2004 01 03 09  55  6.9  8.1 99.00 99.00 99.00 999 1020.6  22.1 999.0 999.0 99.0 99.00
2004 01 03 10  66  7.1  7.9 99.00 99.00 99.00 999 1020.3  22.2 999.0 999.0 99.0 99.00
2004 01 03 11  53  5.9  6.5 99.00 99.00 99.00 999 1020.4  22.1 999.0 999.0 99.0 99.00
2004 01 03 12  62  5.6  6.4 99.00 99.00 99.00 999 1020.9  22.3 999.0 999.0 99.0 99.00
2004 01 03 13  70  5.4  6.0 99.00 99.00 99.00 999 1021.2  22.5 999.0 999.0 99.0 99.00
2004 01 03 14  54  6.3  7.4 99.00 99.00 99.00 999 1021.8  22.4 999.0 999.0 99.0 99.00
2004 01 03 15 111  7.8  8.6 99.00 99.00 99.00 999 1022.6  24.6 999.0 999.0 99.0 99.00
2004 01 03 16  96  7.9  8.5 99.00 99.00 99.00 999 1022.7  24.5 999.0 999.0 99.0 99.00
2004 01 03 17  97  8.3  9.0 99.00 99.00 99.00 999 1021.9  24.4 999.0 999.0 99.0 99.00
2004 01 03 18 105  8.1  8.8 99.00 99.00 99.00 999 1020.9  24.5 999.0 999.0 99.0 99.00
2004 01 03 19 105  7.1  8.0 99.00 99.00 99.00 999 1020.3  24.6 999.0 999.0 99.0 99.00
2004 01 03 20 100  6.6  7.6 99.00 99.00 99.00 999 1020.1  24.6 999.0 999.0 99.0 99.00
2004 01 03 21  87  7.9  9.3 99.00 99.00 99.00 999 1020.0  24.2 999.0 999.0 99.0 99.00
2004 01 03 22  70  7.2  8.2 99.00 99.00 99.00 999 1020.0  23.5 999.0 999.0 99.0 99.00
2004 01 03 23  69  7.3  8.1 99.00 99.00 99.00 999 1020.0  23.3 999.0 999.0 99.0 99.00
2004 01 04 00  85  9.9 10.6 99.00 99.00 99.00 999 1019.9  24.1 999.0 999.0 99.0 99.00
2004 01 04 01  80  9.0 10.0 99.00 99.00 99.00 999 1020.4  24.0 999.0 999.0 99.0 99.00
2004 01 04 02  60  6.1  6.7 99.00 99.00 99.00 999 1020.6  23.0 999.0 999.0 99.0 99.00
2004 01 04 03  69  7.3  8.0 99.00 99.00 99.00 999 1020.5  23.0 999.0 999.0 99.0 99.00
2004 01 04 04  97  7.9  9.1 99.00 99.00 99.00 999 1020.2  24.5 999.0 999.0 99.0 99.00
2004 01 04 05 110  8.1  9.0 99.00 99.00 99.00 999 1019.7  24.5 999.0 999.0 99.0 99.00
2004 01 04 06 118  9.0  9.9 99.00 99.00 99.00 999 1019.1  24.5 999.0 999.0 99.0 99.00
2004 01 04 07 123  9.8 10.6 99.00 99.00 99.00 999 1018.6  24.5 999.0 999.0 99.0 99.00
2004 01 04 08 111  9.1 10.2 99.00 99.00 99.00 999 1018.6  24.4 999.0 999.0 99.0 99.00
2004 01 04 09 114  9.9 11.1 99.00 99.00 99.00 999 1018.4  24.4 999.0 999.0 99.0 99.00
2004 01 04 10 115 10.0 11.1 99.00 99.00 99.00 999 1017.9  24.4 999.0 999.0 99.0 99.00
2004 01 04 11 121  9.7 10.8 99.00 99.00 99.00 999 1018.2  24.4 999.0 999.0 99.0 99.00
2004 01 04 12 118  8.6  9.7 99.00 99.00 99.00 999 1018.9  24.4 999.0 999.0 99.0 99.00
2004 01 04 13 124  9.0  9.8 99.00 99.00 99.00 999 1019.3  24.5 999.0 999.0 99.0 99.00
2004 01 04 14 110  8.9  9.6 99.00 99.00 99.00 999 1020.4  24.6 999.0 999.0 99.0 99.00
2004 01 04 15 111  8.5  9.5 99.00 99.00 99.00 999 1021.4  24.7 999.0 999.0 99.0 99.00
2004 01 04 16 105  8.9  9.6 99.00 99.00 99.00 999 1021.2  24.6 999.0 999.0 99.0 99.00
2004 01 04 17 112  7.7  8.4 99.00 99.00 99.00 999 1020.6  24.6 999.0 999.0 99.0 99.00
2004 01 04 18 113  7.9  8.9 99.00 99.00 99.00 999 1019.6  24.5 999.0 999.0 99.0 99.00
2004 01 04 19 113  7.7  8.6 99.00 99.00 99.00 999 1018.9  24.5 999.0 999.0 99.0 99.00
2004 01 04 20 109  9.2 10.0 99.00 99.00 99.00 999 1018.7  24.5 999.0 999.0 99.0 99.00
2004 01 04 21 105  7.5  8.8 99.00 99.00 99.00 999 1018.8  24.6 999.0 999.0 99.0 99.00
2004 01 04 22 103  9.7 10.4 99.00 99.00 99.00 999 1018.7  24.5 999.0 999.0 99.0 99.00
2004 01 04 23  99  8.2  9.0 99.00 99.00 99.00 999 1018.9  24.2 999.0 999.0 99.0 99.00
2004 01 05 00 100  7.8  8.4 99.00 99.00 99.00 999 1018.9  24.1 999.0 999.0 99.0 99.00
2004 01 05 01 110  7.9  8.5 99.00 99.00 99.00 999 1019.3  24.1 999.0 999.0 99.0 99.00
2004 01 05 02  95  8.2  9.0 99.00 99.00 99.00 999 1019.1  24.0 999.0 999.0 99.0 99.00
2004 01 05 03 107  8.5  9.4 99.00 99.00 99.00 999 1019.5  24.0 999.0 999.0 99.0 99.00
2004 01 05 04 109  9.2  9.9 99.00 99.00 99.00 999 1019.4  24.0 999.0 999.0 99.0 99.00
2004 01 05 05 110  8.9  9.7 99.00 99.00 99.00 999 1019.0  23.9 999.0 999.0 99.0 99.00
2004 01 05 06 108  8.5  9.5 99.00 99.00 99.00 999 1018.6  23.9 999.0 999.0 99.0 99.00
2004 01 05 07 112  8.7  9.9 99.00 99.00 99.00 999 1018.4  24.0 999.0 999.0 99.0 99.00
2004 01 05 08 125  6.7  7.4 99.00 99.00 99.00 999 1017.9  23.8 999.0 999.0 99.0 99.00
2004 01 05 09 122  7.8  8.4 99.00 99.00 99.00 999 1017.2  23.8 999.0 999.0 99.0 99.00
2004 01 05 10 126  8.2  8.9 99.00 99.00 99.00 999 1017.1  23.9 999.0 999.0 99.0 99.00
2004 01 05 11 120  7.2  7.7 99.00 99.00 99.00 999 1017.5  23.7 999.0 999.0 99.0 99.00
2004 01 05 12 125  6.2  7.4 99.00 99.00 99.00 999 1017.8  23.8 999.0 999.0 99.0 99.00
2004 01 05 13 112  6.7  7.4 99.00 99.00 99.00 999 1018.3  23.8 999.0 999.0 99.0 99.00
2004 01 05 14 115  7.0  7.7 99.00 99.00 99.00 999 1019.0  23.8 999.0 999.0 99.0 99.00
2004 01 05 15 125  7.5  8.4 99.00 99.00 99.00 999 1019.5  24.1 999.0 999.0 99.0 99.00
2004 01 05 16 130  7.0  7.8 99.00 99.00 99.00 999 1019.5  24.0 999.0 999.0 99.0 99.00
2004 01 05 17 122  5.9  6.6 99.00 99.00 99.00 999 1019.0  24.1 999.0 999.0 99.0 99.00
2004 01 05 18 130  6.0  7.0 99.00 99.00 99.00 999 1018.0  24.1 999.0 999.0 99.0 99.00
2004 01 05 19 124  5.3  5.7 99.00 99.00 99.00 999 1017.4  24.1 999.0 999.0 99.0 99.00
2004 01 05 20 112  5.2  5.7 99.00 99.00 99.00 999 1017.2  24.1 999.0 999.0 99.0 99.00
2004 01 05 21 105  5.0  5.6 99.00 99.00 99.00 999 1017.3  24.0 999.0 999.0 99.0 99.00
2004 01 05 22  92  3.6  4.0 99.00 99.00 99.00 999 1017.7  23.7 999.0 999.0 99.0 99.00
2004 01 05 23 100  3.8  4.0 99.00 99.00 99.00 999 1018.0  23.6 999.0 999.0 99.0 99.00
2004 01 06 00  55  2.8  2.9 99.00 99.00 99.00 999 1018.5  23.1 999.0 999.0 99.0 99.00
2004 01 06 01  41  3.6  4.0 99.00 99.00 99.00 999 1018.8  22.5 999.0 999.0 99.0 99.00
2004 01 06 02  12  4.1  4.4 99.00 99.00 99.00 999 1018.9  22.2 999.0 999.0 99.0 99.00
2004 01 06 03  11  3.3  3.6 99.00 99.00 99.00 999 1019.2  22.2 999.0 999.0 99.0 99.00
2004 01 06 04   4  2.9  3.1 99.00 99.00 99.00 999 1019.3  22.5 999.0 999.0 99.0 99.00
2004 01 06 05  19  2.6  2.9 99.00 99.00 99.00 999 1019.2  22.6 999.0 999.0 99.0 99.00
2004 01 06 06  20  2.3  2.6 99.00 99.00 99.00 999 1019.2  22.6 999.0 999.0 99.0 99.00
2004 01 06 07  20  3.1  3.4 99.00 99.00 99.00 999 1019.2  22.7 999.0 999.0 99.0 99.00
2004 01 06 08  15  2.8  3.1 99.00 99.00 99.00 999 1018.8  22.7 999.0 999.0 99.0 99.00
2004 01 06 09  23  2.7  3.0 99.00 99.00 99.00 999 1018.9  23.1 999.0 999.0 99.0 99.00
2004 01 06 10   8  3.5  3.8 99.00 99.00 99.00 999 1018.8  22.0 999.0 999.0 99.0 99.00
2004 01 06 11  23  3.6  4.1 99.00 99.00 99.00 999 1018.9  22.0 999.0 999.0 99.0 99.00
2004 01 06 12  46  4.3  4.7 99.00 99.00 99.00 999 1019.2  22.0 999.0 999.0 99.0 99.00
2004 01 06 13  48  4.5  5.0 99.00 99.00 99.00 999 1019.6  22.3 999.0 999.0 99.0 99.00
2004 01 06 14  40  4.7  5.2 99.00 99.00 99.00 999 1020.3  22.6 999.0 999.0 99.0 99.00
2004 01 06 15 359  4.7  5.1 99.00 99.00 99.00 999 1021.0  22.8 999.0 999.0 99.0 99.00
2004 01 06 16  14  4.2  4.7 99.00 99.00 99.00 999 1020.8  22.8 999.0 999.0 99.0 99.00
2004 01 06 17  68  3.8  4.1 99.00 99.00 99.00 999 1020.1  23.3 999.0 999.0 99.0 99.00
2004 01 06 18 104  2.5  2.6 99.00 99.00 99.00 999 1019.7  22.3 999.0 999.0 99.0 99.00
2004 01 06 19 105  2.5  3.0 99.00 99.00 99.00 999 1019.3  21.6 999.0 999.0 99.0 99.00
2004 01 06 20   6  3.7  4.3 99.00 99.00 99.00 999 1019.0  21.5 999.0 999.0 99.0 99.00
2004 01 06 21  61  5.8  6.3 99.00 99.00 99.00 999 1019.0  22.1 999.0 999.0 99.0 99.00
2004 01 06 22  50  3.2  3.6 99.00 99.00 99.00 999 1019.7  22.0 999.0 999.0 99.0 99.00
2004 01 06 23  47  4.3  5.0 99.00 99.00 99.00 999 1020.2  22.8 999.0 999.0 99.0 99.00
2004 01 07 00  24  4.2  4.6 99.00 99.00 99.00 999 1020.6  21.7 999.0 999.0 99.0 99.00
2004 01 07 01  43  3.1  3.6 99.00 99.00 99.00 999 1020.8  22.1 999.0 999.0 99.0 99.00
2004 01 07 02  30  4.5  4.8 99.00 99.00 99.00 999 1021.3  22.0 999.0 999.0 99.0 99.00
2004 01 07 03   7  5.4  5.9 99.00 99.00 99.00 999 1021.9  21.8 999.0 999.0 99.0 99.00
2004 01 07 04   9  7.7  8.1 99.00 99.00 99.00 999 1021.8  22.1 999.0 999.0 99.0 99.00
2004 01 07 05   4 10.0 10.7 99.00 99.00 99.00 999 1021.6  21.3 999.0 999.0 99.0 99.00
