YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 24 20 00  38  4.5  4.6 99.00 99.00 99.00 999 1017.7  26.7 999.0 999.0 99.0 99.00
2006 05 24 21 00  49  2.5  3.4 99.00 99.00 99.00 999 1017.7  26.9 999.0 999.0 99.0 99.00
2006 05 25 02 00  59  6.0  6.9 99.00 99.00 99.00 999 1018.3  25.8 999.0 999.0 99.0 99.00
2006 05 25 03 00  64  7.6  7.9 99.00 99.00 99.00 999 1018.2  26.0 999.0 999.0 99.0 99.00
2006 05 25 04 00  89  2.8  4.4 99.00 99.00 99.00 999 1018.3  26.5 999.0 999.0 99.0 99.00
2006 05 25 05 00 108  2.0  3.3 99.00 99.00 99.00 999 1018.1  26.0 999.0 999.0 99.0 99.00
2006 05 25 06 00 138  7.5  8.2 99.00 99.00 99.00 999 1017.6  25.8 999.0 999.0 99.0 99.00
2006 05 25 07 00 148  6.5  7.1 99.00 99.00 99.00 999 1016.7  25.7 999.0 999.0 99.0 99.00
2006 05 25 08 00 141  5.4  5.8 99.00 99.00 99.00 999 1016.4  25.4 999.0 999.0 99.0 99.00
2006 05 25 09 00 119  1.4  3.5 99.00 99.00 99.00 999 1016.3  25.6 999.0 999.0 99.0 99.00
2006 05 25 10 00 113  1.0  2.7 99.00 99.00 99.00 999 1016.1  25.5 999.0 999.0 99.0 99.00
2006 05 25 11 00 135  4.7  5.0 99.00 99.00 99.00 999 1016.8  25.7 999.0 999.0 99.0 99.00
2006 05 25 12 00 103  0.7  1.5 99.00 99.00 99.00 999 1017.6  25.9 999.0 999.0 99.0 99.00
2006 05 25 13 00 137  5.1  5.3 99.00 99.00 99.00 999 1018.2  26.0 999.0 999.0 99.0 99.00
2006 05 25 14 00 167  4.0  4.4 99.00 99.00 99.00 999 1018.3  26.4 999.0 999.0 99.0 99.00
2006 05 25 15 00 150  3.9  4.2 99.00 99.00 99.00 999 1018.3  26.7 999.0 999.0 99.0 99.00
2006 05 25 16 00 146  3.1  3.3 99.00 99.00 99.00 999 1018.4  28.4 999.0 999.0 99.0 99.00
2006 05 25 17 00 166  2.5  2.9 99.00 99.00 99.00 999 1018.2  27.1 999.0 999.0 99.0 99.00
2006 05 25 18 00 147  2.2  2.8 99.00 99.00 99.00 999 1017.8  28.0 999.0 999.0 99.0 99.00
2006 05 25 19 00  94  0.1  0.3 99.00 99.00 99.00 999 1017.2  28.0 999.0 999.0 99.0 99.00
2006 05 25 20 00  79  2.9  3.4 99.00 99.00 99.00 999 1016.4  28.4 999.0 999.0 99.0 99.00
2006 05 25 21 00  77  5.4  5.9 99.00 99.00 99.00 999 1016.0  27.9 999.0 999.0 99.0 99.00
2006 05 25 22 00  66  6.2  6.6 99.00 99.00 99.00 999 1016.0  27.2 999.0 999.0 99.0 99.00
