#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 00  52  4.7  5.0 99.00 99.00 99.00 999 1021.9  22.8 999.0 999.0 99.0 99.00
2012 01 01 01 00  68  4.0  4.2 99.00 99.00 99.00 999 1022.6  22.7 999.0 999.0 99.0 99.00
2012 01 01 02 00  87  5.7  6.1 99.00 99.00 99.00 999 1022.8  22.8 999.0 999.0 99.0 99.00
2012 01 01 03 00  87  5.2  5.8 99.00 99.00 99.00 999 1023.1  23.1 999.0 999.0 99.0 99.00
2012 01 01 04 00  94  4.9  5.1 99.00 99.00 99.00 999 1023.2  23.2 999.0 999.0 99.0 99.00
2012 01 01 05 00  91  5.6  5.8 99.00 99.00 99.00 999 1022.5  23.2 999.0 999.0 99.0 99.00
2012 01 01 06 00  66  5.4  5.8 99.00 99.00 99.00 999 1022.2  23.2 999.0 999.0 99.0 99.00
2012 01 01 07 00  66  4.9  5.4 99.00 99.00 99.00 999 1021.7  22.4 999.0 999.0 99.0 99.00
2012 01 01 08 00  53  5.2  5.7 99.00 99.00 99.00 999 1021.5  22.4 999.0 999.0 99.0 99.00
2012 01 01 09 00  46  5.3  5.8 99.00 99.00 99.00 999 1021.5  22.2 999.0 999.0 99.0 99.00
2012 01 01 10 00  54  6.4  6.8 99.00 99.00 99.00 999 1021.4  22.1 999.0 999.0 99.0 99.00
2012 01 01 11 00  54  6.1  6.5 99.00 99.00 99.00 999 1022.2  22.4 999.0 999.0 99.0 99.00
2012 01 01 12 00  62  6.5  7.0 99.00 99.00 99.00 999 1022.7  22.2 999.0 999.0 99.0 99.00
2012 01 01 13 00  58  6.4  6.6 99.00 99.00 99.00 999 1023.5  22.0 999.0 999.0 99.0 99.00
2012 01 01 14 00  56  6.6  7.1 99.00 99.00 99.00 999 1024.2  22.0 999.0 999.0 99.0 99.00
2012 01 01 15 00  53  6.4  7.1 99.00 99.00 99.00 999 1024.9  22.5 999.0 999.0 99.0 99.00
2012 01 01 16 00  53  6.2  6.4 99.00 99.00 99.00 999 1024.7  22.6 999.0 999.0 99.0 99.00
2012 01 01 17 00  58  6.6  7.1 99.00 99.00 99.00 999 1024.0  23.0 999.0 999.0 99.0 99.00
2012 01 01 18 00  74  7.3  7.6 99.00 99.00 99.00 999 1023.0  23.4 999.0 999.0 99.0 99.00
2012 01 01 19 00  69  6.0  6.5 99.00 99.00 99.00 999 1022.2  23.4 999.0 999.0 99.0 99.00
2012 01 01 20 00  59  5.6  5.8 99.00 99.00 99.00 999 1022.1  23.2 999.0 999.0 99.0 99.00
2012 01 01 21 00  58  5.3  5.7 99.00 99.00 99.00 999 1022.0  23.3 999.0 999.0 99.0 99.00
2012 01 01 22 00  59  4.1  4.4 99.00 99.00 99.00 999 1022.2  23.4 999.0 999.0 99.0 99.00
2012 01 01 23 00  47  3.9  4.2 99.00 99.00 99.00 999 1022.5  22.9 999.0 999.0 99.0 99.00
2012 01 02 00 00  70  3.3  3.8 99.00 99.00 99.00 999 1022.8  22.9 999.0 999.0 99.0 99.00
2012 01 02 01 00  22  3.9  4.1 99.00 99.00 99.00 999 1023.3  22.3 999.0 999.0 99.0 99.00
2012 01 02 02 00  20  4.1  4.5 99.00 99.00 99.00 999 1023.3  22.2 999.0 999.0 99.0 99.00
2012 01 02 03 00  30  3.6  3.9 99.00 99.00 99.00 999 1023.1  22.1 999.0 999.0 99.0 99.00
2012 01 02 04 00   2  5.7  6.1 99.00 99.00 99.00 999 1023.5  22.1 999.0 999.0 99.0 99.00
2012 01 02 05 00   3  7.2  7.7 99.00 99.00 99.00 999 1023.1  22.2 999.0 999.0 99.0 99.00
2012 01 02 06 00  12  5.2  5.8 99.00 99.00 99.00 999 1022.2  22.0 999.0 999.0 99.0 99.00
2012 01 02 09 00  11  5.0  5.6 99.00 99.00 99.00 999 1020.8  21.5 999.0 999.0 99.0 99.00
2012 01 02 10 00   6  5.5  6.2 99.00 99.00 99.00 999 1020.7  21.4 999.0 999.0 99.0 99.00
2012 01 02 11 00   5  5.9  6.3 99.00 99.00 99.00 999 1020.7  21.3 999.0 999.0 99.0 99.00
2012 01 02 12 00  10  5.5  5.8 99.00 99.00 99.00 999 1021.0  21.4 999.0 999.0 99.0 99.00
2012 01 02 13 00  25  5.8  6.2 99.00 99.00 99.00 999 1021.4  21.3 999.0 999.0 99.0 99.00
2012 01 02 14 00  25  4.9  5.5 99.00 99.00 99.00 999 1022.3  21.4 999.0 999.0 99.0 99.00
2012 01 02 15 00  24  3.2  3.9 99.00 99.00 99.00 999 1022.9  21.5 999.0 999.0 99.0 99.00
2012 01 02 16 00  31  1.1  1.5 99.00 99.00 99.00 999 1022.9  21.9 999.0 999.0 99.0 99.00
2012 01 02 17 00 351  1.7  2.2 99.00 99.00 99.00 999 1022.1  21.8 999.0 999.0 99.0 99.00
2012 01 02 18 00 332  2.6  3.1 99.00 99.00 99.00 999 1020.9  21.6 999.0 999.0 99.0 99.00
2012 01 02 19 00 311  2.5  2.8 99.00 99.00 99.00 999 1020.4  21.8 999.0 999.0 99.0 99.00
2012 01 02 20 00 302  3.0  3.3 99.00 99.00 99.00 999 1020.1  22.1 999.0 999.0 99.0 99.00
2012 01 02 21 00 306  4.7  5.3 99.00 99.00 99.00 999 1020.3  22.0 999.0 999.0 99.0 99.00
2012 01 02 22 00 346 13.1 14.0 99.00 99.00 99.00 999 1020.9  20.7 999.0 999.0 99.0 99.00
2012 01 02 23 00 347 13.3 13.8 99.00 99.00 99.00 999 1021.5  19.9 999.0 999.0 99.0 99.00
2012 01 03 00 00 347 13.3 14.4 99.00 99.00 99.00 999 1022.7  19.7 999.0 999.0 99.0 99.00
2012 01 03 01 00 348 11.8 12.9 99.00 99.00 99.00 999 1023.7  19.1 999.0 999.0 99.0 99.00
2012 01 03 02 00 341 11.8 13.4 99.00 99.00 99.00 999 1024.3  18.5 999.0 999.0 99.0 99.00
2012 01 03 03 00 348 11.4 12.7 99.00 99.00 99.00 999 1024.2  18.4 999.0 999.0 99.0 99.00
2012 01 03 04 00 349 12.7 13.8 99.00 99.00 99.00 999 1023.8  18.4 999.0 999.0 99.0 99.00
2012 01 03 05 00 352 13.1 13.8 99.00 99.00 99.00 999 1023.0  18.5 999.0 999.0 99.0 99.00
2012 01 03 06 00 352 12.4 13.3 99.00 99.00 99.00 999 1023.0  18.4 999.0 999.0 99.0 99.00
2012 01 03 07 00 352 13.2 14.5 99.00 99.00 99.00 999 1023.4  18.1 999.0 999.0 99.0 99.00
2012 01 03 08 00 353 14.1 15.8 99.00 99.00 99.00 999 1023.3  17.9 999.0 999.0 99.0 99.00
2012 01 03 09 00 355 14.2 15.8 99.00 99.00 99.00 999 1023.4  17.6 999.0 999.0 99.0 99.00
2012 01 03 10 00 350 13.3 15.1 99.00 99.00 99.00 999 1023.9  17.7 999.0 999.0 99.0 99.00
2012 01 03 11 00 347 14.0 15.3 99.00 99.00 99.00 999 1024.6  17.8 999.0 999.0 99.0 99.00
2012 01 03 12 00 346 11.9 14.8 99.00 99.00 99.00 999 1025.1  18.3 999.0 999.0 99.0 99.00
2012 01 03 13 00 344 13.2 14.5 99.00 99.00 99.00 999 1025.8  18.1 999.0 999.0 99.0 99.00
2012 01 03 14 00 336 15.2 16.8 99.00 99.00 99.00 999 1026.3  18.2 999.0 999.0 99.0 99.00
2012 01 03 15 00 330 13.8 15.3 99.00 99.00 99.00 999 1027.0  17.7 999.0 999.0 99.0 99.00
2012 01 03 16 00 346 13.2 14.0 99.00 99.00 99.00 999 1026.6  17.2 999.0 999.0 99.0 99.00
2012 01 03 17 00 345 14.3 15.4 99.00 99.00 99.00 999 1026.1  16.1 999.0 999.0 99.0 99.00
