#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 12 31 23 50 134  9.9 11.3 99.00 99.00 99.00 999 1019.8  24.0 999.0  16.8 99.0 99.00
2017 01 01 00 50 134 10.2 11.6 99.00 99.00 99.00 999 1020.0  24.2 999.0  17.4 99.0 99.00
2017 01 01 01 50 135 10.5 11.9 99.00 99.00 99.00 999 1020.2  24.5 999.0  17.8 99.0 99.00
2017 01 01 02 50 135 10.6 11.8 99.00 99.00 99.00 999 1020.5  24.6 999.0  18.0 99.0 99.00
2017 01 01 03 50 138  9.9 11.6 99.00 99.00 99.00 999 1020.6  24.8 999.0  18.7 99.0 99.00
2017 01 01 04 50 136 10.1 11.1 99.00 99.00 99.00 999 1020.3  24.8 999.0  18.8 99.0 99.00
2017 01 01 05 50 135 10.0 11.3 99.00 99.00 99.00 999 1020.0  24.7 999.0  18.7 99.0 99.00
2017 01 01 06 50 135  9.6 10.7 99.00 99.00 99.00 999 1019.5  24.7 999.0  18.8 99.0 99.00
2017 01 01 07 50 126  8.3  9.1 99.00 99.00 99.00 999 1019.3  24.8 999.0  19.2 99.0 99.00
2017 01 01 08 50 134  8.4  9.9 99.00 99.00 99.00 999 1019.5  24.9 999.0  19.5 99.0 99.00
2017 01 01 09 50 125  8.6 10.1 99.00 99.00 99.00 999 1019.2  24.8 999.0  19.4 99.0 99.00
2017 01 01 10 50 128  8.7 10.0 99.00 99.00 99.00 999 1019.5  24.8 999.0  19.7 99.0 99.00
2017 01 01 11 50 164  6.7  7.9 99.00 99.00 99.00 999 1019.9  24.2 999.0  20.4 99.0 99.00
2017 01 01 12 50 175  5.8  7.3 99.00 99.00 99.00 999 1020.7  23.0 999.0  20.5 99.0 99.00
2017 01 01 13 50 140  5.5  8.1 99.00 99.00 99.00 999 1021.1  24.1 999.0  20.6 99.0 99.00
