YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 340  3.3  4.0 99.00 99.00 99.00 999 1026.9  19.6  22.8 999.0 99.0
98 01 01 01 354  4.7  5.3 99.00 99.00 99.00 999 1027.5  19.7  22.8 999.0 99.0
98 01 01 02 359  4.5  5.4 99.00 99.00 99.00 999 1028.1  19.5  22.8 999.0 99.0
98 01 01 03 356  8.1  8.7 99.00 99.00 99.00 999 1028.5  19.5  22.7 999.0 99.0
98 01 01 04 345 10.5 11.4 99.00 99.00 99.00 999 1028.8  19.2  22.6 999.0 99.0
98 01 01 05   3 11.2 11.7 99.00 99.00 99.00 999 1028.9  17.9  22.6 999.0 99.0
98 01 01 06   7 10.8 11.5 99.00 99.00 99.00 999 1029.1  16.8  22.5 999.0 99.0
98 01 01 07  11 13.8 15.1 99.00 99.00 99.00 999 1028.9  16.8  22.5 999.0 99.0
98 01 01 08  14 13.5 14.6 99.00 99.00 99.00 999 1029.0  15.1  22.3 999.0 99.0
98 01 01 09  14 12.2 13.4 99.00 99.00 99.00 999 1029.0  14.3  22.2 999.0 99.0
98 01 01 10  17 13.9 15.2 99.00 99.00 99.00 999 1029.3  14.2  22.1 999.0 99.0
98 01 01 11  12 11.8 13.5 99.00 99.00 99.00 999 1029.5  14.3  21.6 999.0 99.0
98 01 01 12  17 12.5 13.4 99.00 99.00 99.00 999 1029.7  13.7  21.5 999.0 99.0
98 01 01 13  14 12.6 13.3 99.00 99.00 99.00 999 1030.0  13.9  21.3 999.0 99.0
98 01 01 14  15 12.4 13.5 99.00 99.00 99.00 999 1030.6  14.1  21.8 999.0 99.0
98 01 01 15  24 11.1 11.9 99.00 99.00 99.00 999 1031.0  14.7  22.1 999.0 99.0
98 01 01 16  29 11.4 12.1 99.00 99.00 99.00 999 1030.7  15.7  22.2 999.0 99.0
98 01 01 17  35 10.2 11.1 99.00 99.00 99.00 999 1030.0  16.4  22.3 999.0 99.0
98 01 01 18  39  9.6 10.9 99.00 99.00 99.00 999 1028.8  17.4  22.3 999.0 99.0
98 01 01 19  31 10.1 11.2 99.00 99.00 99.00 999 1028.1  18.2  22.3 999.0 99.0
98 01 01 20  49 11.7 12.5 99.00 99.00 99.00 999 1027.9  19.5  22.1 999.0 99.0
98 01 01 21  36 12.7 13.5 99.00 99.00 99.00 999 1028.0  19.0  21.2 999.0 99.0
98 01 01 22  39 13.5 14.5 99.00 99.00 99.00 999 1028.4  18.9  21.4 999.0 99.0
98 01 01 23  42 13.4 14.5 99.00 99.00 99.00 999 1028.5  18.6  21.1 999.0 99.0
98 01 02 00  34 12.5 13.5 99.00 99.00 99.00 999 1028.6  18.6  20.9 999.0 99.0
98 01 02 01  43 11.4 12.6 99.00 99.00 99.00 999 1028.6  19.1  21.4 999.0 99.0
