YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00  72  8.9  9.6 99.00 99.00 99.00 999 1018.2  23.5  24.9  18.0 99.0
1999 01 01 01  72  8.6  9.2 99.00 99.00 99.00 999 1018.5  23.6  24.9  18.3 99.0
1999 01 01 02  76  9.1  9.8 99.00 99.00 99.00 999 1019.0  23.7  24.9  17.9 99.0
1999 01 01 03  67  8.6  9.3 99.00 99.00 99.00 999 1019.3  23.7  24.8  18.3 99.0
1999 01 01 04  63  9.0  9.6 99.00 99.00 99.00 999 1019.1  23.6  24.8  18.4 99.0
1999 01 01 05  36  7.3  8.0 99.00 99.00 99.00 999 1019.2  22.8  24.7  19.1 99.0
1999 01 01 06  53  9.4 10.0 99.00 99.00 99.00 999 1018.5  22.8  24.3  18.7 99.0
1999 01 01 07  55  9.0  9.8 99.00 99.00 99.00 999 1018.0  22.7  24.1  19.1 99.0
1999 01 01 08  63  7.3  8.1 99.00 99.00 99.00 999 1018.1  23.3  24.0  19.1 99.0
1999 01 01 09  79  9.9 10.4 99.00 99.00 99.00 999 1017.7  23.8  24.0  18.1 99.0
1999 01 01 10  80  9.9 10.6 99.00 99.00 99.00 999 1017.7  23.8  24.5  18.4 99.0
1999 01 01 11  75 10.7 11.0 99.00 99.00 99.00 999 1017.9  23.9  24.8  18.5 99.0
1999 01 01 12  78 10.8 11.4 99.00 99.00 99.00 999 1018.1  23.9  24.9  18.3 99.0
1999 01 01 13  76 10.7 11.5 99.00 99.00 99.00 999 1018.8  24.0  24.9  18.4 99.0
1999 01 01 14  78 10.9 11.7 99.00 99.00 99.00 999 1019.5  24.1  24.9  18.7 99.0
1999 01 01 15  81 11.4 12.7 99.00 99.00 99.00 999 1019.6  24.3  24.9  18.7 99.0
1999 01 01 16  78 11.2 12.5 99.00 99.00 99.00 999 1019.3  24.4  24.9  19.2 99.0
1999 01 01 17  75 10.5 11.5 99.00 99.00 99.00 999 1019.1  24.4  24.9  19.1 99.0
1999 01 01 18  82 11.7 12.5 99.00 99.00 99.00 999 1017.8  24.5  24.9  19.5 99.0
1999 01 01 19  84 11.4 11.8 99.00 99.00 99.00 999 1017.3  24.4  24.8  19.5 99.0
1999 01 01 20  86 12.1 12.6 99.00 99.00 99.00 999 1016.1  24.5  24.7  19.8 99.0
1999 01 01 21  91 10.6 11.3 99.00 99.00 99.00 999 1016.6  24.8  24.3  19.9 99.0
1999 01 01 22  90  9.0  9.8 99.00 99.00 99.00 999 1017.0  24.7  24.3  20.2 99.0
1999 01 01 23  86  9.7 10.3 99.00 99.00 99.00 999 1017.1  24.6  24.7  20.0 99.0
1999 01 02 00  79 10.6 11.3 99.00 99.00 99.00 999 1017.1  24.6  24.8  20.1 99.0
1999 01 02 01  79  9.5 10.0 99.00 99.00 99.00 999 1017.5  24.7  24.9  20.4 99.0
1999 01 02 02  86 10.0 10.5 99.00 99.00 99.00 999 1017.6  24.6  24.9  20.5 99.0
1999 01 02 03  99  9.3 10.1 99.00 99.00 99.00 999 1017.5  24.7  24.9  20.7 99.0
1999 01 02 04 106 11.3 11.9 99.00 99.00 99.00 999 1017.0  24.8  24.8  20.3 99.0
1999 01 02 05 119 10.0 10.8 99.00 99.00 99.00 999 1017.1  24.8  24.8  20.9 99.0
1999 01 02 06 105  7.1  7.9 99.00 99.00 99.00 999 1016.6  23.1  24.7  18.4 99.0
1999 01 02 07 140  7.8  9.0 99.00 99.00 99.00 999 1016.2  24.8  24.7  21.2 99.0
1999 01 02 08 131  7.3  8.5 99.00 99.00 99.00 999 1015.8  24.8  24.7  20.9 99.0
1999 01 02 09 127 10.2 11.0 99.00 99.00 99.00 999 1015.5  24.9  24.8  20.1 99.0
1999 01 02 10 126  8.9  9.4 99.00 99.00 99.00 999 1015.3  24.9  24.8  20.2 99.0
1999 01 02 11 125  9.5 10.0 99.00 99.00 99.00 999 1015.3  24.9  24.7  20.4 99.0
1999 01 02 12 124  9.8 10.6 99.00 99.00 99.00 999 1015.4  24.9  24.8  20.9 99.0
1999 01 02 13 128  7.9  8.7 99.00 99.00 99.00 999 1015.9  25.0  24.9  21.3 99.0
1999 01 02 14 125  8.6  9.6 99.00 99.00 99.00 999 1016.5  25.2  24.9  21.4 99.0
1999 01 02 15 123  8.7  9.9 99.00 99.00 99.00 999 1016.8  25.5  25.0  21.6 99.0
1999 01 02 16 123  8.0  8.8 99.00 99.00 99.00 999 1016.7  25.7  25.0  22.1 99.0
