YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 335  7.8  8.4 99.00 99.00 99.00 999 1025.5  12.6  23.4   6.6 99.0  0.12
2001 01 01 01 353  6.5  7.5 99.00 99.00 99.00 999 1026.0  12.5  23.2   6.6 99.0  0.26
2001 01 01 02   7  6.8  8.0 99.00 99.00 99.00 999 1026.3  12.6  23.0   6.4 99.0  0.44
2001 01 01 03  16  6.0  7.2 99.00 99.00 99.00 999 1026.6  12.6  22.9   6.2 99.0  0.70
2001 01 01 04  28  5.5  6.2 99.00 99.00 99.00 999 1026.6  12.1  23.1   5.7 99.0  0.91
2001 01 01 05  20  5.7  6.4 99.00 99.00 99.00 999 1026.3  12.0  23.1   5.3 99.0  1.10
2001 01 01 06  37  4.8  5.9 99.00 99.00 99.00 999 1026.8  11.6  23.3   4.8 99.0  1.12
2001 01 01 07  17  6.0  7.1 99.00 99.00 99.00 999 1026.6  11.4  23.3   4.3 99.0  1.01
2001 01 01 08  22  5.2  5.8 99.00 99.00 99.00 999 1026.6  11.2  23.4   3.3 99.0  0.71
2001 01 01 09  13  5.6  6.1 99.00 99.00 99.00 999 1026.6  11.2  23.4   2.2 99.0 -0.27
2001 01 01 10 356  6.1  6.8 99.00 99.00 99.00 999 1026.9  10.8  23.3   1.5 99.0 99.00
2001 01 01 11 358  7.3  8.2 99.00 99.00 99.00 999 1026.6  10.9  23.3   2.0 99.0 99.00
2001 01 01 12   3  7.6  8.4 99.00 99.00 99.00 999 1027.0  10.7  23.0   1.9 99.0 99.00
2001 01 01 13  13  8.2  8.8 99.00 99.00 99.00 999 1027.2  10.8  22.8   2.9 99.0 99.00
2001 01 01 14  26  7.4  8.0 99.00 99.00 99.00 999 1027.6  11.0  22.5   2.5 99.0 -0.47
2001 01 01 15  34  5.6  6.2 99.00 99.00 99.00 999 1027.8  11.6  22.5   3.0 99.0  0.35
2001 01 01 16  21  3.8  4.4 99.00 99.00 99.00 999 1027.8  12.6  23.2   3.4 99.0  0.62
2001 01 01 17  21  4.1  4.7 99.00 99.00 99.00 999 1027.7  13.5  23.6   4.9 99.0  0.84
2001 01 01 18  29  3.3  3.9 99.00 99.00 99.00 999 1026.5  14.0  23.6   6.9 99.0  0.94
2001 01 01 19 357  5.5  6.2 99.00 99.00 99.00 999 1025.8  14.3  23.7   7.3 99.0  0.95
2001 01 01 20  25  4.9  5.7 99.00 99.00 99.00 999 1025.3  15.5  23.7   7.6 99.0  0.82
2001 01 01 21  35  5.7  6.5 99.00 99.00 99.00 999 1024.7  16.2  23.7   8.8 99.0  0.62
2001 01 01 22  27  6.7  7.2 99.00 99.00 99.00 999 1025.3  16.7  23.6   9.5 99.0  0.40
2001 01 01 23  44  7.5  8.7 99.00 99.00 99.00 999 1025.4  17.0  23.5  11.2 99.0  0.16
2001 01 02 00  42 10.2 11.2 99.00 99.00 99.00 999 1025.8  17.1  23.4  11.0 99.0  0.01
2001 01 02 01  40  8.6  9.6 99.00 99.00 99.00 999 1026.1  17.2  23.1  11.5 99.0  0.03
2001 01 02 02  47  8.6 10.0 99.00 99.00 99.00 999 1026.2  17.2  22.6  11.0 99.0  0.14
2001 01 02 03  31  8.3  9.0 99.00 99.00 99.00 999 1026.2  16.3  22.0   9.4 99.0  0.38
2001 01 02 04  29  8.2  8.9 99.00 99.00 99.00 999 1026.3  16.3  22.4   8.7 99.0  0.60
2001 01 02 05  31  8.2  9.2 99.00 99.00 99.00 999 1025.8  16.5  23.1   9.3 99.0  0.84
2001 01 02 06  25  7.7  8.8 99.00 99.00 99.00 999 1025.6  15.8  23.3   8.4 99.0  0.96
2001 01 02 07  26  8.9  9.8 99.00 99.00 99.00 999 1025.5  15.6  23.4   8.9 99.0  0.98
2001 01 02 08  34  9.2 10.6 99.00 99.00 99.00 999 1024.9  14.9  23.5   8.2 99.0  0.84
2001 01 02 09  28 10.2 11.1 99.00 99.00 99.00 999 1025.0  15.0  23.5   9.0 99.0  0.63
2001 01 02 10  28 10.1 11.4 99.00 99.00 99.00 999 1025.0  14.8  23.3   9.3 99.0  0.37
2001 01 02 11  29  9.6 10.5 99.00 99.00 99.00 999 1025.5  14.9  23.1   9.0 99.0  0.09
2001 01 02 12  33 10.1 10.7 99.00 99.00 99.00 999 1026.1  15.0  22.3   9.6 99.0 -0.04
2001 01 02 13  32  9.5 10.3 99.00 99.00 99.00 999 1026.9  14.7  22.3   9.5 99.0 -0.10
2001 01 02 14  26  9.6 10.8 99.00 99.00 99.00 999 1027.7  14.8  21.0   8.6 99.0  0.02
2001 01 02 15  31  9.3 10.1 99.00 99.00 99.00 999 1028.3  15.1  22.6   7.5 99.0  0.18
2001 01 02 16  37 10.1 11.2 99.00 99.00 99.00 999 1027.9  15.1  23.4   7.4 99.0  0.48
2001 01 02 17  32  9.0  9.7 99.00 99.00 99.00 999 1027.8  15.8  23.7   8.3 99.0  0.74
2001 01 02 18  30  9.0  9.8 99.00 99.00 99.00 999 1026.8  16.8  23.8   9.3 99.0  0.93
2001 01 02 19  33  8.6  9.7 99.00 99.00 99.00 999 1026.1  17.8  23.9  10.7 99.0  1.06
2001 01 02 20  46  9.3 10.2 99.00 99.00 99.00 999 1025.5  18.5  23.9  12.1 99.0  1.04
2001 01 02 21  50  9.0 10.1 99.00 99.00 99.00 999 1025.4  18.9  23.9  12.3 99.0  0.88
2001 01 02 22  52  9.4 10.1 99.00 99.00 99.00 999 1025.8  19.3  23.8  13.4 99.0  0.65
2001 01 02 23  49  9.6 10.6 99.00 99.00 99.00 999 1025.7  19.0  23.5  13.1 99.0  0.44
2001 01 03 00  44  9.2 10.3 99.00 99.00 99.00 999 1025.7  18.7  23.5  12.9 99.0  0.22
2001 01 03 01  36  8.9  9.9 99.00 99.00 99.00 999 1026.4  18.2  23.3  13.3 99.0  0.07
2001 01 03 02  37  9.7 10.6 99.00 99.00 99.00 999 1026.9  18.1  23.0  12.6 99.0  0.05
2001 01 03 03  23  8.6  9.8 99.00 99.00 99.00 999 1027.2  16.8  22.6  12.2 99.0  0.18
2001 01 03 04  25 10.6 11.0 99.00 99.00 99.00 999 1027.0  15.9  22.3  11.7 99.0  0.40
2001 01 03 05  24 10.3 11.1 99.00 99.00 99.00 999 1026.8  15.4  22.9  11.7 99.0  0.63
2001 01 03 06  29  9.7 10.3 99.00 99.00 99.00 999 1026.4  14.5  23.2  11.5 99.0  0.80
2001 01 03 07  33  9.3 10.0 99.00 99.00 99.00 999 1025.5  14.6  23.2  11.6 99.0  0.94
2001 01 03 08  33  9.8 10.2 99.00 99.00 99.00 999 1025.3  14.3  23.3  11.6 99.0  0.96
2001 01 03 09  29 11.3 12.0 99.00 99.00 99.00 999 1025.2  14.1  23.2  11.2 99.0  0.84
2001 01 03 10  23  9.9 10.9 99.00 99.00 99.00 999 1025.4  14.0  23.2  11.2 99.0  0.65
2001 01 03 11  32 10.3 11.3 99.00 99.00 99.00 999 1025.3  14.0  23.0  10.3 99.0  0.42
2001 01 03 12  27  9.0  9.8 99.00 99.00 99.00 999 1026.1  13.7  22.8  10.1 99.0  0.22
2001 01 03 13  26  9.3 10.6 99.00 99.00 99.00 999 1026.7  13.1  23.1   9.1 99.0  0.06
2001 01 03 14  28 10.1 10.6 99.00 99.00 99.00 999 1026.8  13.0  23.0   8.6 99.0  0.04
2001 01 03 15  28  7.5  8.2 99.00 99.00 99.00 999 1026.8  13.2  23.0   9.0 99.0  0.17
2001 01 03 16  26  8.8  9.4 99.00 99.00 99.00 999 1026.6  14.3  23.0   8.4 99.0  0.42
2001 01 03 17  26  7.6  8.1 99.00 99.00 99.00 999 1025.9  15.1  23.6   8.9 99.0  0.70
2001 01 03 18  31  6.5  7.2 99.00 99.00 99.00 999 1024.5  16.0  23.7   9.0 99.0  0.93
2001 01 03 19  24  6.5  7.2 99.00 99.00 99.00 999 1023.7  16.9  23.6   7.5 99.0  1.14
2001 01 03 20  16  6.0  6.3 99.00 99.00 99.00 999 1023.6  17.6  23.4   7.7 99.0  1.23
2001 01 03 21  19  4.7  5.1 99.00 99.00 99.00 999 1023.3  18.0  23.4   9.0 99.0  1.21
2001 01 03 22  36  3.6  4.3 99.00 99.00 99.00 999 1022.3  17.5  23.6  10.3 99.0  1.11
2001 01 03 23 355  6.0  6.2 99.00 99.00 99.00 999 1023.0  16.6  23.3  11.0 99.0  0.87
2001 01 04 00   3  6.2  6.7 99.00 99.00 99.00 999 1023.1  16.6  23.2  11.1 99.0  0.58
2001 01 04 01  16  4.5  5.3 99.00 99.00 99.00 999 1023.2  17.2  23.2  10.5 99.0  0.33
2001 01 04 02   6  5.0  5.7 99.00 99.00 99.00 999 1023.2  17.1  23.0  10.8 99.0  0.14
2001 01 04 03   1  5.5  5.9 99.00 99.00 99.00 999 1023.4  16.8  22.7  10.9 99.0  0.13
2001 01 04 04 346  7.4  7.8 99.00 99.00 99.00 999 1023.4  16.5  22.2  11.2 99.0  0.32
2001 01 04 05 348  8.0  8.8 99.00 99.00 99.00 999 1023.3  16.0  21.4   9.1 99.0  0.53
2001 01 04 06 344 12.7 13.6 99.00 99.00 99.00 999 1023.5  15.4  23.1  11.1 99.0  0.77
2001 01 04 07 331 10.1 11.3 99.00 99.00 99.00 999 1023.3  14.5  23.2  11.8 99.0  0.95
2001 01 04 08 342 10.2 10.9 99.00 99.00 99.00 999 1022.8  14.0  23.3  12.2 99.0  1.09
2001 01 04 09 324  5.4  5.9 99.00 99.00 99.00 999 1022.2  14.2  23.4  11.9 99.0  1.11
2001 01 04 10 334  7.9  8.8 99.00 99.00 99.00 999 1021.7  15.1  23.4   9.9 99.0  1.06
