YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00  81  8.2  8.6 99.00 99.00 99.00 999 1025.6  24.2 999.0  15.4 99.0  0.70
2004 01 01 01  72  7.9  8.3 99.00 99.00 99.00 999 1026.4  24.0 999.0  15.7 99.0  0.34
2004 01 01 02  44  7.4  7.7 99.00 99.00 99.00 999 1026.5  22.6 999.0  17.1 99.0  0.10
2004 01 01 03  44  7.4  7.6 99.00 99.00 99.00 999 1026.7  22.3 999.0  16.6 99.0 -0.03
2004 01 01 04  49  7.6  7.9 99.00 99.00 99.00 999 1026.3  22.6 999.0  16.1 99.0  0.02
2004 01 01 05  43  6.8  7.4 99.00 99.00 99.00 999 1025.9  22.4 999.0  17.0 99.0  0.18
2004 01 01 06  48  5.8  6.5 99.00 99.00 99.00 999 1025.6  22.2 999.0  17.9 99.0  0.40
2004 01 01 07  45  6.4  6.9 99.00 99.00 99.00 999 1025.4  22.2 999.0  18.1 99.0  0.62
2004 01 01 08  58  7.4  8.7 99.00 99.00 99.00 999 1025.2  22.6 999.0  18.8 99.0  0.79
2004 01 01 09  93  5.7  6.9 99.00 99.00 99.00 999 1025.1  22.8 999.0  19.4 99.0  0.91
2004 01 01 10  94  9.1  9.8 99.00 99.00 99.00 999 1025.1  24.1 999.0  16.4 99.0  0.94
2004 01 01 11  47  6.2  6.8 99.00 99.00 99.00 999 1025.6  22.3 999.0  18.3 99.0  0.81
2004 01 01 12  49  6.5  7.0 99.00 99.00 99.00 999 1026.4  22.0 999.0  18.0 99.0  0.67
2004 01 01 13  47  6.5  7.1 99.00 99.00 99.00 999 1027.0  22.0 999.0  18.9 99.0  0.48
2004 01 01 14  89  9.1  9.7 99.00 99.00 99.00 999 1027.6  23.8 999.0  15.8 99.0  0.34
2004 01 01 15  93  9.8 10.3 99.00 99.00 99.00 999 1028.2  24.3 999.0  14.8 99.0  0.22
2004 01 01 16  91  7.0  7.6 99.00 99.00 99.00 999 1028.1  24.2 999.0  16.2 99.0  0.29
2004 01 01 17 100  8.3  8.8 99.00 99.00 99.00 999 1027.7  24.4 999.0  16.5 99.0  0.48
2004 01 01 18  83  9.0  9.6 99.00 99.00 99.00 999 1026.6  24.1 999.0  15.7 99.0  0.70
2004 01 01 19  74  7.8  8.8 99.00 99.00 99.00 999 1025.8  24.3 999.0  14.9 99.0  0.94
2004 01 01 20  81  7.6  8.5 99.00 99.00 99.00 999 1025.5  24.4 999.0  14.8 99.0  1.17
2004 01 01 21  77  7.8  8.4 99.00 99.00 99.00 999 1025.6  24.3 999.0  16.2 99.0  1.32
2004 01 01 22  76  8.8  9.2 99.00 99.00 99.00 999 1025.4  24.0 999.0  15.9 99.0  1.37
2004 01 01 23  75  9.2 10.0 99.00 99.00 99.00 999 1025.7  23.8 999.0  16.9 99.0  1.29
2004 01 02 00  94  9.3 10.0 99.00 99.00 99.00 999 1025.9  23.9 999.0  15.8 99.0  1.03
2004 01 02 01  80  7.5  7.9 99.00 99.00 99.00 999 1026.3  24.0 999.0  16.2 99.0  0.69
2004 01 02 02  76  7.8  8.3 99.00 99.00 99.00 999 1026.3  24.0 999.0  17.0 99.0  0.33
2004 01 02 03  78  8.7  9.4 99.00 99.00 99.00 999 1026.5  23.3 999.0  17.9 99.0  0.08
2004 01 02 04  77 12.1 13.2 99.00 99.00 99.00 999 1026.0  23.1 999.0  18.3 99.0 -0.03
2004 01 02 05  94 12.0 13.2 99.00 99.00 99.00 999 1025.2  23.8 999.0  18.5 99.0  0.02
2004 01 02 06 100 11.8 12.4 99.00 99.00 99.00 999 1024.5  23.8 999.0  16.8 99.0  0.21
2004 01 02 07 104  9.9 10.7 99.00 99.00 99.00 999 1024.1  23.8 999.0  17.2 99.0  0.42
2004 01 02 08 100 10.3 11.3 99.00 99.00 99.00 999 1023.4  23.7 999.0  17.1 99.0  0.61
2004 01 02 09  89  8.0  8.6 99.00 99.00 99.00 999 1023.3  23.7 999.0  17.1 99.0  0.81
2004 01 02 10  91  8.8  9.6 99.00 99.00 99.00 999 1023.4  23.9 999.0  17.0 99.0  0.97
2004 01 02 11  85  9.5 10.5 99.00 99.00 99.00 999 1023.6  23.8 999.0  17.3 99.0  1.01
2004 01 02 12  91  9.8 10.9 99.00 99.00 99.00 999 1024.0  23.9 999.0  17.2 99.0  0.88
2004 01 02 13 103 10.0 10.5 99.00 99.00 99.00 999 1024.4  23.9 999.0  17.6 99.0  0.74
2004 01 02 14 104  8.4  9.4 99.00 99.00 99.00 999 1025.5  24.2 999.0  17.9 99.0  0.59
2004 01 02 15  92  7.6  8.1 99.00 99.00 99.00 999 1026.1  24.3 999.0  17.8 99.0  0.42
2004 01 02 16 102  7.2  7.8 99.00 99.00 99.00 999 1025.8  24.4 999.0  18.1 99.0  0.38
2004 01 02 17  98  7.3  8.3 99.00 99.00 99.00 999 1024.8  24.5 999.0  18.4 99.0  0.50
