YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 102  3.5  3.7 99.00 99.00 99.00 999 1017.9  23.5  23.7 999.0 99.0  1.53
2006 01 01 01 00  85  3.8  4.1 99.00 99.00 99.00 999 1018.2  23.0  23.5 999.0 99.0  1.84
2006 01 01 02 00 104  5.3  5.4 99.00 99.00 99.00 999 1018.5  23.1  23.4 999.0 99.0  1.98
2006 01 01 03 00 108  4.8  5.0 99.00 99.00 99.00 999 1018.7  23.3  23.3 999.0 99.0  1.85
2006 01 01 04 00 119  4.9  5.1 99.00 99.00 99.00 999 1018.6  23.3  23.1 999.0 99.0  1.47
2006 01 01 05 00 129  5.3  5.9 99.00 99.00 99.00 999 1018.2  23.3  23.0 999.0 99.0  0.90
2006 01 01 06 00 136  6.9  7.3 99.00 99.00 99.00 999 1017.5  23.5  23.0 999.0 99.0  0.22
2006 01 01 07 00 150  7.8  8.3 99.00 99.00 99.00 999 1017.2  23.6  22.8 999.0 99.0 -0.40
2006 01 01 08 00 144  6.0  6.5 99.00 99.00 99.00 999 1017.0  23.7  22.7 999.0 99.0 -0.78
2006 01 01 09 00 137  4.5  4.8 99.00 99.00 99.00 999 1017.5  23.7  22.7 999.0 99.0 -0.89
2006 01 01 10 00 132  5.4  5.9 99.00 99.00 99.00 999 1017.4  23.6  22.8 999.0 99.0 -0.70
2006 01 01 11 00 137  5.1  5.5 99.00 99.00 99.00 999 1017.9  23.7  22.9 999.0 99.0 -0.37
2006 01 01 12 00 135  5.0  5.2 99.00 99.00 99.00 999 1018.3  23.8  22.7 999.0 99.0  0.06
2006 01 01 13 00 134  5.7  6.1 99.00 99.00 99.00 999 1019.0  24.1  22.7 999.0 99.0  0.48
2006 01 01 14 00 111  5.2  5.5 99.00 99.00 99.00 999 1019.8  23.8  22.9 999.0 99.0  0.82
2006 01 01 15 00 113  5.6  6.0 99.00 99.00 99.00 999 1020.5  24.1  23.1 999.0 99.0  1.01
2006 01 01 16 00 122  5.7  6.0 99.00 99.00 99.00 999 1020.2  24.5  23.2 999.0 99.0  0.97
2006 01 01 17 00 134  5.6  6.1 99.00 99.00 99.00 999 1019.4  24.7  23.2 999.0 99.0  0.76
2006 01 01 18 00 132  6.5  7.0 99.00 99.00 99.00 999 1018.5  24.8  23.1 999.0 99.0  0.43
2006 01 01 19 00 134  5.4  5.8 99.00 99.00 99.00 999 1018.2  24.9  23.3 999.0 99.0  0.09
2006 01 01 20 00 133  5.0  5.6 99.00 99.00 99.00 999 1018.0  24.9  23.4 999.0 99.0 -0.13
2006 01 01 21 00 124  5.5  6.0 99.00 99.00 99.00 999 1018.3  25.4  23.6 999.0 99.0 -0.09
2006 01 01 22 00 115  4.3  4.9 99.00 99.00 99.00 999 1018.6  25.1  23.5 999.0 99.0  0.25
2006 01 01 23 00 112  5.0  5.5 99.00 99.00 99.00 999 1019.1  24.1  23.5 999.0 99.0  0.69
2006 01 02 00 00 106  5.8  6.2 99.00 99.00 99.00 999 1019.4  24.0  23.4 999.0 99.0  1.20
2006 01 02 01 00 104  6.0  6.5 99.00 99.00 99.00 999 1019.8  23.8  23.5 999.0 99.0  1.61
2006 01 02 02 00 106  5.6  6.1 99.00 99.00 99.00 999 1019.8  23.7  23.6 999.0 99.0  1.90
2006 01 02 03 00 112  6.3  6.7 99.00 99.00 99.00 999 1019.9  23.7  23.6 999.0 99.0  2.01
2006 01 02 04 00 117  6.7  7.6 99.00 99.00 99.00 999 1019.6  23.6  23.5 999.0 99.0  1.89
2006 01 02 05 00 115  7.4  8.1 99.00 99.00 99.00 999 1019.3  23.6  23.5 999.0 99.0  1.49
2006 01 02 06 00 120  7.9  8.6 99.00 99.00 99.00 999 1019.1  23.7  23.4 999.0 99.0  0.92
2006 01 02 07 00 122 11.0 11.6 99.00 99.00 99.00 999 1019.0  23.8  23.5 999.0 99.0  0.23
2006 01 02 08 00 129  9.2 10.1 99.00 99.00 99.00 999 1018.9  23.7  23.4 999.0 99.0 -0.40
2006 01 02 09 00 125  8.7  9.1 99.00 99.00 99.00 999 1019.0  23.7  23.4 999.0 99.0 -0.80
2006 01 02 10 00 134  7.1  8.8 99.00 99.00 99.00 999 1019.3  23.7  23.5 999.0 99.0 -0.84
2006 01 02 11 00 134  8.5  8.8 99.00 99.00 99.00 999 1019.5  23.6  23.5 999.0 99.0 -0.57
2006 01 02 12 00 122  8.9  9.2 99.00 99.00 99.00 999 1019.8  23.6  23.4 999.0 99.0 -0.16
2006 01 02 13 00 131  8.4  8.6 99.00 99.00 99.00 999 1020.6  23.8  23.3 999.0 99.0  0.27
2006 01 02 14 00 130  9.2  9.7 99.00 99.00 99.00 999 1021.4  24.0  23.1 999.0 99.0  0.70
2006 01 02 15 00 130  6.0  6.2 99.00 99.00 99.00 999 1021.9  24.2  23.2 999.0 99.0  0.96
2006 01 02 16 00 131  6.1  6.4 99.00 99.00 99.00 999 1021.6  24.5  23.4 999.0 99.0  1.02
2006 01 02 17 00 129  6.3  6.6 99.00 99.00 99.00 999 1020.7  24.6  23.5 999.0 99.0  0.90
2006 01 02 18 00 129  6.1  6.5 99.00 99.00 99.00 999 1019.5  24.8  23.6 999.0 99.0  0.61
2006 01 02 19 00 131  6.3  6.4 99.00 99.00 99.00 999 1018.4  24.8  23.8 999.0 99.0  0.22
2006 01 02 20 00 131  6.4  6.9 99.00 99.00 99.00 999 1018.0  25.2  24.0 999.0 99.0 -0.12
2006 01 02 21 00 142  8.2  8.5 99.00 99.00 99.00 999 1017.6  25.2  23.9 999.0 99.0 -0.36
2006 01 02 22 00 144  8.8  9.1 99.00 99.00 99.00 999 1017.3  24.9  23.7 999.0 99.0 -0.26
2006 01 02 23 00 148  6.6  7.8 99.00 99.00 99.00 999 1017.6  24.3  23.5 999.0 99.0  0.08
2006 01 03 00 00 145  6.4  6.9 99.00 99.00 99.00 999 1018.0  24.2  23.5 999.0 99.0  0.50
2006 01 03 01 00 140  4.1  4.2 99.00 99.00 99.00 999 1018.5  24.0  23.3 999.0 99.0  0.93
2006 01 03 02 00 146  2.1  2.4 99.00 99.00 99.00 999 1019.0  23.7  23.2 999.0 99.0  1.31
2006 01 03 03 00 144  1.2  1.3 99.00 99.00 99.00 999 1019.3  23.5  23.2 999.0 99.0  1.55
2006 01 03 04 00 143  1.4  1.5 99.00 99.00 99.00 999 1019.6  23.3  23.3 999.0 99.0  1.67
2006 01 03 05 00 145  2.4  2.5 99.00 99.00 99.00 999 1019.1  23.0  23.2 999.0 99.0  1.60
2006 01 03 06 00 161  2.4  2.5 99.00 99.00 99.00 999 1018.8  23.2  23.1 999.0 99.0  1.18
2006 01 03 07 00 179  1.4  1.6 99.00 99.00 99.00 999 1018.7  23.2  23.1 999.0 99.0  0.63
2006 01 03 08 00 206  2.1  2.4 99.00 99.00 99.00 999 1018.4  23.1  23.1 999.0 99.0 -0.02
2006 01 03 09 00 190  5.3  5.4 99.00 99.00 99.00 999 1017.6  23.4  23.1 999.0 99.0 -0.58
2006 01 03 10 00 209  3.0  3.2 99.00 99.00 99.00 999 1017.9  23.8  23.1 999.0 99.0 -0.88
2006 01 03 11 00 227  1.4  1.5 99.00 99.00 99.00 999 1018.3  23.5  23.2 999.0 99.0 -0.80
2006 01 03 12 00 229  1.1  1.1 99.00 99.00 99.00 999 1018.4  23.1  23.2 999.0 99.0 -0.48
2006 01 03 13 00 220  2.1  2.1 99.00 99.00 99.00 999 1018.8  23.2  23.5 999.0 99.0 -0.05
2006 01 03 14 00 213  2.5  2.5 99.00 99.00 99.00 999 1019.2  23.7  23.6 999.0 99.0  0.45
2006 01 03 15 00 231  3.1  3.1 99.00 99.00 99.00 999 1019.7  23.6  23.8 999.0 99.0  0.79
2006 01 03 16 00 254  4.4  4.6 99.00 99.00 99.00 999 1019.2  23.5  23.8 999.0 99.0  0.98
2006 01 03 17 00 268  5.0  5.3 99.00 99.00 99.00 999 1018.6  23.6  23.8 999.0 99.0  1.01
2006 01 03 18 00 257  5.0  5.4 99.00 99.00 99.00 999 1017.6  23.8  23.8 999.0 99.0  0.80
2006 01 03 19 00 274  3.4  3.9 99.00 99.00 99.00 999 1017.0  23.9  23.9 999.0 99.0  0.51
2006 01 03 20 00 285  2.3  2.7 99.00 99.00 99.00 999 1016.8  24.0  24.3 999.0 99.0  0.21
2006 01 03 21 00 243  3.3  3.7 99.00 99.00 99.00 999 1016.6  24.0  23.8 999.0 99.0 -0.16
2006 01 03 22 00 251  4.6  4.9 99.00 99.00 99.00 999 1016.8  23.8  23.8 999.0 99.0 -0.33
2006 01 03 23 00 274  4.0  4.3 99.00 99.00 99.00 999 1017.2  23.4  23.8 999.0 99.0 -0.28
2006 01 04 00 00 278  4.7  4.9 99.00 99.00 99.00 999 1017.5  23.8  23.8 999.0 99.0  0.01
2006 01 04 01 00 293  6.1  6.3 99.00 99.00 99.00 999 1017.9  23.5  23.6 999.0 99.0  0.42
2006 01 04 02 00 279  4.8  5.1 99.00 99.00 99.00 999 1017.9  23.4  23.6 999.0 99.0  0.86
2006 01 04 03 00 269  5.0  5.4 99.00 99.00 99.00 999 1017.8  23.2  23.5 999.0 99.0  1.29
2006 01 04 04 00 266  4.3  4.8 99.00 99.00 99.00 999 1017.8  23.1  23.4 999.0 99.0  1.57
2006 01 04 05 00 293  5.3  6.0 99.00 99.00 99.00 999 1017.5  23.2  23.4 999.0 99.0  1.64
2006 01 04 06 00 301  6.6  7.3 99.00 99.00 99.00 999 1017.0  23.3  23.4 999.0 99.0  1.47
2006 01 04 07 00 304  6.8  7.3 99.00 99.00 99.00 999 1016.9  23.1  23.3 999.0 99.0  1.07
2006 01 04 08 00 334  7.2  8.1 99.00 99.00 99.00 999 1016.9  22.6  23.4 999.0 99.0  0.53
2006 01 04 09 00 354  7.0  7.6 99.00 99.00 99.00 999 1016.8  21.5  23.4 999.0 99.0 -0.01
2006 01 04 10 00 356  8.9  9.2 99.00 99.00 99.00 999 1016.8  22.1  23.3 999.0 99.0 -0.43
2006 01 04 11 00   9  6.7  7.3 99.00 99.00 99.00 999 1017.1  21.4  23.3 999.0 99.0 -0.61
2006 01 04 12 00  12  6.2  6.6 99.00 99.00 99.00 999 1017.3  20.8  23.1 999.0 99.0 -0.46
2006 01 04 13 00   6  5.7  6.2 99.00 99.00 99.00 999 1018.2  20.3  23.3 999.0 99.0 -0.18
2006 01 04 14 00 356  9.3 10.1 99.00 99.00 99.00 999 1018.8  20.0  23.3 999.0 99.0  0.21
2006 01 04 15 00   2  6.4  7.1 99.00 99.00 99.00 999 1019.2  19.5  23.3 999.0 99.0  0.61
2006 01 04 16 00 356  3.6  4.1 99.00 99.00 99.00 999 1018.7  19.6  23.5 999.0 99.0  0.92
2006 01 04 17 00 352  4.2  4.9 99.00 99.00 99.00 999 1018.1  19.6  23.5 999.0 99.0  1.13
2006 01 04 18 00 339  3.6  4.0 99.00 99.00 99.00 999 1016.8  19.9  23.6 999.0 99.0  1.14
2006 01 04 19 00 323  3.1  3.7 99.00 99.00 99.00 999 1016.0  20.3  23.7 999.0 99.0  0.95
2006 01 04 20 00 321  3.2  3.8 99.00 99.00 99.00 999 1015.7  20.5  23.7 999.0 99.0  0.65
2006 01 04 21 00 304  3.0  3.6 99.00 99.00 99.00 999 1015.9  20.6  23.6 999.0 99.0  0.28
2006 01 04 22 00 322  5.7  6.2 99.00 99.00 99.00 999 1016.1  20.7  23.6 999.0 99.0 -0.08
