#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 00  90  2.4  2.6 99.00 99.00 99.00 999 1019.8  23.6 999.0  19.6 99.0  2.26
2010 01 01 01 00  94  2.4  2.7 99.00 99.00 99.00 999 1020.0  23.4 999.0  19.1 99.0  2.48
2010 01 01 02 00 105  3.5  3.8 99.00 99.00 99.00 999 1019.9  23.5 999.0  18.7 99.0  2.46
2010 01 01 03 00 104  3.3  3.7 99.00 99.00 99.00 999 1020.1  23.6 999.0  18.1 99.0  2.14
2010 01 01 04 00 114  4.1  4.3 99.00 99.00 99.00 999 1019.7  23.5 999.0  19.2 99.0  1.65
2010 01 01 05 00 129  3.4  3.8 99.00 99.00 99.00 999 1019.2  23.4 999.0  19.6 99.0  0.98
2010 01 01 06 00 135  3.5  3.9 99.00 99.00 99.00 999 1018.7  23.4 999.0  19.5 99.0  0.32
2010 01 01 07 00 150  3.8  4.2 99.00 99.00 99.00 999 1018.2  23.5 999.0  19.3 99.0 -0.20
2010 01 01 08 00 152  4.5  4.8 99.00 99.00 99.00 999 1017.6  23.6 999.0  19.2 99.0 -0.44
2010 01 01 09 00 165  3.8  4.2 99.00 99.00 99.00 999 1017.2  23.6 999.0  19.4 99.0 -0.33
2010 01 01 10 00 179  3.7  3.9 99.00 99.00 99.00 999 1016.7  23.6 999.0  19.4 99.0  0.03
2010 01 01 11 00 213  4.4  4.8 99.00 99.00 99.00 999 1016.5  23.8 999.0  19.0 99.0  0.49
2010 01 01 12 00 210  5.5  5.7 99.00 99.00 99.00 999 1016.4  24.1 999.0  18.6 99.0  0.93
2010 01 01 13 00 219  4.9  5.1 99.00 99.00 99.00 999 1017.0  24.4 999.0  17.6 99.0  1.36
2010 01 01 14 00 221  7.5  8.0 99.00 99.00 99.00 999 1017.1  24.3 999.0  18.6 99.0  1.59
2010 01 01 15 00 221  7.2  7.9 99.00 99.00 99.00 999 1017.4  24.2 999.0  18.7 99.0  1.58
2010 01 01 16 00 231  8.6  9.4 99.00 99.00 99.00 999 1017.2  24.2 999.0  18.9 99.0  1.37
2010 01 01 17 00 231  9.8 10.3 99.00 99.00 99.00 999 1016.4  24.3 999.0  18.5 99.0  1.01
2010 01 01 18 00 244  9.5 10.0 99.00 99.00 99.00 999 1015.5  24.4 999.0  18.2 99.0  0.62
2010 01 01 19 00 246  9.2 10.0 99.00 99.00 99.00 999 1014.6  24.5 999.0  18.4 99.0  0.26
2010 01 01 20 00 263  8.6  9.5 99.00 99.00 99.00 999 1014.6  24.3 999.0  19.8 99.0  0.15
2010 01 01 21 00 277  8.6  9.2 99.00 99.00 99.00 999 1014.8  23.7 999.0  20.0 99.0  0.33
2010 01 01 22 00 312  9.9 10.7 99.00 99.00 99.00 999 1015.2  20.7 999.0  19.2 99.0  0.78
2010 01 01 23 00 314  6.3  7.3 99.00 99.00 99.00 999 1015.2  20.9 999.0  19.3 99.0  1.30
2010 01 02 00 00 311  6.6  7.2 99.00 99.00 99.00 999 1015.6  21.0 999.0  19.1 99.0  1.75
2010 01 02 01 00 325  9.3  9.9 99.00 99.00 99.00 999 1015.9  21.2 999.0  18.4 99.0  2.18
