#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 00  44  3.1  3.7 99.00 99.00 99.00 999 1021.8  24.4 999.0  20.4 99.0 99.00
2015 01 01 01 00  21  4.2  4.5 99.00 99.00 99.00 999 1022.2  24.5 999.0  20.0 99.0 99.00
2015 01 01 02 00   9  4.6  4.9 99.00 99.00 99.00 999 1022.6  24.3 999.0  19.7 99.0 99.00
2015 01 01 03 00   8  5.1  5.5 99.00 99.00 99.00 999 1022.5  24.1 999.0  18.9 99.0 99.00
2015 01 01 04 00  18  4.0  4.3 99.00 99.00 99.00 999 1022.1  23.4 999.0  20.4 99.0 99.00
2015 01 01 05 00  50  3.4  3.7 99.00 99.00 99.00 999 1021.6  23.5 999.0  20.8 99.0 99.00
2015 01 01 06 00  22  5.3  5.5 99.00 99.00 99.00 999 1021.1  23.6 999.0  19.9 99.0 99.00
2015 01 01 07 00  18  6.4  6.7 99.00 99.00 99.00 999 1020.8  23.1 999.0  20.3 99.0 99.00
2015 01 01 08 00  26  5.0  5.6 99.00 99.00 99.00 999 1020.7  22.9 999.0  20.3 99.0 99.00
2015 01 01 09 00  27  4.4  4.7 99.00 99.00 99.00 999 1020.3  22.9 999.0  20.2 99.0 99.00
2015 01 01 10 00  29  3.4  3.8 99.00 99.00 99.00 999 1020.5  23.2 999.0  20.7 99.0 99.00
2015 01 01 11 00  13  5.6  6.1 99.00 99.00 99.00 999 1021.4  23.1 999.0  20.6 99.0 99.00
2015 01 01 12 00  43  4.3  4.6 99.00 99.00 99.00 999 1022.0  22.8 999.0  20.4 99.0 99.00
2015 01 01 13 00  53  3.7  3.8 99.00 99.00 99.00 999 1022.4  22.9 999.0  20.3 99.0 99.00
2015 01 01 14 00  56  4.1  4.5 99.00 99.00 99.00 999 1022.8  23.1 999.0  20.1 99.0 99.00
2015 01 01 15 00  61  4.4  4.7 99.00 99.00 99.00 999 1023.2  23.4 999.0  20.4 99.0 99.00
2015 01 01 16 00  56  4.1  4.4 99.00 99.00 99.00 999 1023.0  24.0 999.0  20.6 99.0 99.00
2015 01 01 17 00  54  4.3  4.7 99.00 99.00 99.00 999 1022.4  24.0 999.0  20.8 99.0 99.00
2015 01 01 18 00  54  3.6  3.9 99.00 99.00 99.00 999 1021.3  24.2 999.0  20.8 99.0 99.00
2015 01 01 19 00 113  4.8  5.2 99.00 99.00 99.00 999 1020.4  26.1 999.0  19.4 99.0 99.00
2015 01 01 20 00  98  5.5  5.8 99.00 99.00 99.00 999 1020.1  25.7 999.0  19.3 99.0 99.00
2015 01 01 21 00 105  5.6  6.1 99.00 99.00 99.00 999 1020.3  25.7 999.0  18.7 99.0 99.00
2015 01 01 22 00 100  4.5  5.3 99.00 99.00 99.00 999 1020.3  25.4 999.0  18.8 99.0 99.00
2015 01 01 23 00  98  4.9  5.1 99.00 99.00 99.00 999 1020.6  25.1 999.0  19.0 99.0 99.00
2015 01 02 00 00  88  5.9  6.2 99.00 99.00 99.00 999 1021.1  25.1 999.0  19.4 99.0 99.00
2015 01 02 01 00  85  6.2  6.7 99.00 99.00 99.00 999 1021.4  25.1 999.0  20.2 99.0 99.00
2015 01 02 02 00  92  6.5  6.9 99.00 99.00 99.00 999 1021.9  25.2 999.0  19.5 99.0 99.00
2015 01 02 03 00  65  4.3  4.8 99.00 99.00 99.00 999 1022.1  24.6 999.0  19.7 99.0 99.00
2015 01 02 04 00  99  6.3  7.0 99.00 99.00 99.00 999 1022.3  25.1 999.0  19.4 99.0 99.00
2015 01 02 05 00 105  6.5  7.2 99.00 99.00 99.00 999 1021.9  25.0 999.0  19.3 99.0 99.00
2015 01 02 06 00  98  5.4  5.8 99.00 99.00 99.00 999 1021.6  25.0 999.0  19.7 99.0 99.00
2015 01 02 07 00 101  6.4  7.2 99.00 99.00 99.00 999 1021.5  25.1 999.0  20.0 99.0 99.00
2015 01 02 08 00 110  7.4  7.8 99.00 99.00 99.00 999 1021.3  25.2 999.0  19.7 99.0 99.00
2015 01 02 09 00 107  7.1  7.4 99.00 99.00 99.00 999 1021.2  25.1 999.0  20.0 99.0 99.00
2015 01 02 10 00  99  6.2  6.8 99.00 99.00 99.00 999 1021.1  25.1 999.0  20.3 99.0 99.00
2015 01 02 11 00 100  6.7  6.9 99.00 99.00 99.00 999 1021.7  25.2 999.0  20.6 99.0 99.00
2015 01 02 12 00 101  7.0  7.5 99.00 99.00 99.00 999 1022.2  25.2 999.0  20.5 99.0 99.00
2015 01 02 13 00 107  7.3  8.0 99.00 99.00 99.00 999 1022.9  25.4 999.0  20.1 99.0 99.00
2015 01 02 14 00 107  8.4  9.7 99.00 99.00 99.00 999 1023.6  25.5 999.0  20.0 99.0 99.00
2015 01 02 15 00 109  9.3  9.6 99.00 99.00 99.00 999 1023.9  25.7 999.0  20.2 99.0 99.00
2015 01 02 16 00 110  8.5  9.1 99.00 99.00 99.00 999 1023.4  26.0 999.0  20.4 99.0 99.00
2015 01 02 17 00 117  9.9 10.2 99.00 99.00 99.00 999 1022.7  25.9 999.0  20.4 99.0 99.00
2015 01 02 18 00 113  7.6  8.6 99.00 99.00 99.00 999 1021.9  26.1 999.0  21.0 99.0 99.00
2015 01 02 19 00 121  7.9  8.6 99.00 99.00 99.00 999 1021.2  26.1 999.0  21.4 99.0 99.00
2015 01 02 20 00 123  9.4  9.8 99.00 99.00 99.00 999 1021.0  26.4 999.0  20.9 99.0 99.00
2015 01 02 21 00 125  8.3  8.9 99.00 99.00 99.00 999 1021.1  26.3 999.0  20.8 99.0 99.00
2015 01 02 22 00 120  8.9  9.3 99.00 99.00 99.00 999 1021.1  26.2 999.0  20.5 99.0 99.00
2015 01 02 23 00 110  8.0  8.8 99.00 99.00 99.00 999 1021.5  25.6 999.0  20.6 99.0 99.00
2015 01 03 00 00 102  9.3  9.9 99.00 99.00 99.00 999 1021.6  25.5 999.0  20.0 99.0 99.00
2015 01 03 01 00  99 10.8 11.4 99.00 99.00 99.00 999 1021.6  25.5 999.0  19.8 99.0 99.00
2015 01 03 02 00  99 10.4 11.3 99.00 99.00 99.00 999 1021.8  25.5 999.0  20.1 99.0 99.00
2015 01 03 03 00 108 11.7 12.3 99.00 99.00 99.00 999 1021.9  25.5 999.0  20.2 99.0 99.00
2015 01 03 04 00 108 11.5 12.0 99.00 99.00 99.00 999 1021.9  25.4 999.0  20.7 99.0 99.00
2015 01 03 05 00 113 10.7 11.3 99.00 99.00 99.00 999 1021.8  25.5 999.0  20.9 99.0 99.00
2015 01 03 06 00 114 11.2 12.0 99.00 99.00 99.00 999 1021.4  25.6 999.0  21.2 99.0 99.00
2015 01 03 07 00 113 10.7 12.1 99.00 99.00 99.00 999 1021.2  25.6 999.0  20.9 99.0 99.00
2015 01 03 08 00 117  9.6 10.6 99.00 99.00 99.00 999 1021.1  25.6 999.0  21.0 99.0 99.00
2015 01 03 09 00 126  9.8 10.8 99.00 99.00 99.00 999 1021.4  25.6 999.0  20.7 99.0 99.00
2015 01 03 10 00 123  9.3 10.0 99.00 99.00 99.00 999 1021.5  25.6 999.0  20.6 99.0 99.00
2015 01 03 11 00 127 11.1 11.8 99.00 99.00 99.00 999 1021.7  25.5 999.0  20.6 99.0 99.00
2015 01 03 12 00 127 10.4 11.3 99.00 99.00 99.00 999 1022.4  25.6 999.0  20.6 99.0 99.00
2015 01 03 13 00 126 11.2 11.9 99.00 99.00 99.00 999 1022.9  25.6 999.0  20.8 99.0 99.00
2015 01 03 14 00 122 10.8 11.8 99.00 99.00 99.00 999 1023.7  25.8 999.0  20.8 99.0 99.00
2015 01 03 15 00 119 10.7 11.9 99.00 99.00 99.00 999 1023.9  26.0 999.0  21.0 99.0 99.00
2015 01 03 16 00 120 10.8 12.0 99.00 99.00 99.00 999 1023.5  26.2 999.0  21.2 99.0 99.00
2015 01 03 17 00 122 10.5 11.6 99.00 99.00 99.00 999 1022.9  26.2 999.0  21.4 99.0 99.00
2015 01 03 18 00 123 10.7 11.9 99.00 99.00 99.00 999 1022.0  26.4 999.0  21.1 99.0 99.00
2015 01 03 19 00 120 10.1 11.1 99.00 99.00 99.00 999 1021.5  26.5 999.0  21.5 99.0 99.00
2015 01 03 20 00 124 10.9 11.4 99.00 99.00 99.00 999 1021.4  26.7 999.0  21.2 99.0 99.00
2015 01 03 21 00 117  9.5 10.6 99.00 99.00 99.00 999 1021.7  26.6 999.0  21.7 99.0 99.00
2015 01 03 22 00 115 10.8 11.5 99.00 99.00 99.00 999 1022.0  26.2 999.0  21.0 99.0 99.00
2015 01 03 23 00 116 10.6 11.2 99.00 99.00 99.00 999 1022.2  25.8 999.0  21.2 99.0 99.00
2015 01 04 00 00 116 10.6 11.5 99.00 99.00 99.00 999 1022.5  25.7 999.0  21.3 99.0 99.00
2015 01 04 01 00 115 10.2 11.9 99.00 99.00 99.00 999 1022.6  25.7 999.0  21.6 99.0 99.00
2015 01 04 02 00 117 11.7 12.3 99.00 99.00 99.00 999 1022.8  25.6 999.0  21.3 99.0 99.00
2015 01 04 03 00 117 12.3 12.9 99.00 99.00 99.00 999 1023.0  25.7 999.0  21.3 99.0 99.00
2015 01 04 04 00 121  9.8 10.5 99.00 99.00 99.00 999 1023.0  25.7 999.0  21.5 99.0 99.00
2015 01 04 05 00 125 11.4 12.4 99.00 99.00 99.00 999 1022.6  25.6 999.0  21.0 99.0 99.00
2015 01 04 06 00 127 10.8 11.5 99.00 99.00 99.00 999 1022.4  25.5 999.0  21.1 99.0 99.00
2015 01 04 07 00 128  9.8 10.8 99.00 99.00 99.00 999 1022.5  25.6 999.0  20.7 99.0 99.00
2015 01 04 08 00 127 12.5 13.1 99.00 99.00 99.00 999 1021.8  25.5 999.0  20.1 99.0 99.00
2015 01 04 09 00 128  9.8 10.6 99.00 99.00 99.00 999 1021.9  25.6 999.0  20.1 99.0 99.00
2015 01 04 10 00 126 11.2 11.7 99.00 99.00 99.00 999 1022.0  25.5 999.0  19.8 99.0 99.00
2015 01 04 11 00 122 11.0 11.8 99.00 99.00 99.00 999 1022.5  25.4 999.0  20.1 99.0 99.00
2015 01 04 12 00 133  8.2  8.9 99.00 99.00 99.00 999 1023.2  25.5 999.0  20.0 99.0 99.00
2015 01 04 13 00 131  9.1  9.7 99.00 99.00 99.00 999 1023.8  25.6 999.0  20.1 99.0 99.00
2015 01 04 14 00 131 10.0 10.7 99.00 99.00 99.00 999 1024.3  25.8 999.0  20.1 99.0 99.00
2015 01 04 15 00 131  9.7 10.2 99.00 99.00 99.00 999 1024.4  25.9 999.0  20.3 99.0 99.00
2015 01 04 16 00 133  8.9  9.6 99.00 99.00 99.00 999 1023.8  26.2 999.0  21.3 99.0 99.00
2015 01 04 17 00 130  9.6 10.4 99.00 99.00 99.00 999 1022.8  26.2 999.0  21.5 99.0 99.00
2015 01 04 18 00 132  8.9  9.4 99.00 99.00 99.00 999 1022.7  26.4 999.0  21.5 99.0 99.00
2015 01 04 19 00 107  5.8  6.4 99.00 99.00 99.00 999 1022.7  26.5 999.0  22.1 99.0 99.00
2015 01 04 20 00 101  5.8  6.3 99.00 99.00 99.00 999 1022.6  26.8 999.0  22.3 99.0 99.00
2015 01 04 21 00  96  5.0  5.6 99.00 99.00 99.00 999 1022.9  26.6 999.0  22.4 99.0 99.00
2015 01 04 22 00  99  5.6  6.0 99.00 99.00 99.00 999 1023.3  26.3 999.0  22.2 99.0 99.00
2015 01 04 23 00 102  6.0  6.5 99.00 99.00 99.00 999 1023.6  25.8 999.0  22.0 99.0 99.00
2015 01 05 00 00 104  6.5  6.7 99.00 99.00 99.00 999 1024.0  25.7 999.0  21.9 99.0 99.00
2015 01 05 01 00  90  5.9  6.6 99.00 99.00 99.00 999 1024.5  25.6 999.0  21.9 99.0 99.00
2015 01 05 02 00  97  6.1  6.4 99.00 99.00 99.00 999 1025.0  25.6 999.0  21.7 99.0 99.00
2015 01 05 03 00  90  5.4  6.0 99.00 99.00 99.00 999 1025.2  25.5 999.0  21.8 99.0 99.00
2015 01 05 04 00  96  5.5  5.8 99.00 99.00 99.00 999 1025.2  25.4 999.0  21.9 99.0 99.00
2015 01 05 05 00 110  6.6  6.8 99.00 99.00 99.00 999 1024.9  25.3 999.0  21.6 99.0 99.00
2015 01 05 06 00 112  6.3  6.8 99.00 99.00 99.00 999 1024.6  25.3 999.0  21.5 99.0 99.00
2015 01 05 07 00 113  6.7  7.0 99.00 99.00 99.00 999 1024.3  25.2 999.0  21.5 99.0 99.00
2015 01 05 08 00 119  6.3  6.6 99.00 99.00 99.00 999 1024.2  25.3 999.0  21.4 99.0 99.00
2015 01 05 09 00 111  6.3  6.9 99.00 99.00 99.00 999 1023.9  25.3 999.0  21.3 99.0 99.00
2015 01 05 10 00 109  6.8  7.3 99.00 99.00 99.00 999 1024.0  25.2 999.0  21.0 99.0 99.00
2015 01 05 11 00 101  6.8  7.2 99.00 99.00 99.00 999 1024.2  25.2 999.0  20.7 99.0 99.00
2015 01 05 12 00 103  6.6  6.8 99.00 99.00 99.00 999 1025.0  25.2 999.0  20.6 99.0 99.00
2015 01 05 13 00 100  6.6  6.9 99.00 99.00 99.00 999 1025.6  25.3 999.0  20.5 99.0 99.00
2015 01 05 14 00 102  5.4  5.8 99.00 99.00 99.00 999 1026.5  25.5 999.0  20.7 99.0 99.00
2015 01 05 15 00  99  6.3  6.6 99.00 99.00 99.00 999 1026.9  25.8 999.0  20.9 99.0 99.00
2015 01 05 16 00  88  5.4  5.8 99.00 99.00 99.00 999 1026.2  25.9 999.0  21.1 99.0 99.00
2015 01 05 17 00 102  5.8  6.0 99.00 99.00 99.00 999 1025.7  26.1 999.0  21.0 99.0 99.00
2015 01 05 18 00  90  6.0  6.7 99.00 99.00 99.00 999 1025.1  25.9 999.0  21.0 99.0 99.00
2015 01 05 19 00  84  4.8  5.0 99.00 99.00 99.00 999 1024.6  26.1 999.0  20.6 99.0 99.00
2015 01 05 20 00  86  5.5  5.8 99.00 99.00 99.00 999 1024.2  26.2 999.0  20.9 99.0 99.00
2015 01 05 21 00  66  6.0  6.4 99.00 99.00 99.00 999 1024.3  26.1 999.0  21.1 99.0 99.00
2015 01 05 22 00  68  6.7  7.1 99.00 99.00 99.00 999 1024.6  25.9 999.0  21.0 99.0 99.00
