'airt,'lciy2-air-t,'online,'( 1 366),'DRASTIC-LOW=(8 10),'VERY-LOW=(10 13),'LOW=(13 15),'SOMEWHAT-LOW=(15 18),'AVERAGE=(18 23),'SOMEWHAT-HIGH=(23 25),'HIGH=(25 28),'VERY-HIGH=(28 32),'DRASTIC-HIGH=(32 34)
'volts,'lciy2-logger-batt,'online,'( 1 366),'DRASTIC-LOW=(7 8),'VERY-LOW=(8 9),'LOW=(9 10),'SOMEWHAT-LOW=(10 11),'AVERAGE=(11 12),'SOMEWHAT-HIGH=(12 13),'HIGH=(13 14),'VERY-HIGH=(14 15),'DRASTIC-HIGH=(15 17)
'tide3m,'lciy2-ctd-deep-i-depth,'online,'( 1 366),'DRASTIC-LOW=(3 3.5),'VERY-LOW=(3.5 4.1),'LOW=(4.1 4.3),'SOMEWHAT-LOW=(4.3 4.5),'AVERAGE=(4.5 4.7),'SOMEWHAT-HIGH=(4.7 4.8),'HIGH=(4.8 5.0),'VERY-HIGH=(5.0 5.2),'DRASTIC-HIGH=(5.2 6)
'tide1m,'lciy2-ctd-shallow-i-depth,'online,'( 1 366),'DRASTIC-LOW=(0 0.5),'VERY-LOW=(0.5 1),'LOW=(1 1.3),'SOMEWHAT-LOW=(1.3 1.31),'AVERAGE=(1.31 1.5),'SOMEWHAT-HIGH=(1.5 1.7),'HIGH=(1.7 2),'VERY-HIGH=(2 2.5),'DRASTIC-HIGH=(2.5 4)
'salin3m,'lciy2-ctd-deep-salinity,'online,'( 1 366),'DRASTIC-LOW=(31 33.5),'VERY-LOW=(33.5 34),'LOW=(34 34.5),'SOMEWHAT-LOW=(34.5 35),'AVERAGE=(35 36),'SOMEWHAT-HIGH=(36 37),'HIGH=(37 37.5),'VERY-HIGH=(37.5 38),'DRASTIC-HIGH=(38 40)
'salin1m,'lciy2-ctd-shallow-salinity,'online,'( 1 366),'DRASTIC-LOW=(31 33.5),'VERY-LOW=(33.5 34),'LOW=(34 34.5),'SOMEWHAT-LOW=(34.5 35),'AVERAGE=(35 36),'SOMEWHAT-HIGH=(36 37),'HIGH=(37 37.5),'VERY-HIGH=(37.5 38),'DRASTIC-HIGH=(38 40)
'loggertemp,'lciy2-logger-ptemp,'online,'( 1 366),'DRASTIC-LOW=(8 12),'VERY-LOW=(12 16),'LOW=(16 20),'SOMEWHAT-LOW=(20 25),'AVERAGE=(25 30),'SOMEWHAT-HIGH=(30 32),'HIGH=(32 34),'VERY-HIGH=(34 38),'DRASTIC-HIGH=(38 44)
'sb-tide,'lciy2-sb-pres-depth,'online,'( 1 366),'DRASTIC-LOW=(3.3 3.8),'VERY-LOW=(3.8 4.4),'LOW=(4.4 4.6),'SOMEWHAT-LOW=(4.6 4.8),'AVERAGE=(4.8 5.0),'SOMEWHAT-HIGH=(5.0 5.1),'HIGH=(5.1 5.3),'VERY-HIGH=(5.3 5.5),'DRASTIC-HIGH=(5.5 6.3)
'sb-sea,'lciy2-sb-pres-temp,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 33)
'sea3m,'lciy2-ctd-deep-seatemp,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 33)
