'airt-test,'srvi2-air-t,'test,'( 1 366),'DRASTIC-LOW=(8 10),'VERY-LOW=(10 13),'LOW=(13 15),'SOMEWHAT-LOW=(15 18),'AVERAGE=(18 22),'SOMEWHAT-HIGH=(22 24),'HIGH=(24 27),'VERY-HIGH=(27 30),'DRASTIC-HIGH=(30 32)
'volts-test,'srvi2-logger-batt,'test,'( 1 366),'DRASTIC-LOW=(7 8),'VERY-LOW=(8 9),'LOW=(9 10),'SOMEWHAT-LOW=(10 11),'AVERAGE=(11 12),'SOMEWHAT-HIGH=(12 13),'HIGH=(13 14),'VERY-HIGH=(14 15),'DRASTIC-HIGH=(15 17)
'tide3m-test,'srvi2-ctd-deep-i-depth,'test,'( 1 366),'DRASTIC-LOW=(4 4.5),'VERY-LOW=(4.5 5.1),'LOW=(5.1 5.3),'SOMEWHAT-LOW=(5.3 5.5),'AVERAGE=(5.5 5.7),'SOMEWHAT-HIGH=(5.7 5.8),'HIGH=(5.8 6.0),'VERY-HIGH=(6.0 6.2),'DRASTIC-HIGH=(6.2 7)
'tide1m-test,'srvi2-ctd-shallow-i-depth,'test,'( 1 366),'DRASTIC-LOW=(0 1.5),'VERY-LOW=(1.5 2),'LOW=(2 2.3),'SOMEWHAT-LOW=(2.3 2.31),'AVERAGE=(2.31 3),'SOMEWHAT-HIGH=(3 3.2),'HIGH=(3.2 4),'VERY-HIGH=(4 4.5),'DRASTIC-HIGH=(4.5 5)
'salin3m-test,'srvi2-ctd-deep-salinity,'test,'( 1 366),'DRASTIC-LOW=(31 33.5),'VERY-LOW=(33.5 34),'LOW=(34 34.5),'SOMEWHAT-LOW=(34.5 35),'AVERAGE=(35 36),'SOMEWHAT-HIGH=(36 37),'HIGH=(37 37.5),'VERY-HIGH=(37.5 38),'DRASTIC-HIGH=(38 40)
'salin1m-test,'srvi2-ctd-shallow-salinity,'test,'( 1 366),'DRASTIC-LOW=(31 33.5),'VERY-LOW=(33.5 34),'LOW=(34 34.5),'SOMEWHAT-LOW=(34.5 35),'AVERAGE=(35 36),'SOMEWHAT-HIGH=(36 37),'HIGH=(37 37.5),'VERY-HIGH=(37.5 38),'DRASTIC-HIGH=(38 40)
'loggertemp-test,'srvi2-logger-ptemp,'test,'( 1 366),'DRASTIC-LOW=(8 12),'VERY-LOW=(12 16),'LOW=(16 20),'SOMEWHAT-LOW=(20 25),'AVERAGE=(25 30),'SOMEWHAT-HIGH=(30 32),'HIGH=(32 34),'VERY-HIGH=(34 38),'DRASTIC-HIGH=(38 44)
'sb-tide-test,'srvi2-sb-pres-depth,'test,'( 1 366),'DRASTIC-LOW=(3.3 3.8),'VERY-LOW=(3.8 4.4),'LOW=(4.4 4.6),'SOMEWHAT-LOW=(4.6 4.8),'AVERAGE=(4.8 5.0),'SOMEWHAT-HIGH=(5.0 5.1),'HIGH=(5.1 5.3),'VERY-HIGH=(5.3 5.5),'DRASTIC-HIGH=(5.5 6.3)
'sb-sea-test,'srvi2-sb-pres-temp,'test,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 33)
'sea3m-test,'srvi2-ctd-deep-seatemp,'test,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 33)
