'winddir,'lonf1-wind1-dir,'online,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'par1m,'lonf1-shallow-par,'online,'( 1 366),'DRASTIC-LOW=(0 50),'VERY-LOW=(50 100),'LOW=(100 200),'SOMEWHAT-LOW=(200 400),'AVERAGE=(400 500),'SOMEWHAT-HIGH=(500 600),'HIGH=(600 700),'VERY-HIGH=(700 800),'DRASTIC-HIGH=(800 900)
'parsurf,'lonf1-surf-par,'online,'( 1 366),'DRASTIC-LOW=(0 50),'VERY-LOW=(50 100),'LOW=(100 300),'SOMEWHAT-LOW=(300 500),'AVERAGE=(500 700),'SOMEWHAT-HIGH=(700 800),'HIGH=(800 1100),'VERY-HIGH=(1100 1300),'DRASTIC-HIGH=(1300 1600)
'sea1m,'lonf1-ct-shallow-seatemp,'online,'( 1 366),'DRASTIC-LOW=(3 12),'VERY-LOW=(12 14),'LOW=(14 16),'SOMEWHAT-LOW=(16 18),'AVERAGE=(18 29),'SOMEWHAT-HIGH=(29 30),'HIGH=(30 31),'VERY-HIGH=(31 32),'DRASTIC-HIGH=(32 34)
'seandbc,'lonf1-sea-t,'online,'( 1 366),'DRASTIC-LOW=(3 12),'VERY-LOW=(12 14),'LOW=(14 16),'SOMEWHAT-LOW=(16 18),'AVERAGE=(18 29),'SOMEWHAT-HIGH=(29 30),'HIGH=(30 31),'VERY-HIGH=(31 32),'DRASTIC-HIGH=(32 34)
'surfbarom,'lonf1-barom-surf,'online,'( 1 366),'DRASTIC-LOW=(980 990),'VERY-LOW=(990 1000),'LOW=(1000 1005),'SOMEWHAT-LOW=(1005 1010),'AVERAGE=(1010 1020),'SOMEWHAT-HIGH=(1020 1025),'HIGH=(1025 1030),'VERY-HIGH=(1030 1035),'DRASTIC-HIGH=(1035 1040)
'barom,'lonf1-barom,'online,'( 1 366),'DRASTIC-LOW=(970 990),'VERY-LOW=(990 1000),'LOW=(1000 1005),'SOMEWHAT-LOW=(1005 1010),'AVERAGE=(1010 1015),'SOMEWHAT-HIGH=(1015 1020),'HIGH=(1020 1025),'VERY-HIGH=(1025 1030),'DRASTIC-HIGH=(1030 1035)
'windgu,'lonf1-wind1-gust,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'windsp,'lonf1-wind1-speed,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'airt,'lonf1-air-t,'online,'( 1 366),'DRASTIC-LOW=(5 12),'VERY-LOW=(12 14),'LOW=(14 16),'SOMEWHAT-LOW=(16 18),'AVERAGE=(18 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 32)
'salin1m,'lonf1-ct-shallow-salinity,'online,'( 1 366),'DRASTIC-LOW=(24 28),'VERY-LOW=(28 30),'LOW=(30 32),'SOMEWHAT-LOW=(32 34),'AVERAGE=(34 36),'SOMEWHAT-HIGH=(36 37),'HIGH=(37 38),'VERY-HIGH=(38 39),'DRASTIC-HIGH=(39 41)
'dew,'lonf1-air-t-dewp,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 22),'AVERAGE=(22 28),'SOMEWHAT-HIGH=(28 29),'HIGH=(29 30),'VERY-HIGH=(30 31),'DRASTIC-HIGH=(31 32)
'tide1m,'lonf1-tide,'online,'( 1 366),'DRASTIC-LOW=(8.7 8.9),'VERY-LOW=(8.9 9.1),'LOW=(9.1 9.3),'SOMEWHAT-LOW=(9.3 9.5),'AVERAGE=(9.5 10.5),'SOMEWHAT-HIGH=(10.5 10.7),'HIGH=(10.7 10.9),'VERY-HIGH=(10.9 11.1),'DRASTIC-HIGH=(11.1 11.5)
'windgu2,'lonf1-wind2-gust,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'windsp2,'lonf1-wind2-speed,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'winddir2,'lonf1-wind2-dir,'online,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'salin1m,'lonf1-ct-shallow-salinity,'online,'( 1 366),'DRASTIC-LOW=(24 28),'VERY-LOW=(28 30),'LOW=(30 32),'SOMEWHAT-LOW=(32 34),'AVERAGE=(34 37),'SOMEWHAT-HIGH=(37 38),'HIGH=(38 39),'VERY-HIGH=(39 41),'DRASTIC-HIGH=(41 44)
'windsp-3day,'lonf1-wind1-speed-3-day-average,'online,'( 1 366),'DRASTIC-LOW=(2 3),'VERY-LOW=(3 5),'LOW=(5 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 17),'SOMEWHAT-HIGH=(17 22),'HIGH=(22 25),'VERY-HIGH=(25 30),'DRASTIC-HIGH=(30 50)
'bleaching-seatemp,'lonf1-sea-t,'online,'( 1 366),'DRASTIC-LOW=(3 12),'VERY-LOW=(12 14),'LOW=(14 16),'AVERAGE=(16 32.9),'HIGH=(32.9 33.9),'VERY-HIGH=(33.9 34.9),'DRASTIC-HIGH=(34.9 36)
