airt,dLow,all,01052018,MLRF1
airtV,High,nite,01052018,MLRF1
airtV,High,dayb,01052018,MLRF1
airtV,High,midd,01052018,MLRF1
airtV,vHigh,aftn,01052018,MLRF1
barom,average,even,01052018,MLRF1
barom,sHigh,midn,01052018,MLRF1
barom,sHigh,pdaw,01052018,MLRF1
barom,sHigh,dayb,01052018,MLRF1
barom,High,midd,01052018,MLRF1
barom,sHigh,aftn,01052018,MLRF1
bleaST,average,all,01052018,MLRF1
ekmD7day,onshore,even,01052018,MLRF1
ekmD7day,downshore,midn,01052018,MLRF1
ekmD7day,downshore,pdaw,01052018,MLRF1
ekmD7day,offshore,dayb,01052018,MLRF1
ekmD7day,upshore,midd,01052018,MLRF1
ekmD7day,upshore,aftn,01052018,MLRF1
sst,average,all,01052018,MLRF1
paccum,uLow,all,01052018,MLRF1
satCA,Low,all,01052018,MLRF1
seandbc,sLow,all,01052018,MLRF1
seandbcD,average,even,01052018,MLRF1
seandbcD,average,midn,01052018,MLRF1
seandbcD,sLow,pdaw,01052018,MLRF1
seandbcD,sLow,dayl,01052018,MLRF1
seandbcM,average,all,01052018,MLRF1
seandbcV,average,all,01052018,MLRF1
spawt,uLow,all,01052018,MLRF1
surfb,average,nite,01052018,MLRF1
surfb,average,dawn,01052018,MLRF1
surfb,sHigh,morn,01052018,MLRF1
surfb,sHigh,midd,01052018,MLRF1
surfb,average,aftn,01052018,MLRF1
surfc,average,all,01052018,MLRF1
winddr,nw-n,even,01052018,MLRF1
winddr,ssw-wsw,midn,01052018,MLRF1
winddr,n-ne,pdaw,01052018,MLRF1
winddr,n-ne,dayb,01052018,MLRF1
winddr,ese-sse,midd,01052018,MLRF1
winddr,nw-n,aftn,01052018,MLRF1
windgu,sHigh,all,01052018,MLRF1
windsd7,Low,all,01052018,MLRF1
windsp,average,nite,01052018,MLRF1
windsp,average,dawn,01052018,MLRF1
windsp,sHigh,morn,01052018,MLRF1
windsp,average,midd,01052018,MLRF1
windsp,average,aftn,01052018,MLRF1
windsp3day,average,all,01052018,MLRF1
