YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 350  6.5  7.1 99.00 99.00 99.00 999 1023.9  12.8  23.1 999.0 99.0 99.00
2001 01 01 01 348  6.0  7.0 99.00 99.00 99.00 999 1024.5  12.2  23.2 999.0 99.0 99.00
2001 01 01 02  14  6.1  8.0 99.00 99.00 99.00 999 1025.0  12.2  23.2 999.0 99.0 99.00
2001 01 01 03   9  5.6  6.9 99.00 99.00 99.00 999 1025.1  11.9  23.3 999.0 99.0 99.00
2001 01 01 04   9  6.5  7.4 99.00 99.00 99.00 999 1024.9  11.9  23.2 999.0 99.0 99.00
2001 01 01 05 357  6.7  7.2 99.00 99.00 99.00 999 1025.2  11.5  23.2 999.0 99.0 99.00
2001 01 01 06   1  6.8  8.1 99.00 99.00 99.00 999 1025.1  11.3  23.1 999.0 99.0 99.00
2001 01 01 07 350  7.9  8.8 99.00 99.00 99.00 999 1024.9  11.1  23.0 999.0 99.0 99.00
2001 01 01 08 353  8.6  9.6 99.00 99.00 99.00 999 1024.5  10.8  23.0 999.0 99.0 99.00
2001 01 01 09 349  7.7  8.1 99.00 99.00 99.00 999 1024.9  10.1  22.9 999.0 99.0 99.00
2001 01 01 10 351  8.2  9.0 99.00 99.00 99.00 999 1024.9   9.9  22.9 999.0 99.0 99.00
2001 01 01 11 350  8.3  8.9 99.00 99.00 99.00 999 1025.1  10.0  22.8 999.0 99.0 99.00
2001 01 01 12 356  8.4  9.3 99.00 99.00 99.00 999 1025.2  10.2  22.7 999.0 99.0 99.00
2001 01 01 13 357  8.7  9.6 99.00 99.00 99.00 999 1025.8   9.7  22.7 999.0 99.0 99.00
2001 01 01 14 356  7.4  8.0 99.00 99.00 99.00 999 1026.5  10.5  22.8 999.0 99.0 99.00
2001 01 01 15  27  5.7  6.2 99.00 99.00 99.00 999 1026.3  13.0  23.0 999.0 99.0 99.00
2001 01 01 16  11  6.7  7.3 99.00 99.00 99.00 999 1026.4  14.0  23.2 999.0 99.0 99.00
2001 01 01 17  18  7.2  7.8 99.00 99.00 99.00 999 1025.8  15.0  23.2 999.0 99.0 99.00
2001 01 01 18  16  6.0  6.6 99.00 99.00 99.00 999 1025.0  15.6  23.2 999.0 99.0 99.00
2001 01 01 19  23  7.7  8.2 99.00 99.00 99.00 999 1024.2  16.4  23.3 999.0 99.0 99.00
2001 01 01 20  29  8.3  8.8 99.00 99.00 99.00 999 1023.6  16.2  23.2 999.0 99.0 99.00
2001 01 01 21  20  8.3  9.2 99.00 99.00 99.00 999 1023.4  16.8  23.2 999.0 99.0 99.00
2001 01 01 22  15  9.6 10.2 99.00 99.00 99.00 999 1023.7  17.1  22.9 999.0 99.0 99.00
2001 01 01 23  15  9.3 10.2 99.00 99.00 99.00 999 1024.1  16.7  21.4 999.0 99.0 99.00
2001 01 02 00  15  8.5  9.4 99.00 99.00 99.00 999 1024.5  16.6  20.1 999.0 99.0 99.00
2001 01 02 01  14  7.7  8.3 99.00 99.00 99.00 999 1024.8  16.7  19.3 999.0 99.0 99.00
2001 01 02 02  26  5.0  6.5 99.00 99.00 99.00 999 1025.0  17.2  19.0 999.0 99.0 99.00
2001 01 02 03  67  5.9  7.6 99.00 99.00 99.00 999 1024.9  18.8  20.0 999.0 99.0 99.00
2001 01 02 04  67  6.2  7.1 99.00 99.00 99.00 999 1024.9  18.9  19.7 999.0 99.0 99.00
2001 01 02 05  84  5.0  5.7 99.00 99.00 99.00 999 1024.7  18.8  19.6 999.0 99.0 99.00
2001 01 02 06  12  5.9  6.3 99.00 99.00 99.00 999 1024.7  16.4  20.5 999.0 99.0 99.00
2001 01 02 07  15  6.5  7.1 99.00 99.00 99.00 999 1024.2  15.8  21.3 999.0 99.0 99.00
2001 01 02 08  18  6.4  7.2 99.00 99.00 99.00 999 1023.9  15.9  21.7 999.0 99.0 99.00
2001 01 02 09   9  8.1  8.9 99.00 99.00 99.00 999 1023.8  15.2  21.8 999.0 99.0 99.00
2001 01 02 10  13  8.5  9.3 99.00 99.00 99.00 999 1023.7  15.3  21.8 999.0 99.0 99.00
2001 01 02 11  11  6.6  7.3 99.00 99.00 99.00 999 1024.5  15.7  21.7 999.0 99.0 99.00
2001 01 02 12  11  6.2  6.8 99.00 99.00 99.00 999 1024.7  15.7  21.7 999.0 99.0 99.00
2001 01 02 13   9  6.7  7.5 99.00 99.00 99.00 999 1025.8  15.5  21.7 999.0 99.0 99.00
2001 01 02 14  12  7.9  8.7 99.00 99.00 99.00 999 1026.6  15.4  22.0 999.0 99.0 99.00
2001 01 02 15  18  9.0  9.7 99.00 99.00 99.00 999 1027.1  15.8  22.5 999.0 99.0 99.00
2001 01 02 16  24  7.8  8.5 99.00 99.00 99.00 999 1026.9  16.6  22.5 999.0 99.0 99.00
2001 01 02 17  29  8.3  9.5 99.00 99.00 99.00 999 1026.1  17.4  22.7 999.0 99.0 99.00
2001 01 02 18  76  9.7 10.5 99.00 99.00 99.00 999 1025.4  19.5  22.7 999.0 99.0 99.00
2001 01 02 19  77  9.8 10.8 99.00 99.00 99.00 999 1024.7  19.5  23.0 999.0 99.0 99.00
2001 01 02 20  69  9.5 10.3 99.00 99.00 99.00 999 1024.1  19.7  23.0 999.0 99.0 99.00
2001 01 02 21  63  9.5 12.0 99.00 99.00 99.00 999 1024.3  19.7  22.9 999.0 99.0 99.00
2001 01 02 22  68 10.2 11.3 99.00 99.00 99.00 999 1024.4  19.9  22.7 999.0 99.0 99.00
2001 01 02 23  71 10.7 12.0 99.00 99.00 99.00 999 1024.2  20.0  22.5 999.0 99.0 99.00
2001 01 03 00  80  9.5 10.4 99.00 99.00 99.00 999 1024.4  20.0  22.3 999.0 99.0 99.00
2001 01 03 01  80  9.3 11.1 99.00 99.00 99.00 999 1024.8  20.0  22.1 999.0 99.0 99.00
2001 01 03 02  84  8.1  8.9 99.00 99.00 99.00 999 1025.4  19.9  22.1 999.0 99.0 99.00
2001 01 03 03  17  8.3  9.3 99.00 99.00 99.00 999 1025.6  17.3  22.5 999.0 99.0 99.00
2001 01 03 04  10  7.6  8.2 99.00 99.00 99.00 999 1025.9  16.2  22.4 999.0 99.0 99.00
2001 01 03 05   7  7.0  7.7 99.00 99.00 99.00 999 1025.7  15.0  21.7 999.0 99.0 99.00
2001 01 03 06   8  7.8  8.4 99.00 99.00 99.00 999 1025.2  14.5  21.3 999.0 99.0 99.00
2001 01 03 07   6  5.7  6.2 99.00 99.00 99.00 999 1024.6  14.2  21.6 999.0 99.0 99.00
2001 01 03 08   2  7.1  7.8 99.00 99.00 99.00 999 1024.4  14.1  21.4 999.0 99.0 99.00
2001 01 03 09   8  6.6  7.3 99.00 99.00 99.00 999 1024.3  13.6  20.9 999.0 99.0 99.00
2001 01 03 10  14  7.4 99.0 99.00 99.00 99.00 999 9999.0  13.8 999.0 999.0 99.0 99.00
2001 01 03 11   8  7.0  7.9 99.00 99.00 99.00 999 1024.2  13.7  21.3 999.0 99.0 99.00
2001 01 03 12   4  8.6  9.6 99.00 99.00 99.00 999 1024.7  13.5  21.3 999.0 99.0 99.00
