YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00  62  5.5  6.1 99.00 99.00 99.00 999 1025.4  24.3  24.1 999.0 99.0 99.00
2004 01 01 01  45  4.8  5.8 99.00 99.00 99.00 999 1026.0  24.4  24.0 999.0 99.0 99.00
2004 01 01 02  71  5.8  6.3 99.00 99.00 99.00 999 1026.3  24.6  24.1 999.0 99.0 99.00
2004 01 01 03  74  7.1  7.7 99.00 99.00 99.00 999 1026.1  24.4  24.0 999.0 99.0 99.00
2004 01 01 04  74  7.3  8.1 99.00 99.00 99.00 999 1025.7  24.4  24.0 999.0 99.0 99.00
2004 01 01 05  65  5.8  6.5 99.00 99.00 99.00 999 1025.4  24.2  24.0 999.0 99.0 99.00
2004 01 01 06  82  7.3  8.0 99.00 99.00 99.00 999 1024.9  24.0  24.0 999.0 99.0 99.00
2004 01 01 07  78  6.7  7.2 99.00 99.00 99.00 999 1024.9  24.0  24.1 999.0 99.0 99.00
2004 01 01 08  79  6.8  7.7 99.00 99.00 99.00 999 1024.6  24.0  24.2 999.0 99.0 99.00
2004 01 01 09  80  5.5  6.4 99.00 99.00 99.00 999 1024.5  24.3  24.2 999.0 99.0 99.00
2004 01 01 10  58  6.5  7.6 99.00 99.00 99.00 999 1024.7  24.1  24.3 999.0 99.0 99.00
2004 01 01 11  51  7.2  8.1 99.00 99.00 99.00 999 1025.1  23.9  24.2 999.0 99.0 99.00
2004 01 01 12  83  8.2  9.0 99.00 99.00 99.00 999 1025.7  23.8  24.3 999.0 99.0 99.00
2004 01 01 13 102  6.5  8.1 99.00 99.00 99.00 999 1026.5  23.9  24.3 999.0 99.0 99.00
2004 01 01 14 100  6.4  6.9 99.00 99.00 99.00 999 1027.2  23.8  24.4 999.0 99.0 99.00
2004 01 01 15 107  6.6  7.6 99.00 99.00 99.00 999 1027.9  23.9  24.5 999.0 99.0 99.00
2004 01 01 16 118  7.6  8.5 99.00 99.00 99.00 999 1027.7  24.0  24.6 999.0 99.0 99.00
2004 01 01 17  90  6.6  7.3 99.00 99.00 99.00 999 1027.2  23.9  24.7 999.0 99.0 99.00
2004 01 01 18  99  6.0  6.6 99.00 99.00 99.00 999 1026.2  23.9  24.7 999.0 99.0 99.00
2004 01 01 19 102  6.0  6.8 99.00 99.00 99.00 999 1025.5  23.9  24.7 999.0 99.0 99.00
2004 01 01 20  97  6.2  7.1 99.00 99.00 99.00 999 1025.1  23.8  24.6 999.0 99.0 99.00
2004 01 01 21  79  6.0  6.5 99.00 99.00 99.00 999 1025.2  23.8  24.5 999.0 99.0 99.00
2004 01 01 22  73  6.3  6.9 99.00 99.00 99.00 999 1025.2  23.8  24.3 999.0 99.0 99.00
2004 01 01 23  81  7.8  8.4 99.00 99.00 99.00 999 1025.1  23.9  24.3 999.0 99.0 99.00
2004 01 02 00  78  8.6  9.4 99.00 99.00 99.00 999 1025.3  23.7  24.2 999.0 99.0 99.00
2004 01 02 01  91  8.0  8.6 99.00 99.00 99.00 999 1025.7  23.9  24.1 999.0 99.0 99.00
2004 01 02 02  85  8.9 10.1 99.00 99.00 99.00 999 1025.8  23.9  24.1 999.0 99.0 99.00
2004 01 02 03  90  9.4 10.0 99.00 99.00 99.00 999 1026.0  23.9  23.9 999.0 99.0 99.00
2004 01 02 04  86  9.5 11.0 99.00 99.00 99.00 999 1025.5  23.8  24.0 999.0 99.0 99.00
2004 01 02 05  91  8.4 10.0 99.00 99.00 99.00 999 1024.9  23.7  24.1 999.0 99.0 99.00
2004 01 02 06 103  8.9  9.5 99.00 99.00 99.00 999 1024.1  23.6  24.1 999.0 99.0 99.00
2004 01 02 07 107  8.8  9.4 99.00 99.00 99.00 999 1023.6  23.6  24.1 999.0 99.0 99.00
2004 01 02 08 100  8.4  9.5 99.00 99.00 99.00 999 1023.2  23.5  24.1 999.0 99.0 99.00
2004 01 02 09 101  8.0  8.6 99.00 99.00 99.00 999 1022.8  23.4  23.9 999.0 99.0 99.00
2004 01 02 10  75  7.5  8.8 99.00 99.00 99.00 999 1022.9  23.4  23.8 999.0 99.0 99.00
2004 01 02 11  72  7.0  8.4 99.00 99.00 99.00 999 1023.3  23.5  23.8 999.0 99.0 99.00
