#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 01 01 00 00 102  5.2  6.0 99.00 99.00 99.00 999 1019.4  26.4  26.7 999.0 99.0 99.00
2016 01 01 01 00 103  6.0  6.5 99.00 99.00 99.00 999 1019.6  26.4  26.7 999.0 99.0 99.00
2016 01 01 02 00  99  5.8  6.2 99.00 99.00 99.00 999 1019.7  26.4  26.7 999.0 99.0 99.00
2016 01 01 03 00 107  5.9  6.4 99.00 99.00 99.00 999 1019.9  26.4  26.6 999.0 99.0 99.00
2016 01 01 04 00  98  5.5  5.9 99.00 99.00 99.00 999 1019.8  26.3  26.7 999.0 99.0 99.00
2016 01 01 05 00 100  6.6  7.2 99.00 99.00 99.00 999 1019.0  26.2  26.6 999.0 99.0 99.00
2016 01 01 06 00 116  7.1  7.7 99.00 99.00 99.00 999 1018.6  26.2  26.6 999.0 99.0 99.00
2016 01 01 07 00 110  5.7  6.5 99.00 99.00 99.00 999 1018.4  26.3  26.6 999.0 99.0 99.00
2016 01 01 08 00 114  5.3  6.0 99.00 99.00 99.00 999 1018.1  26.1  26.6 999.0 99.0 99.00
2016 01 01 09 00 114  6.1 99.0 99.00 99.00 99.00 999 9999.0  26.0 999.0 999.0 99.0 99.00
2016 01 01 10 00 118  4.9  5.5 99.00 99.00 99.00 999 1018.1  26.1  26.6 999.0 99.0 99.00
2016 01 01 11 00 130  5.0  6.5 99.00 99.00 99.00 999 1018.2  26.0  26.6 999.0 99.0 99.00
2016 01 01 12 00 131  6.0  6.8 99.00 99.00 99.00 999 1018.9  26.0  26.5 999.0 99.0 99.00
2016 01 01 13 00 149  6.2  6.8 99.00 99.00 99.00 999 1019.4  26.1  26.5 999.0 99.0 99.00
2016 01 01 14 00 148  5.5  6.3 99.00 99.00 99.00 999 1020.0  26.4  26.5 999.0 99.0 99.00
2016 01 01 15 00 138  6.1  6.7 99.00 99.00 99.00 999 1020.2  26.4  26.5 999.0 99.0 99.00
2016 01 01 16 00 143  5.7  6.4 99.00 99.00 99.00 999 1019.9  26.3  26.4 999.0 99.0 99.00
2016 01 01 17 00 147  4.2  4.9 99.00 99.00 99.00 999 1019.3  26.3  26.5 999.0 99.0 99.00
2016 01 01 18 00 148  4.8  5.5 99.00 99.00 99.00 999 1018.4  26.3  26.5 999.0 99.0 99.00
2016 01 01 19 00 156  4.9  5.3 99.00 99.00 99.00 999 1017.8  26.3  26.6 999.0 99.0 99.00
2016 01 01 20 00 150  4.5  4.9 99.00 99.00 99.00 999 1017.4  26.4  26.6 999.0 99.0 99.00
2016 01 01 21 00 168  2.6  3.1 99.00 99.00 99.00 999 1017.5  26.4  26.8 999.0 99.0 99.00
2016 01 01 22 00 208  2.1  2.3 99.00 99.00 99.00 999 1017.7  26.3  26.8 999.0 99.0 99.00
2016 01 01 23 00 198  0.9  2.4 99.00 99.00 99.00 999 1017.9  26.1  26.8 999.0 99.0 99.00
2016 01 02 00 00 165  3.0  3.5 99.00 99.00 99.00 999 1017.9  26.1  26.8 999.0 99.0 99.00
2016 01 02 01 00 175  2.7  3.6 99.00 99.00 99.00 999 1018.4  26.0  26.8 999.0 99.0 99.00
2016 01 02 02 00 170  2.2  2.7 99.00 99.00 99.00 999 1018.6  25.9  26.8 999.0 99.0 99.00
2016 01 02 03 00 157  2.3  2.6 99.00 99.00 99.00 999 1018.9  25.8  26.8 999.0 99.0 99.00
2016 01 02 04 00 194  2.0  2.5 99.00 99.00 99.00 999 1018.8  25.7  26.7 999.0 99.0 99.00
2016 01 02 05 00 300  0.4  1.0 99.00 99.00 99.00 999 1018.3  25.8  26.7 999.0 99.0 99.00
2016 01 02 06 00 334  0.5  0.9 99.00 99.00 99.00 999 1018.1  25.7  26.7 999.0 99.0 99.00
2016 01 02 07 00   0  0.0  0.0 99.00 99.00 99.00 999 1017.7  25.5  26.7 999.0 99.0 99.00
2016 01 02 08 00 312  0.2  0.4 99.00 99.00 99.00 999 1017.3  25.3  26.7 999.0 99.0 99.00
2016 01 02 09 00 357  1.5  1.8 99.00 99.00 99.00 999 1017.1  25.2  26.7 999.0 99.0 99.00
2016 01 02 11 00  29  1.3  1.8 99.00 99.00 99.00 999 1017.0  24.9  26.6 999.0 99.0 99.00
2016 01 02 12 00  23  2.2  2.4 99.00 99.00 99.00 999 1017.5  25.0  26.6 999.0 99.0 99.00
2016 01 02 13 00 351  2.5  2.9 99.00 99.00 99.00 999 1018.2  24.7  26.6 999.0 99.0 99.00
2016 01 02 14 00   9  3.2  3.7 99.00 99.00 99.00 999 1018.8  24.3  26.6 999.0 99.0 99.00
2016 01 02 15 00   4  2.4  2.7 99.00 99.00 99.00 999 1019.0  24.8  26.6 999.0 99.0 99.00
2016 01 02 16 00   5  1.8  2.1 99.00 99.00 99.00 999 1018.7  25.1  26.7 999.0 99.0 99.00
